,puma,Total_geo,Total_geo_m,Total_geo_f,Total_NP_mf_t,Total_NP_m,Total_NP_f,Total_P_mf_t,Total_P_m,Total_P_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_NP_mf_t,BABS_NP_m,BABS_NP_f,BABS_P_mf_t,BABS_P_m,BABS_P_f,Total_HS,Total_HS_m,Total_HS_f,HS_NP_mf_t,HS_NP_m,HS_NP_f,HS_P_mf_t,HS_P_m,HS_P_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_NP_mf_t,HSINC_NP_m,HSINC_NP_f,HSINC_P_mf_t,HSINC_P_m,HSINC_P_f
33,Fulton & Montgomery Counties PUMA,47199,23664,23535,36881,19037,17844,10318,4627,5691,8451,3568,4883,7568,3035,4533,883,533,350,33347,17613,15734,26500,14461,12039,6847,3152,3695,5401,2483,2918,2813,1541,1272,2588,942,1646
34,Onondaga County (Central)--Syracuse City (Outer) PUMA,73384,35049,38335,65953,31745,34208,7431,3304,4127,32141,15442,16699,30708,14656,16052,1433,786,647,39640,18668,20972,34320,16634,17686,5320,2034,3286,1603,939,664,925,455,470,678,484,194
35,NYC-Staten Island Community District 2--New Springville & South Beach PUMA,36124,17512,18612,32874,16041,16833,3250,1471,1779,13163,5458,7705,12837,5458,7379,326,0,326,20120,10576,9544,18137,9560,8577,1983,1016,967,2841,1478,1363,1900,1023,877,941,455,486
36,Niagara County (Southwest)--Greater Niagara Falls & North Tonawanda Area PUMA,44135,22076,22059,35148,18358,16790,8987,3718,5269,8158,3285,4873,7463,3140,4323,695,145,550,33141,16964,16177,26541,14485,12056,6600,2479,4121,2836,1827,1009,1144,733,411,1692,1094,598
37,Suffolk County (Central)--Brookhaven Town (Central) PUMA,42268,21731,20537,39403,20724,18679,2865,1007,1858,15890,7922,7968,15375,7680,7695,515,242,273,24573,12274,12299,22669,11863,10806,1904,411,1493,1805,1535,270,1359,1181,178,446,354,92
38,"NYC-Bronx Community District 7--Bedford Park, Fordham North & Norwood PUMA",3297,1648,1649,1309,935,374,1988,713,1275,1046,701,345,941,701,240,105,0,105,1633,706,927,368,234,134,1265,472,793,618,241,377,0,0,0,618,241,377
39,NYC-Queens Community District 4--Elmhurst & South Corona PUMA,2883,1312,1571,2235,1232,1003,648,80,568,878,449,429,787,449,338,91,0,91,1280,288,992,796,208,588,484,80,404,725,575,150,652,575,77,73,0,73
40,"NYC-Brooklyn Community District 6--Park Slope, Carroll Gardens & Red Hook PUMA",47646,23292,24354,45612,22623,22989,2034,669,1365,42362,20359,22003,41215,19986,21229,1147,373,774,4630,2745,1885,3961,2449,1512,669,296,373,654,188,466,436,188,248,218,0,218
41,Suffolk County (Central)--Islip Town (East) PUMA,44557,21605,22952,43368,20963,22405,1189,642,547,18762,8125,10637,18525,8125,10400,237,0,237,24968,12842,12126,24053,12237,11816,915,605,310,827,638,189,790,601,189,37,37,0
42,"NYC-Brooklyn Community District 9--Crown Heights South, Prospect Lefferts & Wingate PUMA",9224,4453,4771,7560,3510,4050,1664,943,721,7085,3376,3709,6004,2664,3340,1081,712,369,1821,846,975,1469,846,623,352,0,352,318,231,87,87,0,87,231,231,0
43,"NYC-Queens Community District 7--Flushing, Murray Hill & Whitestone PUMA",22457,11539,10918,19328,10315,9013,3129,1224,1905,10720,5153,5567,9572,5037,4535,1148,116,1032,10845,5787,5058,9394,5062,4332,1451,725,726,892,599,293,362,216,146,530,383,147
44,NYC-Queens Community District 3--Jackson Heights & North Corona PUMA,7816,5193,2623,6724,4655,2069,1092,538,554,4592,3315,1277,4386,3109,1277,206,206,0,2112,1366,746,1715,1034,681,397,332,65,1112,512,600,623,512,111,489,0,489
45,Saratoga County (Outer) PUMA,58664,28791,29873,53683,26499,27184,4981,2292,2689,20869,9222,11647,19521,9034,10487,1348,188,1160,35905,18096,17809,32939,16572,16367,2966,1524,1442,1890,1473,417,1223,893,330,667,580,87
46,"NYC-Bronx Community District 12--Wakefield, Williamsbridge & Woodlawn PUMA",3130,1170,1960,2869,1170,1699,261,0,261,1146,469,677,1146,469,677,0,0,0,1806,701,1105,1723,701,1022,83,0,83,178,0,178,0,0,0,178,0,178
47,"NYC-Brooklyn Community District 15--Sheepshead Bay, Gerritsen Beach & Homecrest PUMA",18649,9169,9480,15791,7977,7814,2858,1192,1666,7958,3516,4442,7583,3217,4366,375,299,76,9886,5252,4634,7833,4448,3385,2053,804,1249,805,401,404,375,312,63,430,89,341
48,Wayne & Seneca Counties PUMA,58816,28799,30017,48757,24553,24204,10059,4246,5813,12300,5390,6910,11352,4872,6480,948,518,430,41917,21064,20853,35463,18324,17139,6454,2740,3714,4599,2345,2254,1942,1357,585,2657,988,1669
49,Schenectady County--Schenectady City PUMA,59138,28823,30315,50320,25219,25101,8818,3604,5214,23408,10934,12474,22434,10573,11861,974,361,613,33177,16129,17048,26791,13677,13114,6386,2452,3934,2553,1760,793,1095,969,126,1458,791,667
50,NYC-Brooklyn Community District 10--Bay Ridge & Dyker Heights PUMA,24537,12694,11843,22233,11365,10868,2304,1329,975,15396,7083,8313,14839,6822,8017,557,261,296,8505,5379,3126,7044,4363,2681,1461,1016,445,636,232,404,350,180,170,286,52,234
51,Nassau County (Northwest)--North Hempstead Town (North) PUMA,28810,14086,14724,27358,13404,13954,1452,682,770,22754,10821,11933,21634,10313,11321,1120,508,612,5880,3103,2777,5566,2947,2619,314,156,158,176,162,14,158,144,14,18,18,0
52,Suffolk County (West Central)--Babylon Town (Northwest) PUMA,24891,13392,11499,22263,12641,9622,2628,751,1877,10051,5254,4797,8786,4925,3861,1265,329,936,14215,7953,6262,13013,7531,5482,1202,422,780,625,185,440,464,185,279,161,0,161
53,"NYC-Manhattan Community District 4 & 5--Chelsea, Clinton & Midtown Business District PUMA",58595,34932,23663,53481,31763,21718,5114,3169,1945,52659,31252,21407,49074,28614,20460,3585,2638,947,5575,3456,2119,4214,3093,1121,1361,363,998,361,224,137,193,56,137,168,168,0
54,Columbia & Greene Counties PUMA,48175,24068,24107,37198,18892,18306,10977,5176,5801,14669,6246,8423,13183,5966,7217,1486,280,1206,30989,16226,14763,22800,12222,10578,8189,4004,4185,2517,1596,921,1215,704,511,1302,892,410
55,Rensselaer County--Troy City PUMA,72047,35438,36609,65051,31661,33390,6996,3777,3219,22704,9843,12861,21507,9240,12267,1197,603,594,45638,22554,23084,40659,20019,20640,4979,2535,2444,3705,3041,664,2885,2402,483,820,639,181
56,Erie County (West Central)--Buffalo City (West) PUMA,32725,16404,16321,25173,12740,12433,7552,3664,3888,16303,8177,8126,14232,6986,7246,2071,1191,880,14423,6815,7608,9970,5172,4798,4453,1643,2810,1999,1412,587,971,582,389,1028,830,198
