,puma,Total_geo,Total_geo_m,Total_geo_f,Total_FT_mf_t,Total_FT_m,Total_FT_f,Total_PT_mf_t,Total_PT_m,Total_PT_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_FT_mf_t,BABS_FT_m,BABS_FT_f,BABS_PT_mf_t,BABS_PT_m,BABS_PT_f,Total_HS,Total_HS_m,Total_HS_f,HS_FT_mf_t,HS_FT_m,HS_FT_f,HS_PT_mf_t,HS_PT_m,HS_PT_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_FT_mf_t,HSINC_FT_m,HSINC_FT_f,HSINC_PT_mf_t,HSINC_PT_m,HSINC_PT_f
41,NYC-Queens Community District 9--Richmond Hill & Woodhaven PUMA,3260,1512,1748,2992,1425,1567,268,87,181,1803,1087,716,1601,1000,601,202,87,115,1426,425,1001,1391,425,966,35,0,35,31,0,31,0,0,0,31,0,31
42,Erie County (West Central)--Buffalo City (West) PUMA,634,350,284,634,350,284,0,0,0,467,183,284,467,183,284,0,0,0,167,167,0,167,167,0,0,0,0,0,0,0,0,0,0,0,0,0
43,Fulton & Montgomery Counties PUMA,170,79,91,104,13,91,66,66,0,0,0,0,0,0,0,0,0,0,170,79,91,104,13,91,66,66,0,0,0,0,0,0,0,0,0,0
44,Westchester County (Central)--White Plains City PUMA,3178,1878,1300,2597,1554,1043,581,324,257,1796,977,819,1453,821,632,343,156,187,1181,700,481,1039,628,411,142,72,70,201,201,0,105,105,0,96,96,0
45,St. Lawrence County PUMA,353,91,262,180,91,89,173,0,173,241,91,150,180,91,89,61,0,61,112,0,112,0,0,0,112,0,112,0,0,0,0,0,0,0,0,0
46,Saratoga County (South & Central) PUMA,1479,705,774,895,208,687,584,497,87,655,72,583,584,72,512,71,0,71,824,633,191,311,136,175,513,497,16,0,0,0,0,0,0,0,0,0
47,Suffolk County (Central)--Brookhaven Town (West Central) PUMA,550,239,311,493,239,254,57,0,57,360,106,254,360,106,254,0,0,0,128,71,57,71,71,0,57,0,57,62,62,0,62,62,0,0,0,0
48,Suffolk County (North Central)--Brookhaven Town (North) PUMA,1567,658,909,1331,589,742,236,69,167,1311,658,653,1151,589,562,160,69,91,256,0,256,180,0,180,76,0,76,0,0,0,0,0,0,0,0,0
49,Niagara County (Southwest)--Greater Niagara Falls & North Tonawanda Area PUMA,216,131,85,216,131,85,0,0,0,0,0,0,0,0,0,0,0,0,216,131,85,216,131,85,0,0,0,0,0,0,0,0,0,0,0,0
50,Suffolk County (Central)--Islip Town (East) PUMA,822,341,481,743,341,402,79,0,79,79,0,79,0,0,0,79,0,79,628,226,402,628,226,402,0,0,0,115,115,0,115,115,0,0,0,0
51,"NYC-Brooklyn Community District 9--Crown Heights South, Prospect Lefferts & Wingate PUMA",1439,840,599,932,465,467,507,375,132,950,456,494,737,375,362,213,81,132,489,384,105,195,90,105,294,294,0,0,0,0,0,0,0,0,0,0
52,Westchester County (Northeast) PUMA,1763,1046,717,1605,962,643,158,84,74,1305,743,562,1221,659,562,84,84,0,458,303,155,384,303,81,74,0,74,0,0,0,0,0,0,0,0,0
53,Chautauqua County PUMA,132,93,39,132,93,39,0,0,0,93,54,39,93,54,39,0,0,0,39,39,0,39,39,0,0,0,0,0,0,0,0,0,0,0,0,0
54,Erie County (West Central)--Buffalo City (East) PUMA,810,751,59,394,335,59,416,416,0,366,307,59,59,0,59,307,307,0,444,444,0,335,335,0,109,109,0,0,0,0,0,0,0,0,0,0
55,Cayuga & Onondaga (South) Counties PUMA,104,0,104,104,0,104,0,0,0,104,0,104,104,0,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
