,puma,Total_geo,Total_geo_m,Total_geo_f,Total_FT_mf_t,Total_FT_m,Total_FT_f,Total_PT_mf_t,Total_PT_m,Total_PT_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_FT_mf_t,BABS_FT_m,BABS_FT_f,BABS_PT_mf_t,BABS_PT_m,BABS_PT_f,Total_HS,Total_HS_m,Total_HS_f,HS_FT_mf_t,HS_FT_m,HS_FT_f,HS_PT_mf_t,HS_PT_m,HS_PT_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_FT_mf_t,HSINC_FT_m,HSINC_FT_f,HSINC_PT_mf_t,HSINC_PT_m,HSINC_PT_f
38,NYC-Queens Community District 6--Forest Hills & Rego Park PUMA,4124,1862,2262,4124,1862,2262,0,0,0,1490,681,809,1490,681,809,0,0,0,2408,1132,1276,2408,1132,1276,0,0,0,226,49,177,226,49,177,0,0,0
39,"NYC-Brooklyn Community District 9--Crown Heights South, Prospect Lefferts & Wingate PUMA",2808,1249,1559,2402,1126,1276,406,123,283,1429,486,943,1429,486,943,0,0,0,1256,640,616,973,640,333,283,0,283,123,123,0,0,0,0,123,123,0
40,Westchester County (Central)--White Plains City PUMA,4940,2685,2255,4638,2622,2016,302,63,239,2491,1167,1324,2491,1167,1324,0,0,0,2416,1485,931,2114,1422,692,302,63,239,33,33,0,33,33,0,0,0,0
41,"NYC-Bronx Community District 1 & 2--Hunts Point, Longwood & Melrose PUMA",19075,8537,10538,14136,6812,7324,4939,1725,3214,4152,2120,2032,3530,2034,1496,622,86,536,12349,5117,7232,8626,3478,5148,3723,1639,2084,2574,1300,1274,1980,1300,680,594,0,594
42,Erie County (North Central) PUMA,989,454,535,989,454,535,0,0,0,242,164,78,242,164,78,0,0,0,747,290,457,747,290,457,0,0,0,0,0,0,0,0,0,0,0,0
43,Chautauqua County PUMA,3485,1369,2116,2355,590,1765,1130,779,351,146,0,146,146,0,146,0,0,0,2758,1273,1485,1628,494,1134,1130,779,351,581,96,485,581,96,485,0,0,0
44,Dutchess County (Southwest) PUMA,4462,2414,2048,4049,2343,1706,413,71,342,1137,204,933,988,204,784,149,0,149,3079,1964,1115,2815,1893,922,264,71,193,246,246,0,246,246,0,0,0,0
45,Westchester County (Southeast) PUMA,3867,2375,1492,3070,1914,1156,797,461,336,2394,1609,785,1805,1148,657,589,461,128,1347,640,707,1139,640,499,208,0,208,126,126,0,126,126,0,0,0,0
46,Rockland County (North)--New City & Congers PUMA,7336,4547,2789,6068,4172,1896,1268,375,893,2321,662,1659,1834,582,1252,487,80,407,4410,3280,1130,3656,3012,644,754,268,486,605,605,0,578,578,0,27,27,0
47,NYC-Staten Island Community District 2--New Springville & South Beach PUMA,5073,2108,2965,3931,1613,2318,1142,495,647,1447,674,773,1002,483,519,445,191,254,3372,1289,2083,2675,985,1690,697,304,393,254,145,109,254,145,109,0,0,0
