,puma,Total_geo,Total_geo_m,Total_geo_f,Total_NP_mf_t,Total_NP_m,Total_NP_f,Total_P_mf_t,Total_P_m,Total_P_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_NP_mf_t,BABS_NP_m,BABS_NP_f,BABS_P_mf_t,BABS_P_m,BABS_P_f,Total_HS,Total_HS_m,Total_HS_f,HS_NP_mf_t,HS_NP_m,HS_NP_f,HS_P_mf_t,HS_P_m,HS_P_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_NP_mf_t,HSINC_NP_m,HSINC_NP_f,HSINC_P_mf_t,HSINC_P_m,HSINC_P_f
66,Sullivan & Ulster (West) Counties PUMA,3793,2076,1717,3372,1862,1510,421,214,207,622,265,357,582,265,317,40,0,40,2562,1388,1174,2379,1372,1007,183,16,167,609,423,186,411,225,186,198,198,0
67,"NYC-Bronx Community District 7--Bedford Park, Fordham North & Norwood PUMA",16642,7859,8783,11774,5778,5996,4868,2081,2787,2274,635,1639,2274,635,1639,0,0,0,10839,5514,5325,8331,4405,3926,2508,1109,1399,3529,1710,1819,1169,738,431,2360,972,1388
68,Suffolk County (Central)--Brookhaven Town (West Central) PUMA,4616,2802,1814,4421,2794,1627,195,8,187,2019,1128,891,2019,1128,891,0,0,0,2161,1352,809,1974,1352,622,187,0,187,436,322,114,428,314,114,8,8,0
69,NYC-Queens Community District 1--Astoria & Long Island City PUMA,12244,6334,5910,9660,5624,4036,2584,710,1874,5057,2356,2701,4488,2219,2269,569,137,432,6207,3437,2770,4944,3177,1767,1263,260,1003,980,541,439,228,228,0,752,313,439
70,Jefferson & Lewis Counties PUMA,3406,1984,1422,2756,1856,900,650,128,522,1038,443,595,884,431,453,154,12,142,2201,1541,660,1872,1425,447,329,116,213,167,0,167,0,0,0,167,0,167
71,Nassau County (West Central)--Hempstead Town (Northwest) PUMA,4900,2955,1945,4330,2527,1803,570,428,142,2734,1481,1253,2454,1343,1111,280,138,142,1727,1143,584,1520,936,584,207,207,0,439,331,108,356,248,108,83,83,0
72,Nassau County (Central)--Hempstead Town (North Central)--Meadowbrook Corridor PUMA,4158,2453,1705,3560,2094,1466,598,359,239,1336,680,656,1261,605,656,75,75,0,2456,1407,1049,1933,1123,810,523,284,239,366,366,0,366,366,0,0,0,0
73,Orange County (Northeast)--Greater Newburgh City PUMA,9010,4455,4555,6827,3476,3351,2183,979,1204,1544,949,595,1503,908,595,41,41,0,6319,3175,3144,4993,2237,2756,1326,938,388,1147,331,816,331,331,0,816,0,816
74,"NYC-Bronx Community District 11--Pelham Parkway, Morris Park & Laconia PUMA",21754,11899,9855,18317,10111,8206,3437,1788,1649,4325,1599,2726,4112,1443,2669,213,156,57,14493,8955,5538,12522,7809,4713,1971,1146,825,2936,1345,1591,1683,859,824,1253,486,767
75,"NYC-Queens Community District 12--Jamaica, Hollis & St. Albans PUMA",7015,3679,3336,5110,2321,2789,1905,1358,547,1024,544,480,914,434,480,110,110,0,4491,2286,2205,3778,1636,2142,713,650,63,1500,849,651,418,251,167,1082,598,484
76,Erie County (Central) PUMA,1432,960,472,895,491,404,537,469,68,497,312,185,419,234,185,78,78,0,505,316,189,378,257,121,127,59,68,430,332,98,98,0,98,332,332,0
77,"NYC-Staten Island Community District 1--Port Richmond, Stapleton & Mariner's Harbor PUMA",15202,7309,7893,11704,6205,5499,3498,1104,2394,2774,1357,1417,2441,1252,1189,333,105,228,10315,4899,5416,8621,4589,4032,1694,310,1384,2113,1053,1060,642,364,278,1471,689,782
78,"NYC-Brooklyn Community District 15--Sheepshead Bay, Gerritsen Beach & Homecrest PUMA",3508,1741,1767,2429,1238,1191,1079,503,576,1077,422,655,940,422,518,137,0,137,1989,991,998,1375,816,559,614,175,439,442,328,114,114,0,114,328,328,0
79,"NYC-Bronx Community District 8--Riverdale, Fieldston & Kingsbridge PUMA",15488,7159,8329,11347,5949,5398,4141,1210,2931,5281,2435,2846,4983,2348,2635,298,87,211,7589,3164,4425,4170,2238,1932,3419,926,2493,2618,1560,1058,2194,1363,831,424,197,227
80,NYC-Brooklyn Community District 5--East New York & Starrett City PUMA,14699,6710,7989,9740,4801,4939,4959,1909,3050,3471,1476,1995,3121,1237,1884,350,239,111,8376,3779,4597,5835,2903,2932,2541,876,1665,2852,1455,1397,784,661,123,2068,794,1274
81,Onondaga County (Central)--Syracuse City (Outer) PUMA,1671,867,804,951,559,392,720,308,412,237,124,113,237,124,113,0,0,0,714,435,279,714,435,279,0,0,0,720,308,412,0,0,0,720,308,412
82,"NYC-Manhattan Community District 6--Murray Hill, Gramercy & Stuyvesant Town PUMA",3379,1769,1610,2480,1352,1128,899,417,482,2782,1172,1610,2300,1172,1128,482,0,482,375,375,0,180,180,0,195,195,0,222,222,0,0,0,0,222,222,0
83,"Chenango, Delaware & Broome (East) Counties PUMA",1470,831,639,1276,748,528,194,83,111,423,346,77,412,335,77,11,11,0,1040,485,555,857,413,444,183,72,111,7,0,7,7,0,7,0,0,0
84,Orange County (Northwest) PUMA,8402,4868,3534,6995,3794,3201,1407,1074,333,988,253,735,988,253,735,0,0,0,6335,3596,2739,5807,3401,2406,528,195,333,1079,1019,60,200,140,60,879,879,0
85,NYC-Brooklyn Community District 7--Sunset Park & Windsor Terrace PUMA,8591,4518,4073,7040,3916,3124,1551,602,949,2403,940,1463,2222,795,1427,181,145,36,4540,2858,1682,3978,2737,1241,562,121,441,1648,720,928,840,384,456,808,336,472
86,Nassau County (Northeast)--Oyster Bay Town (North) & Glen Cove City PUMA,2034,690,1344,1318,627,691,716,63,653,624,342,282,561,279,282,63,63,0,697,240,457,569,240,329,128,0,128,713,108,605,188,108,80,525,0,525
87,Dutchess County (North & East) PUMA,2896,1163,1733,1795,1063,732,1101,100,1001,981,444,537,664,444,220,317,0,317,1426,644,782,989,544,445,437,100,337,489,75,414,142,75,67,347,0,347
88,Putnam County PUMA,3645,2082,1563,3340,1932,1408,305,150,155,1560,744,816,1560,744,816,0,0,0,1593,1216,377,1348,1066,282,245,150,95,492,122,370,432,122,310,60,0,60
89,Albany County (Outside Albany City) PUMA,2849,1795,1054,2158,1418,740,691,377,314,434,101,333,434,101,333,0,0,0,2165,1497,668,1724,1317,407,441,180,261,250,197,53,0,0,0,250,197,53
90,"NYC-Bronx Community District 10--Co-op City, Pelham Bay & Schuylerville PUMA",20111,9470,10641,16490,8827,7663,3621,643,2978,6103,2357,3746,5466,2357,3109,637,0,637,12961,6490,6471,10104,5919,4185,2857,571,2286,1047,623,424,920,551,369,127,72,55
91,NYC-Queens Community District 4--Elmhurst & South Corona PUMA,7820,4378,3442,5678,3011,2667,2142,1367,775,912,538,374,776,402,374,136,136,0,5467,3378,2089,4034,2147,1887,1433,1231,202,1441,462,979,868,462,406,573,0,573
92,"NYC-Brooklyn Community District 12--Borough Park, Kensington & Ocean Parkway PUMA",2933,1365,1568,2160,1058,1102,773,307,466,923,232,691,923,232,691,0,0,0,1526,994,532,1004,687,317,522,307,215,484,139,345,233,139,94,251,0,251
93,Nassau County (Southeast)--Oyster Bay Town (South) PUMA,4022,1662,2360,3473,1398,2075,549,264,285,1968,874,1094,1692,772,920,276,102,174,1933,764,1169,1684,626,1058,249,138,111,121,24,97,97,0,97,24,24,0
94,Suffolk County (Northwest)--Huntington Town (South) PUMA,1776,1025,751,1771,1020,751,5,5,0,579,162,417,579,162,417,0,0,0,1192,858,334,1192,858,334,0,0,0,5,5,0,0,0,0,5,5,0
95,Oswego County PUMA,1142,551,591,886,551,335,256,0,256,0,0,0,0,0,0,0,0,0,762,468,294,624,468,156,138,0,138,380,83,297,262,83,179,118,0,118
96,Rensselaer County--Troy City PUMA,3522,1460,2062,2015,943,1072,1507,517,990,526,486,40,526,486,40,0,0,0,2673,906,1767,1288,407,881,1385,499,886,323,68,255,201,50,151,122,18,104
97,Saratoga County (Outer) PUMA,1184,1059,125,1012,887,125,172,172,0,560,560,0,560,560,0,0,0,0,624,499,125,452,327,125,172,172,0,0,0,0,0,0,0,0,0,0
