,puma,Total_geo,Total_geo_m,Total_geo_f,Total_Avg_PINCP_mf_t,Total_Avg_PINCP_m,Total_Avg_PINCP_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_Avg_PINCP_mf_t,BABS_Avg_PINCP_m,BABS_Avg_PINCP_f,Total_HS,Total_HS_m,Total_HS_f,HS_Avg_PINCP_mf_t,HS_Avg_PINCP_m,HS_Avg_PINCP_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_Avg_PINCP_mf_t,HSINC_Avg_PINCP_m,HSINC_Avg_PINCP_f
30,"NYC-Queens Community District 8--Briarwood, Fresh Meadows & Hillcrest PUMA",5063,2593,2470,59112.44321548489,67251.52333204781,50568.05668016194,2364,1410,954,70993.65482233503,73953.1914893617,66619.49685534592,2699,1183,1516,48705.92812152649,59263.90532544379,40467.084432717675,0,0,0,#DIV/0!,0.0,0.0
31,Monroe County (North & West) PUMA,1570,897,673,40505.09554140127,39128.76254180602,42339.524517087666,314,0,314,36861.46496815287,0.0,36861.46496815287,1256,897,359,41416.00318471337,39128.76254180602,47130.91922005571,0,0,0,#DIV/0!,0.0,0.0
32,Schenectady County--Schenectady City PUMA,1331,409,922,69990.23290758827,81496.33251833741,64886.117136659435,505,119,386,63815.841584158414,80000.0,58826.42487046632,826,290,536,73765.13317191284,82110.3448275862,69250.0,0,0,0,#DIV/0!,0.0,0.0
33,"Rockland County (West)--Spring Valley, Suffern Villages & Monsey PUMA",1997,926,1071,84923.7356034051,97757.01943844493,73827.91783380018,1029,746,283,106256.55976676385,99146.11260053619,125000.0,968,180,788,62246.59090909091,92000.0,55450.1269035533,0,0,0,#DIV/0!,0.0,0.0
34,Niagara County (North & East) PUMA,831,583,248,56549.69915764139,56713.20754716981,56165.32258064516,477,374,103,61794.12997903564,53200.0,93000.0,354,209,145,49483.05084745763,63000.0,30000.0,0,0,0,#DIV/0!,0.0,0.0
35,Suffolk County (Central)--Brookhaven Town (Central) PUMA,3644,2074,1570,76526.07025246981,74090.64609450338,79743.31210191082,1503,668,835,74072.52162341983,51821.85628742515,91873.05389221557,2141,1406,735,78248.48201774871,84670.69701280228,65963.26530612246,0,0,0,#DIV/0!,0.0,0.0
36,Suffolk County (East) PUMA,1803,760,1043,97108.70770937327,92469.73684210527,100488.97411313519,844,176,668,144212.08530805688,182000.0,134255.9880239521,852,569,283,59796.94835680751,67156.41476274165,45000.0,107,15,92,22663.551401869157,2200.0,26000.0
37,Warren & Washington Counties PUMA,364,104,260,22968.406593406595,31730.76923076923,19463.46153846154,0,0,0,#DIV/0!,0.0,0.0,324,64,260,25495.37037037037,50000.0,19463.46153846154,40,40,0,2500.0,2500.0,0.0
38,NYC-Queens Community District 6--Forest Hills & Rego Park PUMA,4124,1862,2262,57419.18040737148,55019.65628356606,59394.38549955792,1490,681,809,70862.4832214765,58030.837004405286,81663.90605686032,2408,1132,1276,52511.04651162791,54507.59717314487,50739.811912225705,226,49,177,21084.070796460175,25000.0,20000.0
39,"NYC-Brooklyn Community District 9--Crown Heights South, Prospect Lefferts & Wingate PUMA",2402,1126,1276,49292.02747710241,51806.39431616341,47073.23667711599,1429,486,943,62094.99650104968,74679.01234567902,55609.49098621421,973,640,333,30488.90030832477,34437.5,22900.0,0,0,0,#DIV/0!,0.0,0.0
40,Westchester County (Central)--White Plains City PUMA,4638,2622,2016,82203.44113842174,93453.37909992372,67571.8253968254,2491,1167,1324,89833.80168606986,99891.34532990574,80968.88217522658,2114,1422,692,74384.38978240303,90173.41772151898,41939.3063583815,33,33,0,7120.0,7120.0,0.0
41,"NYC-Bronx Community District 1 & 2--Hunts Point, Longwood & Melrose PUMA",14136,6812,7324,43751.209677419356,55705.51967116853,32632.591480065537,3530,2034,1496,70788.01699716714,90084.31661750245,44552.27272727273,8626,3478,5148,36631.8223974032,45408.71190339275,30702.136752136754,1980,1300,680,26565.303030303032,29463.846153846152,21023.970588235294
42,Erie County (North Central) PUMA,989,454,535,56838.624873609704,71097.79735682819,44738.31775700935,242,164,78,88801.65289256198,90609.75609756098,85000.0,747,290,457,46483.80187416332,60063.44827586207,37866.52078774617,0,0,0,#DIV/0!,0.0,0.0
43,Chautauqua County PUMA,2355,590,1765,28743.821656050954,28144.406779661018,28944.192634560906,146,0,146,68493.1506849315,0.0,68493.1506849315,1628,494,1134,25630.036855036855,23897.165991902835,26384.920634920636,581,96,485,27480.206540447503,50000.0,23022.680412371134
44,Dutchess County (Southwest) PUMA,4049,2343,1706,50218.74536922697,45516.26120358515,56677.08089097303,988,204,784,63229.25101214575,69215.6862745098,61671.55612244898,2815,1893,922,47798.65008880995,45542.84204965663,52430.15184381779,246,246,0,25658.536585365855,25658.536585365855,0.0
45,Westchester County (Southeast) PUMA,3070,1914,1156,89028.01302931596,92298.11912225705,83613.66782006921,1805,1148,657,113128.42105263157,130236.58536585367,83234.70319634704,1139,640,499,58493.766461808606,38519.0625,84112.625250501,126,126,0,19800.0,19800.0,0.0
46,Rockland County (North)--New City & Congers PUMA,6068,4172,1896,68869.81048121292,60461.55560882071,87371.51898734177,1834,582,1252,120692.77535441658,138046.3058419244,112625.8785942492,3656,3012,644,51073.70350109409,53810.31208499336,38274.53416149069,578,578,0,17000.0,17000.0,0.0
47,NYC-Staten Island Community District 2--New Springville & South Beach PUMA,3931,1613,2318,63716.68786568303,88569.74581525108,46422.47627264883,1002,483,519,68023.75249500998,83983.43685300207,53171.098265895955,2675,985,1690,62631.96261682243,96054.82233502538,43151.775147928995,254,145,109,58149.606299212595,53000.0,65000.0
48,Suffolk County (Southwest)--Islip Town (South) PUMA,3829,1963,1866,78828.62366153042,91895.66989302088,65082.31511254019,1719,347,1372,80850.84351367074,138040.34582132564,66386.73469387754,2110,1616,494,77181.13744075829,81987.12871287129,61459.514170040486,0,0,0,#DIV/0!,0.0,0.0
49,Erie County (West Central)--Buffalo City (East) PUMA,3316,1622,1694,28789.369722557298,29837.42293464858,27785.86186540732,495,108,387,53200.0,58000.0,51860.46511627907,2557,1514,1043,23775.244427062964,27828.467635402907,17891.658676893578,264,0,264,31584.280303030304,0.0,31584.280303030304
50,Wayne & Seneca Counties PUMA,1007,810,197,44798.411122144986,44409.87654320987,46395.93908629441,170,170,0,32558.823529411766,32558.823529411766,0.0,721,524,197,53878.22468793343,56691.2213740458,46395.93908629441,116,116,0,6300.0,6300.0,0.0
51,Monroe County (South) PUMA,1086,589,497,93856.1694290976,110922.75042444821,73630.38229376258,603,293,310,84561.85737976783,98680.88737201365,71217.09677419355,483,296,187,105459.62732919255,123040.54054054055,77631.01604278074,0,0,0,#DIV/0!,0.0,0.0
52,Tompkins County PUMA,1178,179,999,191361.6298811545,42849.16201117318,217971.97197197197,999,0,999,217971.97197197197,0.0,217971.97197197197,179,179,0,42849.16201117318,42849.16201117318,0.0,0,0,0,#DIV/0!,0.0,0.0
53,Suffolk County (South Central)--Brookhaven Town (South) PUMA,5705,3238,2467,62442.80455740578,57715.62693020383,68647.34495338467,1517,148,1369,74221.48978246539,17000.0,80407.59678597517,3537,2486,1051,60658.52417302799,62743.0410297667,55727.878211227406,651,604,47,44689.70814132105,47000.0,15000.0
54,"Otsego, Schoharie, Oneida (South) & Herkimer (South) Counties PUMA",929,662,267,32155.974165769643,27863.59516616314,42798.50187265917,155,39,116,52698.06451612903,83000.0,42510.34482758621,338,187,151,34688.46153846154,27960.96256684492,43019.867549668874,436,436,0,22889.908256880735,22889.908256880735,0.0
55,NYC-Manhattan Community District 8--Upper East Side PUMA,2967,2602,365,122928.8843950118,115611.49116064566,175092.87671232875,2731,2366,365,131444.52581471988,124710.94674556213,175092.87671232875,236,236,0,24385.593220338982,24385.593220338982,0.0,0,0,0,#DIV/0!,0.0,0.0
56,"NYC-Manhattan Community District 1 & 2--Battery Park City, Greenwich Village & Soho PUMA",3613,2091,1522,213136.78383614725,306045.9110473458,85493.56110381077,2909,1521,1388,221412.23788243384,348485.86456278764,82162.24783861672,704,570,134,178941.76136363635,192798.24561403508,120000.0,0,0,0,#DIV/0!,0.0,0.0
57,"NYC-Manhattan Community District 12--Washington Heights, Inwood & Marble Hill PUMA",17902,9800,8102,37544.789967601384,37673.07142857143,37389.623549740805,6140,2293,3847,46841.177524429964,52435.2812908853,43506.81829997401,9722,5820,3902,34935.7745319893,36614.87972508591,32431.317273193235,2040,1687,353,21998.235294117647,21258.68405453468,25532.57790368272
58,NYC-Brooklyn Community District 18--Canarsie & Flatlands PUMA,3354,1758,1596,61797.19737626714,53698.23663253697,70718.23308270676,903,284,619,90526.46733111849,53014.08450704225,107737.3182552504,2225,1248,977,50775.011235955055,53523.63782051282,47263.97134083931,226,226,0,55522.12389380531,55522.12389380531,0.0
