,puma,Total_geo,Total_geo_m,Total_geo_f,Total_Emp_mf_t,Total_emp_m,Total_emp_f,Total_UnEmp_mf_t,Total_UnEmp_m,Total_UnEmp_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_Emp_mf_t,BABS_emp_m,BABS_emp_f,BABS_UnEmp_mf_t,BABS_UnEmp_m,BABS_UnEmp_f,Total_HS,Total_HS_m,Total_HS_f,HS_Emp_mf_t,HS_emp_m,HS_emp_f,HS_UnEmp_mf_t,HS_UnEmp_m,HS_UnEmp_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_Emp_mf_t,HSINC_emp_m,HSINC_emp_f,HSINC_UnEmp_mf_t,HSINC_UnEmp_m,HSINC_UnEmp_f
61,"NYC-Queens Community District 14--Far Rockaway, Breezy Point & Broad Channel PUMA",4074,1399,2675,4074,1399,2675,0,0,0,744,173,571,744,173,571,0,0,0,3200,1226,1974,3200,1226,1974,0,0,0,130,0,130,130,0,130,0,0,0
62,Saratoga County (South & Central) PUMA,1687,722,965,1687,722,965,0,0,0,248,0,248,248,0,248,0,0,0,1439,722,717,1439,722,717,0,0,0,0,0,0,0,0,0,0,0,0
63,Cattaraugus & Allegany Counties PUMA,573,272,301,573,272,301,0,0,0,19,0,19,19,0,19,0,0,0,369,147,222,369,147,222,0,0,0,185,125,60,185,125,60,0,0,0
64,Genesee & Orleans Counties PUMA,642,407,235,235,0,235,407,407,0,181,0,181,181,0,181,0,0,0,54,0,54,54,0,54,0,0,0,407,407,0,0,0,0,407,407,0
65,Cayuga & Onondaga (South) Counties PUMA,641,246,395,542,147,395,99,99,0,241,0,241,241,0,241,0,0,0,274,147,127,274,147,127,0,0,0,126,99,27,27,0,27,99,99,0
66,Sullivan & Ulster (West) Counties PUMA,2501,1356,1145,2450,1356,1094,51,0,51,582,265,317,582,265,317,0,0,0,1817,989,828,1766,989,777,51,0,51,102,102,0,102,102,0,0,0,0
67,"NYC-Bronx Community District 7--Bedford Park, Fordham North & Norwood PUMA",12409,5544,6865,10579,5036,5543,1830,508,1322,2092,453,1639,2092,453,1639,0,0,0,8413,4433,3980,7536,4063,3473,877,370,507,1904,658,1246,951,520,431,953,138,815
68,Suffolk County (Central)--Brookhaven Town (West Central) PUMA,3792,2474,1318,3784,2466,1318,8,8,0,1884,1128,756,1884,1128,756,0,0,0,1697,1135,562,1697,1135,562,0,0,0,211,211,0,203,203,0,8,8,0
69,NYC-Queens Community District 1--Astoria & Long Island City PUMA,9218,5337,3881,8745,4864,3881,473,473,0,4466,2046,2420,4375,1955,2420,91,91,0,4521,3060,1461,4139,2678,1461,382,382,0,231,231,0,231,231,0,0,0,0
70,Jefferson & Lewis Counties PUMA,2710,1972,738,2669,1931,738,41,41,0,766,431,335,766,431,335,0,0,0,1944,1541,403,1903,1500,403,41,41,0,0,0,0,0,0,0,0,0,0
71,Nassau County (West Central)--Hempstead Town (Northwest) PUMA,3626,2541,1085,3419,2334,1085,207,207,0,1965,1343,622,1965,1343,622,0,0,0,1222,867,355,1015,660,355,207,207,0,439,331,108,439,331,108,0,0,0
72,Nassau County (Central)--Hempstead Town (North Central)--Meadowbrook Corridor PUMA,3023,1527,1496,2920,1424,1496,103,103,0,1173,585,588,1173,585,588,0,0,0,1595,687,908,1492,584,908,103,103,0,255,255,0,255,255,0,0,0,0
73,Orange County (Northeast)--Greater Newburgh City PUMA,6998,3988,3010,6858,3848,3010,140,140,0,1544,949,595,1544,949,595,0,0,0,5054,2824,2230,4914,2684,2230,140,140,0,400,215,185,400,215,185,0,0,0
74,"NYC-Bronx Community District 11--Pelham Parkway, Morris Park & Laconia PUMA",17358,9885,7473,16536,9586,6950,822,299,523,3847,1327,2520,3662,1327,2335,185,0,185,11748,7384,4364,11281,7255,4026,467,129,338,1763,1174,589,1593,1004,589,170,170,0
75,"NYC-Queens Community District 12--Jamaica, Hollis & St. Albans PUMA",5325,2604,2721,5041,2493,2548,284,111,173,838,434,404,838,434,404,0,0,0,3838,1855,1983,3727,1744,1983,111,111,0,649,315,334,476,315,161,173,0,173
76,Erie County (Central) PUMA,1291,934,357,1232,875,357,59,59,0,450,312,138,450,312,138,0,0,0,411,290,121,352,231,121,59,59,0,430,332,98,430,332,98,0,0,0
77,"NYC-Staten Island Community District 1--Port Richmond, Stapleton & Mariner's Harbor PUMA",11427,6086,5341,10384,5043,5341,1043,1043,0,2404,1252,1152,2327,1175,1152,77,77,0,7874,3989,3885,7389,3504,3885,485,485,0,1149,845,304,668,364,304,481,481,0
78,"NYC-Brooklyn Community District 15--Sheepshead Bay, Gerritsen Beach & Homecrest PUMA",2526,1254,1272,2328,1056,1272,198,198,0,870,422,448,870,422,448,0,0,0,1386,676,710,1286,576,710,100,100,0,270,156,114,172,58,114,98,98,0
79,"NYC-Bronx Community District 8--Riverdale, Fieldston & Kingsbridge PUMA",12561,6872,5689,10787,5341,5446,1774,1531,243,4999,2348,2651,4186,1535,2651,813,813,0,5795,3161,2634,5158,2621,2537,637,540,97,1767,1363,404,1443,1185,258,324,178,146
80,NYC-Brooklyn Community District 5--East New York & Starrett City PUMA,10237,5255,4982,9723,4741,4982,514,514,0,3121,1237,1884,3121,1237,1884,0,0,0,6299,3356,2943,5785,2842,2943,514,514,0,817,662,155,817,662,155,0,0,0
81,Onondaga County (Central)--Syracuse City (Outer) PUMA,1374,735,639,1374,735,639,0,0,0,237,124,113,237,124,113,0,0,0,559,435,124,559,435,124,0,0,0,578,176,402,578,176,402,0,0,0
82,"NYC-Manhattan Community District 6--Murray Hill, Gramercy & Stuyvesant Town PUMA",3184,1574,1610,3184,1574,1610,0,0,0,2782,1172,1610,2782,1172,1610,0,0,0,180,180,0,180,180,0,0,0,0,222,222,0,222,222,0,0,0,0
83,"Chenango, Delaware & Broome (East) Counties PUMA",999,485,514,999,485,514,0,0,0,70,0,70,70,0,70,0,0,0,929,485,444,929,485,444,0,0,0,0,0,0,0,0,0,0,0,0
84,Orange County (Northwest) PUMA,5910,3642,2268,5831,3563,2268,79,79,0,829,253,576,829,253,576,0,0,0,4941,3249,1692,4862,3170,1692,79,79,0,140,140,0,140,140,0,0,0,0
85,NYC-Brooklyn Community District 7--Sunset Park & Windsor Terrace PUMA,7186,3906,3280,6555,3424,3131,631,482,149,2340,940,1400,2176,850,1326,164,90,74,4102,2700,1402,3635,2308,1327,467,392,75,744,266,478,744,266,478,0,0,0
86,Nassau County (Northeast)--Oyster Bay Town (North) & Glen Cove City PUMA,1232,627,605,1232,627,605,0,0,0,511,279,232,511,279,232,0,0,0,533,240,293,533,240,293,0,0,0,188,108,80,188,108,80,0,0,0
87,Dutchess County (North & East) PUMA,2194,1025,1169,2036,943,1093,158,82,76,904,444,460,904,444,460,0,0,0,1139,506,633,1057,424,633,82,82,0,151,75,76,75,75,0,76,0,76
88,Putnam County PUMA,2914,1705,1209,2761,1583,1178,153,122,31,1206,744,462,1206,744,462,0,0,0,1216,839,377,1185,839,346,31,0,31,492,122,370,370,0,370,122,122,0
89,Albany County (Outside Albany City) PUMA,2452,1615,837,2452,1615,837,0,0,0,434,101,333,434,101,333,0,0,0,1821,1317,504,1821,1317,504,0,0,0,197,197,0,197,197,0,0,0,0
90,"NYC-Bronx Community District 10--Co-op City, Pelham Bay & Schuylerville PUMA",16189,8548,7641,14942,7717,7225,1247,831,416,5500,2213,3287,5500,2213,3287,0,0,0,9863,5723,4140,8677,4953,3724,1186,770,416,826,612,214,765,551,214,61,61,0
91,NYC-Queens Community District 4--Elmhurst & South Corona PUMA,5878,3517,2361,5831,3470,2361,47,47,0,912,538,374,865,491,374,47,47,0,4188,2532,1656,4188,2532,1656,0,0,0,778,447,331,778,447,331,0,0,0
92,"NYC-Brooklyn Community District 12--Borough Park, Kensington & Ocean Parkway PUMA",1851,835,1016,1787,835,952,64,0,64,840,232,608,840,232,608,0,0,0,778,464,314,714,464,250,64,0,64,233,139,94,233,139,94,0,0,0
93,Nassau County (Southeast)--Oyster Bay Town (South) PUMA,3665,1536,2129,3527,1398,2129,138,138,0,1635,772,863,1635,772,863,0,0,0,1933,764,1169,1795,626,1169,138,138,0,97,0,97,97,0,97,0,0,0
94,Suffolk County (Northwest)--Huntington Town (South) PUMA,1249,679,570,1249,679,570,0,0,0,514,162,352,514,162,352,0,0,0,735,517,218,735,517,218,0,0,0,0,0,0,0,0,0,0,0,0
95,Oswego County PUMA,735,441,294,626,332,294,109,109,0,0,0,0,0,0,0,0,0,0,652,358,294,543,249,294,109,109,0,83,83,0,83,83,0,0,0,0
96,Rensselaer County--Troy City PUMA,2725,1020,1705,2581,969,1612,144,51,93,313,273,40,262,222,40,51,51,0,2412,747,1665,2319,747,1572,93,0,93,0,0,0,0,0,0,0,0,0
97,Saratoga County (Outer) PUMA,1059,1059,0,1059,1059,0,0,0,0,560,560,0,560,560,0,0,0,0,499,499,0,499,499,0,0,0,0,0,0,0,0,0,0,0,0,0
98,Herkimer (North & Central) & Oneida (Outer) Counties PUMA,153,153,0,153,153,0,0,0,0,0,0,0,0,0,0,0,0,0,153,153,0,153,153,0,0,0,0,0,0,0,0,0,0,0,0,0
99,Monroe County (East) PUMA,2245,757,1488,2048,757,1291,197,0,197,943,421,522,943,421,522,0,0,0,1222,336,886,1025,336,689,197,0,197,80,0,80,80,0,80,0,0,0
100,"NYC-Queens Community District 13--Queens Village, Cambria Heights & Rosedale PUMA",3600,1813,1787,3536,1813,1723,64,0,64,827,183,644,827,183,644,0,0,0,2773,1630,1143,2709,1630,1079,64,0,64,0,0,0,0,0,0,0,0,0
101,Erie County (South) PUMA,739,319,420,739,319,420,0,0,0,345,156,189,345,156,189,0,0,0,394,163,231,394,163,231,0,0,0,0,0,0,0,0,0,0,0,0
