,puma,Total_Population,BABS_mf_t,BABS_m,BABS_f,HS_mf_t,HS_m,HS_f,HSINC_mf_t,HSINC_m,HSINC_f
123,"NYC-Staten Island Community District 3--Tottenville, Great Kills & Annadale PUMA",1403,439,237,202,771,485,286,193,72,121
124,Suffolk County (Central)--Brookhaven Town (West Central) PUMA,2681,282,67,215,1729,1112,617,670,377,293
125,NYC-Queens Community District 9--Richmond Hill & Woodhaven PUMA,13310,3077,1446,1631,8328,4148,4180,1905,1095,810
126,Suffolk County (Northwest)--Huntington Town (South) PUMA,1085,207,71,136,625,301,324,253,161,92
127,"NYC-Bronx Community District 3 & 6--Belmont, Crotona Park East & East Tremont PUMA",11707,2274,1114,1160,6821,3311,3510,2612,1304,1308
128,Suffolk County (North Central)--Brookhaven Town (North) PUMA,853,333,161,172,386,148,238,134,134,0
129,NYC-Queens Community District 1--Astoria & Long Island City PUMA,9920,2815,1455,1360,4831,2670,2161,2274,1409,865
130,Nassau County (West Central)--Hempstead Town (Northwest) PUMA,3290,691,250,441,2272,1182,1090,327,155,172
131,Westchester County (Southeast) PUMA,8049,1386,635,751,4282,2078,2204,2381,1696,685
132,"NYC-Bronx Community District 10--Co-op City, Pelham Bay & Schuylerville PUMA",3509,735,173,562,2352,1422,930,422,187,235
133,Suffolk County (South Central)--Brookhaven Town (South) PUMA,3042,339,102,237,1994,1217,777,709,515,194
134,Onondaga County (Central)--Syracuse City PUMA,1112,387,250,137,607,344,263,118,48,70
135,Suffolk County (West Central)--Babylon Town (Northwest) PUMA,5167,411,127,284,3052,1698,1354,1704,1076,628
136,Suffolk County (Southwest)--Islip Town (South) PUMA,2531,838,365,473,1128,752,376,565,282,283
137,Niagara County (North & East) PUMA,230,122,42,80,108,17,91,0,0,0
138,NYC-Manhattan Community District 11--East Harlem PUMA,6107,1113,220,893,3546,1671,1875,1448,807,641
139,Broome (Outer West) & Tioga Counties PUMA,164,132,32,100,29,29,0,3,0,3
140,Albany County (East Central)--Albany City PUMA,535,172,84,88,264,110,154,99,77,22
141,Nassau County (West Central)--Hempstead Town (West Central) PUMA,4703,963,374,589,3304,1763,1541,436,321,115
142,Nassau County (West Central)--North Hempstead Town (South) PUMA,4242,954,364,590,2478,1314,1164,810,519,291
143,Nassau County (Central)--Hempstead Town (Northeast) PUMA,3577,434,156,278,2272,1135,1137,871,740,131
144,Nassau County (Central)--Hempstead Town (East Central) PUMA,1010,485,290,195,356,85,271,169,48,121
145,"NYC-Bronx Community District 5--Morris Heights, Fordham South & Mount Hope PUMA",11506,2595,1167,1428,6480,3142,3338,2431,1289,1142
146,Capital Region,2907,1000,427,573,1352,748,604,555,438,117
147,Central NY,2431,904,457,447,1233,689,544,294,151,143
148,Finger Lakes,4225,1105,584,521,2149,925,1224,971,711,260
149,Long Island,88716,14307,6671,7636,52390,27567,24823,22019,14433,7586
150,Mid-Hudson,74144,15447,5909,9538,39637,21683,17954,19060,13129,5931
151,Mohawk Valley,1356,294,90,204,603,338,265,459,414,45
152,New York City,368248,81945,36594,45351,206586,106116,100470,79717,47769,31948
153,North Country,1834,308,180,128,1094,501,593,432,417,15
154,Southern Tier,1352,681,404,277,585,339,246,86,44,42
155,Western NY,2877,1131,507,624,1383,574,809,363,277,86
