,puma,Unemployment_HSINC_score,FT_Work_HSINC_score,Poverty_HSINC_score,Working_Poor_HSINC_score,Rent_Burden_HSINC_score,Home_Ownership_HSINC_score,Income_level_HSINC_score,Overall_HSINC_score,Unemployment_HSINC_grade,FT_Work_HSINC_grade,Poverty_HSINC_grade,Working_Poor_HSINC_grade,Rent_Burden_HSINC_grade,Home_Ownership_HSINC_grade,Income_level_HSINC_grade,Overall_HSINC_grade
10,Suffolk County (Southwest)--Islip Town (South) PUMA,0.561440058101629,1.052706414187616,1.498961239648656,1.0471212096087812,1.1991323292479055,-1.0130836702493844,-0.16814469496537987,0.5968761265114033,B-,B,A-,B,B,D,C,B-
11,Erie County (Northwest) PUMA,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0
12,"NYC-Queens Community District 8--Briarwood, Fresh Meadows & Hillcrest PUMA",-1.41911116021331,-0.6720412828695468,0.6823962015407468,0.9620436362809216,0.784281568839941,-0.09200663370042644,0.08557099901164161,0.0473047612699954,D-,C-,B-,B,B,C,C,C
13,NYC-Brooklyn Community District 5--East New York & Starrett City PUMA,0.34748992931621886,0.32306277114870163,-0.20016727311511232,-0.19467432552308447,-0.14134956692900716,-0.6170507291188243,-0.29291427125180297,-0.11080049506755867,B-,B-,C,C,C,C-,C-,C
14,Rockland County (North)--New City & Congers PUMA,0.561440058101629,0.746107375065756,-1.1342108266308981,-1.452634341651576,-0.9562761494301512,0.392505492769984,-0.2943255879196397,-0.30534199709927085,B-,B-,D,D-,D,B-,C-,C-
15,"Otsego, Schoharie, Oneida (South) & Herkimer (South) Counties PUMA",0.561440058101629,-1.0724869254789726,-1.9214072590014675,-2.0413925570142126,#DIV/0!,2.002859496821803,-0.6390171098389282,#DIV/0!,B-,D,E,E,#DIV!0,A,C-,#DIV!0
16,NYC-Brooklyn Community District 7--Sunset Park & Windsor Terrace PUMA,0.15397002284984682,-0.2211763647167105,-0.6920283165523614,-0.5650440559433759,-0.0498719512058022,-0.5080020548174807,-0.04651083971437855,-0.2755233657286089,C,C,C-,C-,C,C-,C,C-
17,NYC-Brooklyn Community District 11--Bensonhurst & Bath Beach PUMA,0.4741090122191523,0.21882026796077456,-0.46270525177952615,-0.6051092785939947,0.04226578490237986,0.061827029997260356,-0.2028455132646988,-0.0676625640798075,B-,C,C-,C-,C,C,C,C
18,Tompkins County PUMA,0.561440058101629,1.052706414187616,1.498961239648656,1.0471212096087812,#DIV/0!,#DIV/0!,0.3462719974445341,#DIV/0!,B-,B,A-,B,#DIV!0,#DIV!0,B-,#DIV!0
19,Dutchess County (Southwest) PUMA,0.561440058101629,0.058198463003833474,1.0106725315366274,0.23291225719105912,0.3508941345978406,0.1833577508673944,0.16184147174164654,0.36561666672000437,B-,C,B,C,B-,C,C,B-
20,NYC-Queens Community District 9--Richmond Hill & Woodhaven PUMA,0.10425867281518916,0.002021578250124634,0.015899085000889105,-0.054318980550010734,0.6106838521003942,0.37578866244936127,-0.08005162197963143,0.13918303544090233,C,C,C,C,B-,B-,C,C
21,Westchester County (Northwest) PUMA,0.048916187550317056,-0.24693105122387485,-0.11827437202968313,0.014357405573787353,-0.6612092122446382,-0.6572036230500357,0.10525520920237565,-0.2164413508888217,C,C,C,C,C-,C-,C,C
22,Albany County (Outside Albany City) PUMA,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0
23,Monroe County (South) PUMA,-0.5808606491699041,0.6728307427477095,0.32722498295545627,0.06027875200732302,#DIV/0!,2.002859496821803,-0.4813397814161961,#DIV/0!,C-,B-,B-,C,#DIV!0,A,C-,#DIV!0
24,Jefferson & Lewis Counties PUMA,0.561440058101629,1.052706414187616,-0.9626676040768115,-1.1756727890971612,1.1991323292479055,-1.0130836702493844,-0.6680342165666124,-0.14373992549325987,B-,B,D,D,B,D,C-,C
25,"Chenango, Delaware & Broome (East) Counties PUMA",#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0
26,Erie County (Central) PUMA,#DIV/0!,-3.197680265145561,-1.9214072590014675,#DIV/0!,1.1991323292479055,-1.0130836702493844,#DIV/0!,#DIV/0!,#DIV!0,E,E,#DIV!0,B,D,#DIV!0,#DIV!0
27,St. Lawrence County PUMA,#DIV/0!,1.052706414187616,-1.9214072590014675,-2.0413925570142126,#DIV/0!,#DIV/0!,-1.078345153346273,#DIV/0!,#DIV!0,B,E,E,#DIV!0,#DIV!0,D,#DIV!0
28,"NYC-Manhattan Community District 9--Hamilton Heights, Manhattanville & West Harlem PUMA",0.34783537631107464,0.6363517156803083,-0.5590671380041297,-0.16701063721446843,0.22534728522175948,-1.0130836702493844,-0.3871593782798782,-0.1309694923621026,B-,B-,C-,C,C,D,C-,C
29,Suffolk County (North Central)--Brookhaven Town (North) PUMA,#DIV/0!,#DIV/0!,1.498961239648656,#DIV/0!,1.1991323292479055,0.544383698303789,#DIV/0!,#DIV/0!,#DIV!0,#DIV!0,A-,#DIV!0,B,B-,#DIV!0,#DIV!0
30,NYC-Brooklyn Community District 1--Greenpoint & Williamsburg PUMA,-0.2632038972601271,-0.03504047268315259,0.26577386632513283,0.6572193722716835,1.1991323292479055,-0.7992798288337475,0.25765041786776005,0.18317882670506494,C-,C,B-,B-,B,D,B-,C
31,Cayuga & Onondaga (South) Counties PUMA,0.561440058101629,1.052706414187616,1.091027382011485,1.0471212096087812,#DIV/0!,#DIV/0!,0.09888339042098078,#DIV/0!,B-,B,B,B,#DIV!0,#DIV!0,C,#DIV!0
32,Nassau County (Southeast)--Oyster Bay Town (South) PUMA,0.561440058101629,-3.197680265145561,0.3410239875014786,#DIV/0!,#DIV/0!,2.002859496821803,#DIV/0!,#DIV/0!,B-,E,B-,#DIV!0,#DIV!0,A,#DIV!0,#DIV!0
33,Fulton & Montgomery Counties PUMA,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0
34,Onondaga County (Central)--Syracuse City (Outer) PUMA,0.561440058101629,0.4102061021953914,-1.3090808912503606,-2.0413925570142126,-2.385489656797321,-0.4731589441371826,-0.5238534479486534,-0.82304704812153,B-,B-,D-,E,E,C-,C-,D
35,NYC-Staten Island Community District 2--New Springville & South Beach PUMA,0.561440058101629,-0.4511158998762107,-1.016881764278495,-0.6439281531049492,-1.6974198018908069,0.5746453279135532,-0.2079277848557716,-0.4115982882844359,B-,C-,D,C-,D-,B-,C,C-
36,Niagara County (Southwest)--Greater Niagara Falls & North Tonawanda Area PUMA,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0
37,Suffolk County (Central)--Brookhaven Town (Central) PUMA,0.561440058101629,1.052706414187616,-0.5224159568160706,-1.3035809349876086,#DIV/0!,2.002859496821803,0.8311125937510394,#DIV/0!,B-,B,C-,D-,#DIV!0,A,B,#DIV!0
38,"NYC-Bronx Community District 7--Bedford Park, Fordham North & Norwood PUMA",-0.043210923130160415,0.5208162133204489,-0.25898895791489523,-0.25396109657683913,-0.14634278337089135,-0.8932091089418281,-0.3709282998654063,-0.20654642235422452,C,B-,C-,C-,C,D,C-,C
39,NYC-Queens Community District 4--Elmhurst & South Corona PUMA,0.02711097279189838,0.05258298139967938,0.06986492476459812,0.13922816076441177,-0.0019735794344120107,-0.45544901988962877,-0.24056382677518037,-0.058457055196947647,C,C,C,C,C,C-,C,C
40,"NYC-Brooklyn Community District 6--Park Slope, Carroll Gardens & Red Hook PUMA",0.561440058101629,0.8087027344481185,0.6450016873366716,0.828680157352538,0.7552089442211125,-1.0130836702493844,0.04713809374831489,0.3761554292798572,B-,B,B-,B,B,D,C,B-
41,Suffolk County (Central)--Islip Town (East) PUMA,#DIV/0!,#DIV/0!,1.498961239648656,#DIV/0!,-2.385489656797321,-1.0130836702493844,#DIV/0!,#DIV/0!,#DIV!0,#DIV!0,A-,#DIV!0,E,D,#DIV!0,#DIV!0
42,"NYC-Brooklyn Community District 9--Crown Heights South, Prospect Lefferts & Wingate PUMA",-1.4223487923650449,0.8173908886882013,1.1729628149557032,0.849139557902179,0.11022575244721489,-1.0130836702493844,-0.07993198202973079,0.062050652764162606,D-,B,B,B,C,D,C,C
43,"NYC-Queens Community District 7--Flushing, Murray Hill & Whitestone PUMA",0.44029555494921346,0.25050531692739936,0.20895020196010586,0.09481582546456006,0.18526381742632622,-0.006184787936817453,-0.2835959359283419,0.12714999898034932,B-,B-,C,C,C,C,C-,C
44,NYC-Queens Community District 3--Jackson Heights & North Corona PUMA,0.006448618749600476,0.35598789751287835,0.17259907478897224,0.30951705354520326,0.19294623789112458,-0.3047568286575193,-0.14260655793790183,0.08430507084176539,C,B-,C,B-,C,C-,C,C
45,Saratoga County (Outer) PUMA,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0
46,"NYC-Bronx Community District 12--Wakefield, Williamsbridge & Woodlawn PUMA",-1.2269093532171724,-0.2525127510833012,0.6990363488353206,0.15661151946119023,1.1991323292479055,-0.19185436384574986,-0.5172423633663148,-0.01910551913830313,D,C-,B-,C,B,C,C-,C
47,"NYC-Brooklyn Community District 15--Sheepshead Bay, Gerritsen Beach & Homecrest PUMA",-0.8661959947511183,-0.28563096451092607,-0.05233288425807945,-0.14921055786096102,-0.26281074488664985,0.47605211834123873,-0.2537192390850277,-0.19912118100164625,D,C-,C,C,C-,B-,C-,C
48,Wayne & Seneca Counties PUMA,0.561440058101629,1.052706414187616,1.498961239648656,1.0471212096087812,#DIV/0!,#DIV/0!,0.30357548658767713,#DIV/0!,B-,B,A-,B,#DIV!0,#DIV!0,B-,#DIV!0
49,Schenectady County--Schenectady City PUMA,0.561440058101629,-0.9308073695011998,0.6484174773513514,-1.3593457668849682,-2.385489656797321,1.7341517944364717,-0.5942134691559988,-0.33226384749286225,B-,D,B-,D-,E,A-,C-,C-
50,NYC-Brooklyn Community District 10--Bay Ridge & Dyker Heights PUMA,-1.123184122973211,-1.1808537246687703,-0.9112724818295775,-1.1028531497240013,-0.2195549220267912,-0.31524836508803483,-0.5885360831211215,-0.7773575499187869,D,D,D,D,C,C-,C-,D
51,Nassau County (Northwest)--North Hempstead Town (North) PUMA,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0
52,Suffolk County (West Central)--Babylon Town (Northwest) PUMA,0.561440058101629,-0.8219488813138266,1.0416677705249013,0.7738014072527639,-0.8098316409532653,1.7220435061634014,0.021012975973377663,0.35545502796414014,B-,D,B,B,D,A-,C,B-
53,"NYC-Manhattan Community District 4 & 5--Chelsea, Clinton & Midtown Business District PUMA",0.561440058101629,0.7656432615529133,1.0969797872299816,1.0471212096087812,0.019040280233703924,-1.0130836702493844,-0.18072433384826816,0.32805951323276517,B-,B,B,B,C,D,C,B-
54,Columbia & Greene Counties PUMA,0.561440058101629,-0.42922917132701666,1.498961239648656,1.0471212096087812,#DIV/0!,#DIV/0!,0.056230182313471586,#DIV/0!,B-,C-,A-,B,#DIV!0,#DIV!0,C,#DIV!0
55,Rensselaer County--Troy City PUMA,0.561440058101629,1.052706414187616,-0.5749764849296727,-2.0413925570142126,-0.9744003670525333,-1.0130836702493844,-0.6262211474066754,-0.5165611077661763,B-,B,C-,E,D,D,C-,C-
56,Erie County (West Central)--Buffalo City (West) PUMA,-0.05501053794469143,-0.5918697822103226,-1.835711751954678,-1.7930155757822934,-0.8663880809074445,-0.05540672776436117,-0.3776096162345852,-0.7964302961140538,C,C-,E,E,D,C,C-,D
57,Erie County (South) PUMA,#DIV/0!,#DIV/0!,-1.9214072590014675,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV!0,#DIV!0,E,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0
58,Oneida County (Central)--Greater Utica & Rome Cities PUMA,0.561440058101629,0.5736825129389754,-0.7441539890318525,-0.6901677841166528,-0.4786918382292102,0.050007407798697084,-0.5355658813039815,-0.18049278769177077,B-,B-,C-,C-,C-,C,C-,C
59,"NYC-Manhattan Community District 12--Washington Heights, Inwood & Marble Hill PUMA",-1.093052823878614,0.7307255590086174,-0.30349741843227307,-0.18972723461166013,0.42231834215331837,-0.9958834352456796,-0.25508668566512177,-0.2406005280959161,D,B-,C-,C,B-,D,C-,C
60,NYC-Brooklyn Community District 13--Brighton Beach & Coney Island PUMA,0.561440058101629,0.2234685635720522,-0.480982947334707,-0.5925085607431043,0.09416056157254395,-0.025555805427171355,-0.06421100215355725,-0.040598447487473543,B-,C,C-,C-,C,C,C,C
61,NYC-Manhattan Community District 10--Central Harlem PUMA,0.561440058101629,0.20085438659683325,0.05458275341517285,1.0471212096087812,0.6069513755415094,-1.0130836702493844,1.9458007112997118,0.486238117759179,B-,C,C,B,B-,D,A,B-
62,Nassau County (West Central)--North Hempstead Town (South) PUMA,-0.02832087047645152,-0.22631324026326433,-0.32950476325983563,-0.2560692977916474,-1.1796678630622122,0.9184106927660192,1.6164344321996635,0.0735670128731817,C,C,C-,C-,D,B,A-,C
63,NYC-Brooklyn Community District 16--Brownsville & Ocean Hill PUMA,-2.4580639114491802,-0.2776311488320203,-1.47032417811476,-0.11217765408065206,-0.591391713632113,-0.3033426587607625,-0.31058740741110746,-0.7890740960400849,E,C-,D-,C,C-,C-,C-,D
64,Albany County (East Central)--Albany City PUMA,0.561440058101629,-0.2724141387809626,0.7303391051205385,-0.536732004044036,#DIV/0!,0.22943973191477543,0.2865575060940212,#DIV/0!,B-,C-,B-,C-,#DIV!0,C,B-,#DIV!0
65,Nassau County (West Central)--Hempstead Town (West Central) PUMA,0.24163098133812247,-0.48050800554083745,-1.0118120952315512,-0.6706617099034416,1.1991323292479055,1.4421760114420674,-0.10182460776187242,0.08830470051291325,C,C-,D,C-,B,A-,C,C
66,Chemung (South) & Steuben (East) Counties--Greater Elmira & Greater Corning Cities PUMA,#DIV/0!,#DIV/0!,1.498961239648656,#DIV/0!,1.1991323292479055,-1.0130836702493844,#DIV/0!,#DIV/0!,#DIV!0,#DIV!0,A-,#DIV!0,B,D,#DIV!0,#DIV!0
67,"NYC-Bronx Community District 3 & 6--Belmont, Crotona Park East & East Tremont PUMA",0.3849124206265085,-0.9551205538343589,-0.05751880541166121,0.6252130605313645,0.005989263467084026,-0.9466769991665906,-0.3202606808050932,-0.18049461351324952,B-,D,C,B-,C,D,C-,C
68,"NYC-Bronx Community District 5--Morris Heights, Fordham South & Mount Hope PUMA",0.4907465563085068,-0.10918802794179211,-0.7708433465495801,-0.8529683270439663,-0.7078937258343677,-0.9662351907148622,-0.383076931384129,-0.4713512847371701,B-,C,D,D,C-,D,C-,C-
69,"NYC-Bronx Community District 8--Riverdale, Fieldston & Kingsbridge PUMA",0.023929975387945415,-0.30417226750070747,-0.3066222334105061,0.18967236291025896,-0.5120622538858204,-0.6742916921674368,-0.18243315877451047,-0.25228275249153953,C,C-,C-,C,C-,C-,C,C-
70,Erie County (Northeast) PUMA,0.561440058101629,-3.197680265145561,-1.9214072590014675,#DIV/0!,#DIV/0!,2.002859496821803,#DIV/0!,#DIV/0!,B-,E,E,#DIV!0,#DIV!0,A,#DIV!0,#DIV!0
71,NYC-Manhattan Community District 11--East Harlem PUMA,-1.8933478485398847,-0.3890016029656684,-0.3708693654318142,0.6627139167672926,0.5161289073543777,-1.0130836702493844,0.7921682688784772,-0.24218448488380054,E,C-,C-,B-,B-,D,B,C
72,Orange County (Southeast) PUMA,0.561440058101629,-0.7496117468901708,-0.7689587738707052,-2.0413925570142126,0.46283159697915627,-1.0130836702493844,-0.6944662803786902,-0.606177339046054,B-,C-,D,E,B-,D,C-,C-
73,Westchester County (Southeast) PUMA,-0.7198280419631203,0.15827721731924313,0.4273820124763433,0.6185389027866477,0.6601148554662244,-0.588509146729654,-0.3047625199603021,0.03588761134219742,C-,C,B-,B-,B-,C-,C-,C
74,NYC-Queens Community District 1--Astoria & Long Island City PUMA,-0.7355911274049612,-0.23765140003537388,-0.05519954098104477,0.49230919886960095,0.2010500321089668,-0.692409579899307,0.20859922184565743,-0.11698474221378026,C-,C,C,B-,C,C-,C,C
75,Livingston & Wyoming Counties PUMA,-3.752847095100185,0.7378629564592325,1.2456006101190173,1.0471212096087812,#DIV/0!,0.7741419102372452,-0.5067921647056497,#DIV/0!,E,B-,B,B,#DIV!0,B,C-,#DIV!0
76,Suffolk County (Central)--Brookhaven Town (West Central) PUMA,-0.5665029740294791,0.39419580189656006,1.166005014116343,1.0471212096087812,#DIV/0!,2.002859496821803,-0.5665066560561626,#DIV/0!,C-,B-,B,B,#DIV!0,A,C-,#DIV!0
77,Westchester County (Southwest)--Yonkers City PUMA,0.21846051541599426,0.01502281612411338,-0.8593399735994462,-0.31282450152056124,-1.2134974147461024,-0.5922281516120655,0.35118445054282293,-0.3418888941993207,C,C,D,C-,D,C-,B-,C-
78,Erie County (North Central) PUMA,0.561440058101629,-0.8870673723536997,-1.9214072590014675,-2.0413925570142126,#DIV/0!,2.002859496821803,-0.4812002398411442,#DIV/0!,B-,D,E,E,#DIV!0,A,C-,#DIV!0
79,Saratoga County (South & Central) PUMA,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0
80,Suffolk County (South Central)--Brookhaven Town (South) PUMA,0.561440058101629,1.052706414187616,1.498961239648656,1.0471212096087812,1.1991323292479055,0.6644231800742347,-0.6283962296284327,0.7707697430343414,B-,B,A-,B,B,B-,C-,B
81,"NYC-Staten Island Community District 3--Tottenville, Great Kills & Annadale PUMA",#DIV/0!,#DIV/0!,1.498961239648656,#DIV/0!,#DIV/0!,2.002859496821803,#DIV/0!,#DIV/0!,#DIV!0,#DIV!0,A-,#DIV!0,#DIV!0,A,#DIV!0,#DIV!0
82,Herkimer (North & Central) & Oneida (Outer) Counties PUMA,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0
83,Niagara County (North & East) PUMA,0.561440058101629,1.052706414187616,1.498961239648656,1.0471212096087812,#DIV/0!,#DIV/0!,0.3462719974445341,#DIV/0!,B-,B,A-,B,#DIV!0,#DIV!0,B-,#DIV!0
84,Monroe County (Central)--Rochester City (East) PUMA,-2.2787522322864313,0.6720747712622567,-0.4542084641053962,0.7216338103159597,-0.4678626106040208,0.20966975857223738,-0.309438667614301,-0.27241194777995653,E,B-,C-,B-,C-,C,C-,C-
85,Warren & Washington Counties PUMA,0.561440058101629,1.052706414187616,1.498961239648656,1.0471212096087812,#DIV/0!,#DIV/0!,0.056230182313471586,#DIV/0!,B-,B,A-,B,#DIV!0,#DIV!0,C,#DIV!0
86,Nassau County (Southwest)--Hempstead Town (Southwest) & Long Beach City PUMA,0.561440058101629,1.052706414187616,-1.0932961965248902,-1.6112374363146313,-0.9781775057225265,-1.0130836702493844,-0.6642407200930346,-0.5351270080878888,B-,B,D,D-,D,D,C-,C-
87,NYC-Brooklyn Community District 8--Crown Heights North & Prospect Heights PUMA,0.561440058101629,0.08088433423957803,-0.839578459190608,-2.0413925570142126,0.7630352694482857,-0.7151230200086164,-0.8431272988641457,-0.4334088104697272,B-,C,D,E,B,C-,D,C-
88,Onondaga County (Central)--Syracuse City PUMA,0.561440058101629,0.5138683678010071,0.2700717004907904,0.8262740713670503,-0.1464967963547419,0.2277615184884756,-0.21599710223747737,0.29098883109381896,B-,B-,B-,B,C,C,C,B-
89,Westchester County (Central)--White Plains City PUMA,0.561440058101629,0.6334953440897397,0.5619920432941765,0.3212143920364486,-0.05796321516703328,-0.3530068359875838,-0.3823569762247829,0.18354497287751345,B-,B-,B-,B-,C,C-,C-,C
90,NYC-Brooklyn Community District 3--Bedford-Stuyvesant PUMA,0.561440058101629,-0.28397029685484304,0.18787194732196794,1.0237233780434554,1.1991323292479055,-1.0130836702493844,-0.33388151635062924,0.1916046041800145,B-,C-,C,B,B,D,C-,C
91,"NYC-Bronx Community District 1 & 2--Hunts Point, Longwood & Melrose PUMA",0.04503206779545091,0.5994257792317914,-0.5326727933409666,-0.3961004212079542,0.3798293714879514,-0.7469942608847827,0.06865217893473069,-0.08326115399768273,C,B-,C-,C-,B-,C-,C,C
92,Cattaraugus & Allegany Counties PUMA,0.561440058101629,-0.10648995290325024,-0.5739893655938432,-0.3684476000934241,1.1991323292479055,-1.0130836702493844,0.28175902018192645,-0.0028113116154915613,B-,C,C-,C-,B,D,B-,C
93,Oswego County PUMA,0.561440058101629,1.052706414187616,1.498961239648656,1.0471212096087812,#DIV/0!,2.002859496821803,-0.1399745749810707,#DIV/0!,B-,B,A-,B,#DIV!0,A,C,#DIV!0
94,"NYC-Queens Community District 5--Ridgewood, Glendale & Middle Village PUMA",0.561440058101629,0.5516946510198404,0.2085207972627163,0.27245565368691294,0.3442134615986229,-0.17020269081160935,0.16943730931268136,0.27679417716725624,B-,B-,C,B-,B-,C,C,B-
95,Monroe County (East) PUMA,#DIV/0!,#DIV/0!,-0.18719743273825049,#DIV/0!,-0.5679993267079789,-1.0130836702493844,#DIV/0!,#DIV/0!,#DIV!0,#DIV!0,C,#DIV!0,C-,D,#DIV!0,#DIV!0
96,Westchester County (South Central)--New Rochelle & Mount Vernon Cities PUMA,-0.24323126290673575,-0.4325379052617003,0.17119049442919831,-0.2693460011898296,-1.14426766352149,-0.16820878530821629,0.41983684894552187,-0.23808061068760736,C,C-,C,C-,D,C,B-,C
97,"NYC-Queens Community District 14--Far Rockaway, Breezy Point & Broad Channel PUMA",-0.5847620459147325,-0.15230011861302725,-0.06562042119482617,0.2694378870778115,0.48997947021998806,-0.8003723133778649,2.7543064240838695,0.27295269746874545,C-,C,C,B-,B-,D,A,B-
98,"NYC-Brooklyn Community District 12--Borough Park, Kensington & Ocean Parkway PUMA",0.06242551318989318,-0.3761876245275378,-0.540332482538646,-0.39990081239738773,-0.4069604286555826,-0.7276377106572924,-0.43389329816117383,-0.40321240624967525,C,C-,C-,C-,C-,C-,C-,C-
99,"NYC-Bronx Community District 10--Co-op City, Pelham Bay & Schuylerville PUMA",0.561440058101629,0.16430591973682904,0.4986647919302237,0.37500940547320744,1.1991323292479055,0.5707606973634719,-0.23473983734635542,0.4477961949295587,B-,C,B-,B-,B,B-,C,B-
100,"NYC-Queens Community District 11--Bayside, Douglaston & Little Neck PUMA",0.561440058101629,-0.7056727326050133,0.1914899051145887,-0.47308182816826866,-0.4861340562281811,0.8353141162646313,0.1180009303476719,0.005908056118151118,B-,C-,C,C-,C-,B,C,C
101,"NYC-Manhattan Community District 6--Murray Hill, Gramercy & Stuyvesant Town PUMA",#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0
102,Chautauqua County PUMA,0.561440058101629,-0.19097586175874742,0.4981460197864011,1.0471212096087812,#DIV/0!,2.002859496821803,0.09616909535959381,#DIV/0!,B-,C,B-,B,#DIV!0,A,C,#DIV!0
103,NYC-Brooklyn Community District 18--Canarsie & Flatlands PUMA,0.561440058101629,-0.7871134122536011,0.1743395715842544,0.42339628459438833,-0.3587538815747302,0.164686264822815,0.012578960422945469,0.027224835099671555,B-,D,C,B-,C-,C,C,C
104,Erie County (West Central)--Buffalo City (East) PUMA,-3.6427112434779563,-1.4548438861721242,-0.9267928328996548,1.0471212096087812,-1.364289207284437,0.32679415033959236,-0.1399745749810707,-0.8792423406952671,E,D-,D,B,D-,B-,C,D
