,puma,Total_Population,BABS_mf_t,BABS_m,BABS_f,HS_mf_t,HS_m,HS_f,HSINC_mf_t,HSINC_m,HSINC_f
85,"NYC-Bronx Community District 12--Wakefield, Williamsbridge & Woodlawn PUMA",7321,2687,1136,1551,4174,2169,2005,460,409,51
86,Suffolk County (South Central)--Brookhaven Town (South) PUMA,5346,1043,535,508,3531,2397,1134,772,569,203
87,NYC-Queens Community District 4--Elmhurst & South Corona PUMA,42402,15580,10345,5235,20993,11938,9055,5829,3628,2201
88,Livingston & Wyoming Counties PUMA,1007,127,20,107,796,496,300,84,84,0
89,"NYC-Bronx Community District 10--Co-op City, Pelham Bay & Schuylerville PUMA",9889,3430,1382,2048,5388,2215,3173,1071,570,501
90,Cattaraugus & Allegany Counties PUMA,472,395,197,198,77,44,33,0,0,0
91,Herkimer (North & Central) & Oneida (Outer) Counties PUMA,680,182,182,0,442,131,311,56,56,0
92,Orange County (Northwest) PUMA,4781,1828,519,1309,2549,920,1629,404,221,183
93,Columbia & Greene Counties PUMA,1363,493,386,107,870,560,310,0,0,0
94,Suffolk County (East) PUMA,7547,1483,794,689,4737,1981,2756,1327,914,413
95,Monroe County (East) PUMA,3968,1788,780,1008,1733,737,996,447,215,232
96,Sullivan & Ulster (West) Counties PUMA,4001,1370,664,706,2415,940,1475,216,146,70
97,Cayuga & Onondaga (South) Counties PUMA,408,133,103,30,221,150,71,54,54,0
98,"NYC-Bronx Community District 1 & 2--Hunts Point, Longwood & Melrose PUMA",14837,3052,1395,1657,8328,4373,3955,3457,2006,1451
99,Suffolk County (Southwest)--Babylon Town (Southeast) PUMA,6077,2093,945,1148,2716,1017,1699,1268,885,383
100,Onondaga County (Central)--Syracuse City PUMA,7281,3349,1993,1356,2873,1603,1270,1059,463,596
101,Ulster County (East) PUMA,4402,1505,542,963,1692,1294,398,1205,614,591
102,NYC-Queens Community District 9--Richmond Hill & Woodhaven PUMA,33159,9500,4974,4526,19530,9480,10050,4129,2468,1661
103,NYC-Brooklyn Community District 13--Brighton Beach & Coney Island PUMA,16459,7347,3398,3949,7042,3495,3547,2070,1387,683
104,Broome County (West Central)--Greater Binghamton City & Greater Johnson City Village PUMA,3736,2399,1138,1261,885,746,139,452,236,216
105,Nassau County (South Central)--Hempstead Town (Southeast) PUMA,7108,2864,1071,1793,3799,1671,2128,445,298,147
106,Saratoga County (Outer) PUMA,1089,409,105,304,680,380,300,0,0,0
107,"NYC-Manhattan Community District 4 & 5--Chelsea, Clinton & Midtown Business District PUMA",18517,13107,7285,5822,3691,1933,1758,1719,387,1332
108,NYC-Brooklyn Community District 4--Bushwick PUMA,10966,1885,1019,866,6554,3907,2647,2527,1561,966
109,Suffolk County (Central)--Islip Town (East) PUMA,2319,843,318,525,1057,321,736,419,79,340
110,Westchester County (Southwest)--Yonkers City PUMA,24833,9300,3944,5356,10881,6156,4725,4652,2666,1986
111,Nassau County (West Central)--North Hempstead Town (South) PUMA,17124,10103,4840,5263,5234,1714,3520,1787,1010,777
112,"NYC-Queens Community District 8--Briarwood, Fresh Meadows & Hillcrest PUMA",32350,13228,6623,6605,16140,6565,9575,2982,1197,1785
113,Jefferson & Lewis Counties PUMA,1789,489,260,229,1117,392,725,183,157,26
114,Suffolk County (Central)--Brookhaven Town (West Central) PUMA,5232,1824,949,875,2474,1653,821,934,322,612
115,Suffolk County (Northwest)--Huntington Town (South) PUMA,5915,2166,1295,871,3177,1464,1713,572,333,239
116,NYC-Brooklyn Community District 16--Brownsville & Ocean Hill PUMA,5969,904,532,372,3061,1312,1749,2004,1171,833
117,"NYC-Staten Island Community District 1--Port Richmond, Stapleton & Mariner's Harbor PUMA",18413,6816,3455,3361,8654,4500,4154,2943,1855,1088
