,puma,Total_geo,Total_geo_m,Total_geo_f,Total_NP_mf_t,Total_NP_m,Total_NP_f,Total_P_mf_t,Total_P_m,Total_P_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_NP_mf_t,BABS_NP_m,BABS_NP_f,BABS_P_mf_t,BABS_P_m,BABS_P_f,Total_HS,Total_HS_m,Total_HS_f,HS_NP_mf_t,HS_NP_m,HS_NP_f,HS_P_mf_t,HS_P_m,HS_P_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_NP_mf_t,HSINC_NP_m,HSINC_NP_f,HSINC_P_mf_t,HSINC_P_m,HSINC_P_f
31,Monroe County (North & West) PUMA,54269,27200,27069,45311,23308,22003,8958,3892,5066,22086,9688,12398,19538,8738,10800,2548,950,1598,30243,16879,13364,24801,14046,10755,5442,2833,2609,1940,633,1307,972,524,448,968,109,859
32,Schenectady County--Schenectady City PUMA,68562,33691,34871,59421,29848,29573,9141,3843,5298,24652,10191,14461,23901,9915,13986,751,276,475,39558,21393,18165,32433,18559,13874,7125,2834,4291,4352,2107,2245,3087,1374,1713,1265,733,532
33,"Rockland County (West)--Spring Valley, Suffern Villages & Monsey PUMA",27959,13758,14201,17398,8374,9024,10561,5384,5177,8796,4487,4309,7324,3831,3493,1472,656,816,15464,7669,7795,9169,4094,5075,6295,3575,2720,3699,1602,2097,905,449,456,2794,1153,1641
34,Niagara County (North & East) PUMA,53386,26596,26790,44150,22385,21765,9236,4211,5025,14841,6104,8737,13817,5804,8013,1024,300,724,36072,19295,16777,28407,15919,12488,7665,3376,4289,2473,1197,1276,1926,662,1264,547,535,12
35,Suffolk County (Central)--Brookhaven Town (Central) PUMA,61396,28675,32721,56233,26864,29369,5163,1811,3352,19542,7617,11925,18793,7547,11246,749,70,679,39132,19398,19734,35460,18214,17246,3672,1184,2488,2722,1660,1062,1980,1103,877,742,557,185
36,Suffolk County (East) PUMA,51857,26465,25392,45699,23990,21709,6158,2475,3683,26673,12756,13917,24742,11857,12885,1931,899,1032,23939,12948,10991,20188,11617,8571,3751,1331,2420,1245,761,484,769,516,253,476,245,231
37,Warren & Washington Counties PUMA,61718,30417,31301,50991,25282,25709,10727,5135,5592,17119,7662,9457,16544,7177,9367,575,485,90,39616,19971,19645,32345,16777,15568,7271,3194,4077,4983,2784,2199,2102,1328,774,2881,1456,1425
38,NYC-Queens Community District 6--Forest Hills & Rego Park PUMA,27684,13832,13852,24335,12587,11748,3349,1245,2104,18296,9080,9216,16703,8349,8354,1593,731,862,8774,4426,4348,7264,3979,3285,1510,447,1063,614,326,288,368,259,109,246,67,179
39,"NYC-Brooklyn Community District 9--Crown Heights South, Prospect Lefferts & Wingate PUMA",34883,16780,18103,28612,14428,14184,6271,2352,3919,18103,8463,9640,17270,8188,9082,833,275,558,13965,6647,7318,9736,5443,4293,4229,1204,3025,2815,1670,1145,1606,797,809,1209,873,336
40,Westchester County (Central)--White Plains City PUMA,54252,26307,27945,49260,25622,23638,4992,685,4307,37979,18193,19786,35291,17853,17438,2688,340,2348,15073,7790,7283,13732,7672,6060,1341,118,1223,1200,324,876,237,97,140,963,227,736
