,puma,Total_geo,Total_geo_m,Total_geo_f,Total_Owner_mf_t,Total_Owner_m,Total_Owner_f,Total_NotOwner_mf_t,Total_NotOwner_m,Total_NotOwner_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_Owner_mf_t,BABS_Owner_m,BABS_Owner_f,BABS_NotOwner_mf_t,BABS_NotOwner_m,BABS_NotOwner_f,Total_HS,Total_HS_m,Total_HS_f,HS_Owner_mf_t,HS_Owner_m,HS_Owner_f,HS_NotOwner_mf_t,HS_NotOwner_m,HS_NotOwner_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_Owner_mf_t,HSINC_Owner_m,HSINC_Owner_f,HSINC_NotOwner_mf_t,HSINC_NotOwner_m,HSINC_NotOwner_f
118,NYC-Brooklyn Community District 4--Bushwick PUMA,43665.0,22864.0,20801.0,7418.0,4548.0,2870.0,36247.0,18316.0,17931.0,22950.0,10820.0,12130.0,3577.0,1804.0,1773.0,19373.0,9016.0,10357.0,15938.0,9828.0,6110.0,3167.0,2070.0,1097.0,12771.0,7758.0,5013.0,4777.0,2216.0,2561.0,674.0,674.0,0.0,4103.0,1542.0,2561.0
119,"NYC-Manhattan Community District 4 & 5--Chelsea, Clinton & Midtown Business District PUMA",68866.0,37143.0,31723.0,17737.0,7851.0,9886.0,51129.0,29292.0,21837.0,55668.0,29665.0,26003.0,15455.0,6843.0,8612.0,40213.0,22822.0,17391.0,12572.0,7186.0,5386.0,1948.0,1008.0,940.0,10624.0,6178.0,4446.0,626.0,292.0,334.0,334.0,0.0,334.0,292.0,292.0,0.0
120,"NYC-Brooklyn Community District 6--Park Slope, Carroll Gardens & Red Hook PUMA",54842.0,24855.0,29987.0,21740.0,10818.0,10922.0,33102.0,14037.0,19065.0,44177.0,18051.0,26126.0,17463.0,7972.0,9491.0,26714.0,10079.0,16635.0,9504.0,6379.0,3125.0,4146.0,2756.0,1390.0,5358.0,3623.0,1735.0,1161.0,425.0,736.0,131.0,90.0,41.0,1030.0,335.0,695.0
121,NYC-Brooklyn Community District 3--Bedford-Stuyvesant PUMA,58650.0,26770.0,31880.0,16119.0,7435.0,8684.0,42531.0,19335.0,23196.0,26717.0,11590.0,15127.0,7513.0,2950.0,4563.0,19204.0,8640.0,10564.0,27184.0,13114.0,14070.0,7892.0,4289.0,3603.0,19292.0,8825.0,10467.0,4749.0,2066.0,2683.0,714.0,196.0,518.0,4035.0,1870.0,2165.0
122,NYC-Queens Community District 10--Howard Beach & Ozone Park PUMA,27854.0,14078.0,13776.0,20443.0,10437.0,10006.0,7411.0,3641.0,3770.0,9736.0,4165.0,5571.0,7294.0,2960.0,4334.0,2442.0,1205.0,1237.0,15587.0,8582.0,7005.0,11705.0,6440.0,5265.0,3882.0,2142.0,1740.0,2531.0,1331.0,1200.0,1444.0,1037.0,407.0,1087.0,294.0,793.0
123,Suffolk County (Northwest)--Huntington Town (North) PUMA,43014.0,20624.0,22390.0,38561.0,18760.0,19801.0,4453.0,1864.0,2589.0,26231.0,11993.0,14238.0,24324.0,10957.0,13367.0,1907.0,1036.0,871.0,15471.0,7581.0,7890.0,13011.0,6753.0,6258.0,2460.0,828.0,1632.0,1312.0,1050.0,262.0,1226.0,1050.0,176.0,86.0,0.0,86.0
124,Orange County (Southeast) PUMA,49346.0,25435.0,23911.0,36763.0,18293.0,18470.0,12583.0,7142.0,5441.0,20003.0,8903.0,11100.0,17509.0,7521.0,9988.0,2494.0,1382.0,1112.0,25711.0,13864.0,11847.0,18334.0,10413.0,7921.0,7377.0,3451.0,3926.0,3632.0,2668.0,964.0,920.0,359.0,561.0,2712.0,2309.0,403.0
125,Nassau County (East Central)--Oyster Bay Town (Central) PUMA,36497.0,17924.0,18573.0,34959.0,17177.0,17782.0,1538.0,747.0,791.0,22115.0,10473.0,11642.0,21465.0,10207.0,11258.0,650.0,266.0,384.0,13718.0,7088.0,6630.0,12982.0,6607.0,6375.0,736.0,481.0,255.0,664.0,363.0,301.0,512.0,363.0,149.0,152.0,0.0,152.0
126,Suffolk County (Northwest)--Smithtown Town PUMA,52878.0,26272.0,26606.0,49188.0,24561.0,24627.0,3690.0,1711.0,1979.0,31349.0,14661.0,16688.0,29816.0,14165.0,15651.0,1533.0,496.0,1037.0,20644.0,11167.0,9477.0,18487.0,9952.0,8535.0,2157.0,1215.0,942.0,885.0,444.0,441.0,885.0,444.0,441.0,0.0,0.0,0.0
127,"NYC-Brooklyn Community District 17--East Flatbush, Farragut & Rugby PUMA",28118.0,13463.0,14655.0,13388.0,6795.0,6593.0,14730.0,6668.0,8062.0,11416.0,3604.0,7812.0,6443.0,2406.0,4037.0,4973.0,1198.0,3775.0,14626.0,9027.0,5599.0,6340.0,4106.0,2234.0,8286.0,4921.0,3365.0,2076.0,832.0,1244.0,605.0,283.0,322.0,1471.0,549.0,922.0
128,"NYC-Bronx Community District 9--Castle Hill, Clason Point & Parkchester PUMA",45349.0,21087.0,24262.0,10198.0,6082.0,4116.0,35151.0,15005.0,20146.0,10040.0,3953.0,6087.0,3394.0,1593.0,1801.0,6646.0,2360.0,4286.0,28718.0,14862.0,13856.0,5694.0,3663.0,2031.0,23024.0,11199.0,11825.0,6591.0,2272.0,4319.0,1110.0,826.0,284.0,5481.0,1446.0,4035.0
129,NYC-Queens Community District 9--Richmond Hill & Woodhaven PUMA,25745.0,14099.0,11646.0,13370.0,7823.0,5547.0,12375.0,6276.0,6099.0,9655.0,4633.0,5022.0,5726.0,2802.0,2924.0,3929.0,1831.0,2098.0,14430.0,8596.0,5834.0,6961.0,4526.0,2435.0,7469.0,4070.0,3399.0,1660.0,870.0,790.0,683.0,495.0,188.0,977.0,375.0,602.0
130,Westchester County (Southwest)--Yonkers City PUMA,58407.0,28180.0,30227.0,31246.0,15829.0,15417.0,27161.0,12351.0,14810.0,23583.0,10389.0,13194.0,17150.0,8382.0,8768.0,6433.0,2007.0,4426.0,28171.0,13524.0,14647.0,12572.0,6495.0,6077.0,15599.0,7029.0,8570.0,6653.0,4267.0,2386.0,1524.0,952.0,572.0,5129.0,3315.0,1814.0
131,Broome (Outer West) & Tioga Counties PUMA,52179.0,26315.0,25864.0,45044.0,23194.0,21850.0,7135.0,3121.0,4014.0,13950.0,5961.0,7989.0,12647.0,5233.0,7414.0,1303.0,728.0,575.0,34616.0,18415.0,16201.0,29618.0,16394.0,13224.0,4998.0,2021.0,2977.0,3613.0,1939.0,1674.0,2779.0,1567.0,1212.0,834.0,372.0,462.0
132,NYC-Brooklyn Community District 10--Bay Ridge & Dyker Heights PUMA,31455.0,15156.0,16299.0,16050.0,7531.0,8519.0,15405.0,7625.0,7780.0,18734.0,8157.0,10577.0,10447.0,4590.0,5857.0,8287.0,3567.0,4720.0,11038.0,5976.0,5062.0,5157.0,2780.0,2377.0,5881.0,3196.0,2685.0,1683.0,1023.0,660.0,446.0,161.0,285.0,1237.0,862.0,375.0
133,"NYC-Queens Community District 5--Ridgewood, Glendale & Middle Village PUMA",47807.0,24412.0,23395.0,21221.0,9929.0,11292.0,26586.0,14483.0,12103.0,18613.0,8926.0,9687.0,8768.0,3933.0,4835.0,9845.0,4993.0,4852.0,25448.0,12533.0,12915.0,11009.0,4741.0,6268.0,14439.0,7792.0,6647.0,3746.0,2953.0,793.0,1444.0,1255.0,189.0,2302.0,1698.0,604.0
