,puma,Total_geo,Total_geo_m,Total_geo_f,Total_FT_mf_t,Total_FT_m,Total_FT_f,Total_PT_mf_t,Total_PT_m,Total_PT_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_FT_mf_t,BABS_FT_m,BABS_FT_f,BABS_PT_mf_t,BABS_PT_m,BABS_PT_f,Total_HS,Total_HS_m,Total_HS_f,HS_FT_mf_t,HS_FT_m,HS_FT_f,HS_PT_mf_t,HS_PT_m,HS_PT_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_FT_mf_t,HSINC_FT_m,HSINC_FT_f,HSINC_PT_mf_t,HSINC_PT_m,HSINC_PT_f
38,NYC-Queens Community District 6--Forest Hills & Rego Park PUMA,1459,590,869,1402,533,869,57,57,0,953,394,559,953,394,559,0,0,0,506,196,310,449,139,310,57,57,0,0,0,0,0,0,0,0,0,0
39,"NYC-Brooklyn Community District 9--Crown Heights South, Prospect Lefferts & Wingate PUMA",301,138,163,0,0,0,301,138,163,138,138,0,0,0,0,138,138,0,0,0,0,0,0,0,0,0,0,163,0,163,0,0,0,163,0,163
40,Westchester County (Central)--White Plains City PUMA,2249,933,1316,1617,740,877,632,193,439,991,453,538,854,453,401,137,0,137,869,480,389,576,287,289,293,193,100,389,0,389,187,0,187,202,0,202
41,"NYC-Bronx Community District 1 & 2--Hunts Point, Longwood & Melrose PUMA",1455,846,609,1009,710,299,446,136,310,157,114,43,157,114,43,0,0,0,851,470,381,590,334,256,261,136,125,447,262,185,262,262,0,185,0,185
42,Erie County (North Central) PUMA,78,0,78,78,0,78,0,0,0,78,0,78,78,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,Chautauqua County PUMA,305,130,175,230,55,175,75,75,0,175,0,175,175,0,175,0,0,0,75,75,0,0,0,0,75,75,0,55,55,0,55,55,0,0,0,0
44,Dutchess County (Southwest) PUMA,2474,1306,1168,2064,1121,943,410,185,225,490,129,361,376,129,247,114,0,114,1693,1111,582,1508,926,582,185,185,0,291,66,225,180,66,114,111,0,111
45,Westchester County (Southeast) PUMA,2894,1700,1194,2545,1700,845,349,0,349,1007,310,697,846,310,536,161,0,161,1819,1322,497,1631,1322,309,188,0,188,68,68,0,68,68,0,0,0,0
46,Rockland County (North)--New City & Congers PUMA,1386,700,686,1079,700,379,307,0,307,448,236,212,347,236,111,101,0,101,809,390,419,658,390,268,151,0,151,129,74,55,74,74,0,55,0,55
47,NYC-Staten Island Community District 2--New Springville & South Beach PUMA,1183,615,568,688,405,283,495,210,285,545,405,140,545,405,140,0,0,0,638,210,428,143,0,143,495,210,285,0,0,0,0,0,0,0,0,0
48,Suffolk County (Southwest)--Islip Town (South) PUMA,641,641,0,641,641,0,0,0,0,209,209,0,209,209,0,0,0,0,432,432,0,432,432,0,0,0,0,0,0,0,0,0,0,0,0,0
49,Erie County (West Central)--Buffalo City (East) PUMA,49,49,0,49,49,0,0,0,0,0,0,0,0,0,0,0,0,0,49,49,0,49,49,0,0,0,0,0,0,0,0,0,0,0,0,0
50,Wayne & Seneca Counties PUMA,240,0,240,240,0,240,0,0,0,0,0,0,0,0,0,0,0,0,240,0,240,240,0,240,0,0,0,0,0,0,0,0,0,0,0,0
51,Monroe County (South) PUMA,691,359,332,547,270,277,144,89,55,570,293,277,481,204,277,89,89,0,55,0,55,0,0,0,55,0,55,66,66,0,66,66,0,0,0,0
52,Tompkins County PUMA,27,27,0,27,27,0,0,0,0,27,27,0,27,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,Suffolk County (South Central)--Brookhaven Town (South) PUMA,4242,1854,2388,4002,1854,2148,240,0,240,0,0,0,0,0,0,0,0,0,2219,472,1747,1979,472,1507,240,0,240,2023,1382,641,2023,1382,641,0,0,0
54,"Otsego, Schoharie, Oneida (South) & Herkimer (South) Counties PUMA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,NYC-Manhattan Community District 8--Upper East Side PUMA,1435,362,1073,816,313,503,619,49,570,1386,313,1073,816,313,503,570,0,570,49,49,0,0,0,0,49,49,0,0,0,0,0,0,0,0,0,0
56,"NYC-Manhattan Community District 1 & 2--Battery Park City, Greenwich Village & Soho PUMA",1139,127,1012,885,127,758,254,0,254,1139,127,1012,885,127,758,254,0,254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,"NYC-Manhattan Community District 12--Washington Heights, Inwood & Marble Hill PUMA",5324,3707,1617,4047,2743,1304,1277,964,313,1116,759,357,841,557,284,275,202,73,2803,1650,1153,1952,1039,913,851,611,240,1405,1298,107,1254,1147,107,151,151,0
58,NYC-Brooklyn Community District 18--Canarsie & Flatlands PUMA,84,45,39,84,45,39,0,0,0,39,0,39,39,0,39,0,0,0,45,45,0,45,45,0,0,0,0,0,0,0,0,0,0,0,0,0
59,"NYC-Bronx Community District 12--Wakefield, Williamsbridge & Woodlawn PUMA",703,357,346,660,357,303,43,0,43,51,0,51,51,0,51,0,0,0,431,179,252,431,179,252,0,0,0,221,178,43,178,178,0,43,0,43
60,Suffolk County (Central)--Islip Town (Northwest) PUMA,13073,7887,5186,11819,7335,4484,1254,552,702,1453,829,624,1327,703,624,126,126,0,8954,5459,3495,7949,5033,2916,1005,426,579,2666,1599,1067,2543,1599,944,123,0,123
61,"NYC-Queens Community District 14--Far Rockaway, Breezy Point & Broad Channel PUMA",1253,121,1132,679,121,558,574,0,574,0,0,0,0,0,0,0,0,0,796,121,675,222,121,101,574,0,574,457,0,457,457,0,457,0,0,0
62,Saratoga County (South & Central) PUMA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,Cattaraugus & Allegany Counties PUMA,16,0,16,16,0,16,0,0,0,0,0,0,0,0,0,0,0,0,16,0,16,16,0,16,0,0,0,0,0,0,0,0,0,0,0,0
64,Genesee & Orleans Counties PUMA,43,43,0,43,43,0,0,0,0,0,0,0,0,0,0,0,0,0,43,43,0,43,43,0,0,0,0,0,0,0,0,0,0,0,0,0
65,Cayuga & Onondaga (South) Counties PUMA,364,138,226,292,138,154,72,0,72,0,0,0,0,0,0,0,0,0,331,105,226,259,105,154,72,0,72,33,33,0,33,33,0,0,0,0
66,Sullivan & Ulster (West) Counties PUMA,1054,769,285,871,586,285,183,183,0,202,0,202,202,0,202,0,0,0,518,435,83,335,252,83,183,183,0,334,334,0,334,334,0,0,0,0
67,"NYC-Bronx Community District 7--Bedford Park, Fordham North & Norwood PUMA",2080,1089,991,1392,946,446,688,143,545,589,143,446,446,0,446,143,143,0,1224,946,278,946,946,0,278,0,278,267,0,267,0,0,0,267,0,267
68,Suffolk County (Central)--Brookhaven Town (West Central) PUMA,2057,1171,886,1937,1171,766,120,0,120,438,62,376,318,62,256,120,0,120,1007,732,275,1007,732,275,0,0,0,612,377,235,612,377,235,0,0,0
69,NYC-Queens Community District 1--Astoria & Long Island City PUMA,2771,1755,1016,2087,1447,640,684,308,376,1005,741,264,951,741,210,54,0,54,1374,726,648,885,559,326,489,167,322,392,288,104,251,147,104,141,141,0
70,Jefferson & Lewis Counties PUMA,286,0,286,0,0,0,286,0,286,0,0,0,0,0,0,0,0,0,286,0,286,0,0,0,286,0,286,0,0,0,0,0,0,0,0,0
