,puma,Total_geo,Total_geo_m,Total_geo_f,Total_NP_mf_t,Total_NP_m,Total_NP_f,Total_P_mf_t,Total_P_m,Total_P_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_NP_mf_t,BABS_NP_m,BABS_NP_f,BABS_P_mf_t,BABS_P_m,BABS_P_f,Total_HS,Total_HS_m,Total_HS_f,HS_NP_mf_t,HS_NP_m,HS_NP_f,HS_P_mf_t,HS_P_m,HS_P_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_NP_mf_t,HSINC_NP_m,HSINC_NP_f,HSINC_P_mf_t,HSINC_P_m,HSINC_P_f
55,NYC-Manhattan Community District 8--Upper East Side PUMA,1435,362,1073,1435,362,1073,0,0,0,1386,313,1073,1386,313,1073,0,0,0,49,49,0,49,49,0,0,0,0,0,0,0,0,0,0,0,0,0
56,"NYC-Manhattan Community District 1 & 2--Battery Park City, Greenwich Village & Soho PUMA",1139,127,1012,885,127,758,254,0,254,1139,127,1012,885,127,758,254,0,254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,"NYC-Manhattan Community District 12--Washington Heights, Inwood & Marble Hill PUMA",6611,4405,2206,4598,3216,1382,2013,1189,824,1671,896,775,1111,694,417,560,202,358,3114,1961,1153,2508,1650,858,606,311,295,1826,1548,278,979,872,107,847,676,171
58,NYC-Brooklyn Community District 18--Canarsie & Flatlands PUMA,247,153,94,139,45,94,108,108,0,39,0,39,39,0,39,0,0,0,208,153,55,100,45,55,108,108,0,0,0,0,0,0,0,0,0,0
59,"NYC-Bronx Community District 12--Wakefield, Williamsbridge & Woodlawn PUMA",1094,404,690,909,344,565,185,60,125,51,0,51,51,0,51,0,0,0,650,179,471,650,179,471,0,0,0,393,225,168,208,165,43,185,60,125
60,Suffolk County (Central)--Islip Town (Northwest) PUMA,14016,8155,5861,13110,7664,5446,906,491,415,1551,829,722,1551,829,722,0,0,0,9302,5630,3672,8765,5270,3495,537,360,177,3163,1696,1467,2794,1565,1229,369,131,238
61,"NYC-Queens Community District 14--Far Rockaway, Breezy Point & Broad Channel PUMA",1253,121,1132,1253,121,1132,0,0,0,0,0,0,0,0,0,0,0,0,796,121,675,796,121,675,0,0,0,457,0,457,457,0,457,0,0,0
62,Saratoga County (South & Central) PUMA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,Cattaraugus & Allegany Counties PUMA,34,0,34,0,0,0,34,0,34,0,0,0,0,0,0,0,0,0,16,0,16,0,0,0,16,0,16,18,0,18,0,0,0,18,0,18
64,Genesee & Orleans Counties PUMA,106,43,63,0,0,0,106,43,63,0,0,0,0,0,0,0,0,0,106,43,63,0,0,0,106,43,63,0,0,0,0,0,0,0,0,0
65,Cayuga & Onondaga (South) Counties PUMA,425,176,249,154,0,154,271,176,95,0,0,0,0,0,0,0,0,0,369,143,226,154,0,154,215,143,72,56,33,23,0,0,0,56,33,23
