,puma,Total_Population,BABS_mf_t,BABS_m,BABS_f,HS_mf_t,HS_m,HS_f,HSINC_mf_t,HSINC_m,HSINC_f
90,NYC-Brooklyn Community District 18--Canarsie & Flatlands PUMA,17691,7175,3355,3820,9730,4930,4800,786,543,243
91,Monroe County (Central)--Rochester City (West) PUMA,19331,5934,3107,2827,11570,5669,5901,1827,1061,766
92,Erie County (Northwest) PUMA,52338,19163,8139,11024,31684,16138,15546,1491,803,688
93,NYC-Queens Community District 4--Elmhurst & South Corona PUMA,2724,924,683,241,1547,842,705,253,145,108
94,"Otsego, Schoharie, Oneida (South) & Herkimer (South) Counties PUMA",50810,12672,5517,7155,34230,17502,16728,3908,2211,1697
95,Suffolk County (Central)--Islip Town (Northwest) PUMA,13041,3479,1469,2010,8451,4522,3929,1111,655,456
96,Rensselaer County--Troy City PUMA,72710,23406,10685,12721,45184,22583,22601,4120,2500,1620
97,"NYC-Queens Community District 13--Queens Village, Cambria Heights & Rosedale PUMA",10003,3358,1641,1717,6168,3287,2881,477,226,251
98,Erie County (West Central)--Buffalo City (West) PUMA,35683,17964,9179,8785,15509,7966,7543,2210,1099,1111
99,Suffolk County (Central)--Brookhaven Town (Central) PUMA,46545,14652,6934,7718,29976,15049,14927,1917,1267,650
100,Cayuga & Onondaga (South) Counties PUMA,55525,15978,7206,8772,34864,18080,16784,4683,2981,1702
101,Sullivan & Ulster (West) Counties PUMA,42468,11774,5220,6554,27168,14269,12899,3526,2090,1436
102,Chemung (South) & Steuben (East) Counties--Greater Elmira & Greater Corning Cities PUMA,46481,13591,5674,7917,30279,15695,14584,2611,1500,1111
103,"NYC-Brooklyn Community District 17--East Flatbush, Farragut & Rugby PUMA",1209,658,315,343,491,251,240,60,58,2
104,Rockland County (North)--New City & Congers PUMA,29154,14767,6641,8126,13252,6785,6467,1135,587,548
105,Saratoga County (Outer) PUMA,58621,19108,8835,10273,36351,18405,17946,3162,1948,1214
106,Nassau County (Central)--Hempstead Town (North Central)--Meadowbrook Corridor PUMA,8253,3643,1645,1998,4350,2493,1857,260,182,78
107,Putnam County PUMA,42354,18576,8221,10355,22786,12141,10645,992,621,371
108,NYC-Brooklyn Community District 11--Bensonhurst & Bath Beach PUMA,20427,6943,3082,3861,11964,5930,6034,1520,875,645
109,Orange County (Southeast) PUMA,43032,16196,7513,8683,24027,12341,11686,2809,1547,1262
110,Onondaga County (Central)--Syracuse City (Outer) PUMA,72596,29969,14031,15938,40456,19797,20659,2171,1282,889
111,"Rockland County (West)--Spring Valley, Suffern Villages & Monsey PUMA",21580,6945,3455,3490,11911,5537,6374,2724,1652,1072
112,Monroe County (East) PUMA,57423,27766,13111,14655,28113,13196,14917,1544,882,662
113,NYC-Manhattan Community District 10--Central Harlem PUMA,10524,8644,4696,3948,1629,1112,517,251,169,82
114,Nassau County (Southwest)--Hempstead Town (Southwest) & Long Beach City PUMA,35938,22329,10981,11348,13109,6775,6334,500,222,278
115,Nassau County (Southeast)--Oyster Bay Town (South) PUMA,47671,21814,10144,11670,25116,13091,12025,741,402,339
116,Wayne & Seneca Counties PUMA,60584,12948,5595,7353,42890,21748,21142,4746,2704,2042
117,Schenectady County--Schenectady City PUMA,61043,21848,9890,11958,35844,17836,18008,3351,2103,1248
118,"NYC-Brooklyn Community District 9--Crown Heights South, Prospect Lefferts & Wingate PUMA",9288,6309,3157,3152,2671,1459,1212,308,215,93
119,"NYC-Manhattan Community District 4 & 5--Chelsea, Clinton & Midtown Business District PUMA",53747,47203,26503,20700,6334,4453,1881,210,76,134
120,Westchester County (Northeast) PUMA,50853,35588,16564,19024,14585,6960,7625,680,342,338
121,Nassau County (South Central)--Hempstead Town (Southeast) PUMA,34216,18417,8159,10258,15293,8098,7195,506,317,189
122,NYC-Queens Community District 2--Sunnyside & Woodside PUMA,17975,11723,6229,5494,5691,3293,2398,561,303,258
123,"NYC-Staten Island Community District 3--Tottenville, Great Kills & Annadale PUMA",63239,21160,9834,11326,39962,19304,20658,2117,1306,811
124,Suffolk County (Central)--Brookhaven Town (West Central) PUMA,44374,14254,6613,7641,28483,15211,13272,1637,940,697
125,NYC-Queens Community District 9--Richmond Hill & Woodhaven PUMA,10459,4424,2168,2256,5268,2936,2332,767,435,332
126,Suffolk County (Northwest)--Huntington Town (South) PUMA,39122,22163,10899,11264,16331,7967,8364,628,297,331
127,"NYC-Bronx Community District 3 & 6--Belmont, Crotona Park East & East Tremont PUMA",1358,608,305,303,633,353,280,117,90,27
128,Suffolk County (North Central)--Brookhaven Town (North) PUMA,44581,22458,10097,12361,20866,10561,10305,1257,805,452
129,NYC-Queens Community District 1--Astoria & Long Island City PUMA,38221,26705,13799,12906,10821,6360,4461,695,327,368
130,Nassau County (West Central)--Hempstead Town (Northwest) PUMA,32000,16910,8037,8873,14181,7290,6891,909,543,366
131,Westchester County (Southeast) PUMA,32419,23351,11349,12002,8553,4302,4251,515,380,135
132,"NYC-Bronx Community District 10--Co-op City, Pelham Bay & Schuylerville PUMA",16325,5670,2390,3280,9622,5044,4578,1033,449,584
