,puma,Total_Population,BABS_mf_t,BABS_m,BABS_f,HS_mf_t,HS_m,HS_f,HSINC_mf_t,HSINC_m,HSINC_f
139,"NYC-Brooklyn Community District 6--Park Slope, Carroll Gardens & Red Hook PUMA",6027,1579,448,1131,2645,932,1713,1803,1078,725
140,"NYC-Bronx Community District 4--Concourse, Highbridge & Mount Eden PUMA",18034,2921,450,2471,10735,4294,6441,4378,2209,2169
141,NYC-Manhattan Community District 8--Upper East Side PUMA,7459,4603,1704,2899,1701,362,1339,1155,1155,0
142,Orange County (Northeast)--Greater Newburgh City PUMA,8039,2027,727,1300,4557,2660,1897,1455,826,629
143,"NYC-Bronx Community District 12--Wakefield, Williamsbridge & Woodlawn PUMA",8923,2321,624,1697,5330,2327,3003,1272,569,703
144,NYC-Queens Community District 10--Howard Beach & Ozone Park PUMA,10631,2623,1099,1524,7334,3663,3671,674,274,400
145,Suffolk County (Central)--Islip Town (Northwest) PUMA,10814,1103,298,805,5285,2735,2550,4426,2122,2304
146,Capital Region,17954,4152,1451,2701,9918,4989,4929,3884,2357,1527
147,Central NY,9043,2585,905,1680,4981,2308,2673,1477,819,658
148,Finger Lakes,29921,4679,2518,2161,18368,9416,8952,6874,3571,3303
149,Long Island,100920,29053,12305,16748,59098,31518,27580,12769,7311,5458
150,Mid-Hudson,97617,33592,14388,19204,51592,28516,23076,12433,8055,4378
151,Mohawk Valley,9878,649,211,438,6706,3110,3596,2523,1444,1079
152,New York City,581792,139363,59427,79936,331809,159618,172191,110620,57574,53046
153,North Country,5651,813,332,481,3191,2213,978,1647,1182,465
154,Southern Tier,6931,2154,1528,626,2944,1622,1322,1833,1447,386
155,Western NY,24982,4624,1381,3243,14278,5983,8295,6080,3842,2238
