,puma,Total_geo,Total_geo_m,Total_geo_f,Total_Owner_mf_t,Total_Owner_m,Total_Owner_f,Total_NotOwner_mf_t,Total_NotOwner_m,Total_NotOwner_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_Owner_mf_t,BABS_Owner_m,BABS_Owner_f,BABS_NotOwner_mf_t,BABS_NotOwner_m,BABS_NotOwner_f,Total_HS,Total_HS_m,Total_HS_f,HS_Owner_mf_t,HS_Owner_m,HS_Owner_f,HS_NotOwner_mf_t,HS_NotOwner_m,HS_NotOwner_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_Owner_mf_t,HSINC_Owner_m,HSINC_Owner_f,HSINC_NotOwner_mf_t,HSINC_NotOwner_m,HSINC_NotOwner_f
41,Suffolk County (Central)--Islip Town (East) PUMA,258.0,70.0,188.0,70.0,70.0,0.0,188.0,0.0,188.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,188.0,0.0,188.0,0.0,0.0,0.0,188.0,0.0,188.0,70.0,70.0,0.0,70.0,70.0,0.0,0.0,0.0,0.0
42,"NYC-Brooklyn Community District 9--Crown Heights South, Prospect Lefferts & Wingate PUMA",187.0,105.0,82.0,0.0,0.0,0.0,187.0,105.0,82.0,187.0,105.0,82.0,0.0,0.0,0.0,187.0,105.0,82.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,"NYC-Queens Community District 7--Flushing, Murray Hill & Whitestone PUMA",5242.0,2147.0,3095.0,2953.0,1205.0,1748.0,2289.0,942.0,1347.0,1464.0,613.0,851.0,898.0,488.0,410.0,566.0,125.0,441.0,3334.0,1156.0,2178.0,1748.0,476.0,1272.0,1586.0,680.0,906.0,444.0,378.0,66.0,307.0,241.0,66.0,137.0,137.0,0.0
44,NYC-Queens Community District 3--Jackson Heights & North Corona PUMA,8754.0,4525.0,4229.0,3202.0,1216.0,1986.0,5552.0,3309.0,2243.0,1131.0,203.0,928.0,542.0,203.0,339.0,589.0,0.0,589.0,5263.0,2800.0,2463.0,2257.0,757.0,1500.0,3006.0,2043.0,963.0,2360.0,1522.0,838.0,403.0,256.0,147.0,1957.0,1266.0,691.0
45,Saratoga County (Outer) PUMA,784.0,294.0,490.0,784.0,294.0,490.0,0.0,0.0,0.0,784.0,294.0,490.0,784.0,294.0,490.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,"NYC-Bronx Community District 12--Wakefield, Williamsbridge & Woodlawn PUMA",1559.0,991.0,568.0,378.0,307.0,71.0,1181.0,684.0,497.0,75.0,75.0,0.0,75.0,75.0,0.0,0.0,0.0,0.0,1484.0,916.0,568.0,303.0,232.0,71.0,1181.0,684.0,497.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,"NYC-Brooklyn Community District 15--Sheepshead Bay, Gerritsen Beach & Homecrest PUMA",1521.0,638.0,883.0,183.0,51.0,132.0,1338.0,587.0,751.0,103.0,51.0,52.0,51.0,51.0,0.0,52.0,0.0,52.0,1372.0,541.0,831.0,132.0,0.0,132.0,1240.0,541.0,699.0,46.0,46.0,0.0,0.0,0.0,0.0,46.0,46.0,0.0
48,Wayne & Seneca Counties PUMA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,Schenectady County--Schenectady City PUMA,634.0,288.0,346.0,634.0,288.0,346.0,0.0,0.0,0.0,86.0,0.0,86.0,86.0,0.0,86.0,0.0,0.0,0.0,548.0,288.0,260.0,548.0,288.0,260.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,NYC-Brooklyn Community District 10--Bay Ridge & Dyker Heights PUMA,1199.0,432.0,767.0,179.0,90.0,89.0,1020.0,342.0,678.0,460.0,272.0,188.0,0.0,0.0,0.0,460.0,272.0,188.0,739.0,160.0,579.0,179.0,90.0,89.0,560.0,70.0,490.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
