,puma,Total_geo,Total_geo_m,Total_geo_f,Total_Emp_mf_t,Total_emp_m,Total_emp_f,Total_UnEmp_mf_t,Total_UnEmp_m,Total_UnEmp_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_Emp_mf_t,BABS_emp_m,BABS_emp_f,BABS_UnEmp_mf_t,BABS_UnEmp_m,BABS_UnEmp_f,Total_HS,Total_HS_m,Total_HS_f,HS_Emp_mf_t,HS_emp_m,HS_emp_f,HS_UnEmp_mf_t,HS_UnEmp_m,HS_UnEmp_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_Emp_mf_t,HSINC_emp_m,HSINC_emp_f,HSINC_UnEmp_mf_t,HSINC_UnEmp_m,HSINC_UnEmp_f
42,"NYC-Brooklyn Community District 9--Crown Heights South, Prospect Lefferts & Wingate PUMA",187,105,82,187,105,82,0,0,0,187,105,82,187,105,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,"NYC-Queens Community District 7--Flushing, Murray Hill & Whitestone PUMA",4862,1826,3036,4862,1826,3036,0,0,0,1371,520,851,1371,520,851,0,0,0,3149,1030,2119,3149,1030,2119,0,0,0,342,276,66,342,276,66,0,0,0
44,NYC-Queens Community District 3--Jackson Heights & North Corona PUMA,7266,4336,2930,7145,4336,2809,121,0,121,943,203,740,943,203,740,0,0,0,4652,2800,1852,4531,2800,1731,121,0,121,1671,1333,338,1671,1333,338,0,0,0
45,Saratoga County (Outer) PUMA,294,294,0,294,294,0,0,0,0,294,294,0,294,294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,"NYC-Bronx Community District 12--Wakefield, Williamsbridge & Woodlawn PUMA",809,738,71,809,738,71,0,0,0,75,75,0,75,75,0,0,0,0,734,663,71,734,663,71,0,0,0,0,0,0,0,0,0,0,0,0
47,"NYC-Brooklyn Community District 15--Sheepshead Bay, Gerritsen Beach & Homecrest PUMA",1286,587,699,1286,587,699,0,0,0,0,0,0,0,0,0,0,0,0,1240,541,699,1240,541,699,0,0,0,46,46,0,46,46,0,0,0,0
48,Wayne & Seneca Counties PUMA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,Schenectady County--Schenectady City PUMA,528,288,240,528,288,240,0,0,0,86,0,86,86,0,86,0,0,0,442,288,154,442,288,154,0,0,0,0,0,0,0,0,0,0,0,0
50,NYC-Brooklyn Community District 10--Bay Ridge & Dyker Heights PUMA,1013,362,651,1013,362,651,0,0,0,344,272,72,344,272,72,0,0,0,669,90,579,669,90,579,0,0,0,0,0,0,0,0,0,0,0,0
51,Nassau County (Northwest)--North Hempstead Town (North) PUMA,980,352,628,928,352,576,52,0,52,89,0,89,89,0,89,0,0,0,591,352,239,539,352,187,52,0,52,300,0,300,300,0,300,0,0,0
