,puma,Total_geo,Total_geo_m,Total_geo_f,Total_NP_mf_t,Total_NP_m,Total_NP_f,Total_P_mf_t,Total_P_m,Total_P_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_NP_mf_t,BABS_NP_m,BABS_NP_f,BABS_P_mf_t,BABS_P_m,BABS_P_f,Total_HS,Total_HS_m,Total_HS_f,HS_NP_mf_t,HS_NP_m,HS_NP_f,HS_P_mf_t,HS_P_m,HS_P_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_NP_mf_t,HSINC_NP_m,HSINC_NP_f,HSINC_P_mf_t,HSINC_P_m,HSINC_P_f
48,Wayne & Seneca Counties PUMA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,Schenectady County--Schenectady City PUMA,668,322,346,528,288,240,140,34,106,86,0,86,86,0,86,0,0,0,548,288,260,442,288,154,106,0,106,34,34,0,0,0,0,34,34,0
50,NYC-Brooklyn Community District 10--Bay Ridge & Dyker Heights PUMA,1199,432,767,898,362,536,301,70,231,460,272,188,386,272,114,74,0,74,739,160,579,512,90,422,227,70,157,0,0,0,0,0,0,0,0,0
51,Nassau County (Northwest)--North Hempstead Town (North) PUMA,1065,352,713,1065,352,713,0,0,0,89,0,89,89,0,89,0,0,0,676,352,324,676,352,324,0,0,0,300,0,300,300,0,300,0,0,0
52,Suffolk County (West Central)--Babylon Town (Northwest) PUMA,3489,2313,1176,3184,2313,871,305,0,305,76,0,76,76,0,76,0,0,0,2444,1784,660,2298,1784,514,146,0,146,969,529,440,810,529,281,159,0,159
53,"NYC-Manhattan Community District 4 & 5--Chelsea, Clinton & Midtown Business District PUMA",2374,1496,878,2374,1496,878,0,0,0,1144,1009,135,1144,1009,135,0,0,0,1230,487,743,1230,487,743,0,0,0,0,0,0,0,0,0,0,0,0
54,Columbia & Greene Counties PUMA,71,71,0,71,71,0,0,0,0,0,0,0,0,0,0,0,0,0,71,71,0,71,71,0,0,0,0,0,0,0,0,0,0,0,0,0
55,Rensselaer County--Troy City PUMA,207,151,56,0,0,0,207,151,56,56,0,56,0,0,0,56,0,56,151,151,0,0,0,0,151,151,0,0,0,0,0,0,0,0,0,0
56,Erie County (West Central)--Buffalo City (West) PUMA,740,360,380,590,261,329,150,99,51,295,104,191,295,104,191,0,0,0,121,0,121,70,0,70,51,0,51,324,256,68,225,157,68,99,99,0
57,Erie County (South) PUMA,344,0,344,344,0,344,0,0,0,344,0,344,344,0,344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,Oneida County (Central)--Greater Utica & Rome Cities PUMA,262,131,131,199,131,68,63,0,63,0,0,0,0,0,0,0,0,0,262,131,131,199,131,68,63,0,63,0,0,0,0,0,0,0,0,0
59,"NYC-Manhattan Community District 12--Washington Heights, Inwood & Marble Hill PUMA",7386,3912,3474,4862,2816,2046,2524,1096,1428,1756,1110,646,1333,888,445,423,222,201,3688,2024,1664,2615,1393,1222,1073,631,442,1942,778,1164,914,535,379,1028,243,785
60,NYC-Brooklyn Community District 13--Brighton Beach & Coney Island PUMA,658,332,326,178,0,178,480,332,148,0,0,0,0,0,0,0,0,0,148,0,148,0,0,0,148,0,148,510,332,178,178,0,178,332,332,0
61,NYC-Manhattan Community District 10--Central Harlem PUMA,1182,749,433,655,655,0,527,94,433,175,175,0,81,81,0,94,94,0,425,0,425,0,0,0,425,0,425,582,574,8,574,574,0,8,0,8
62,Nassau County (West Central)--North Hempstead Town (South) PUMA,1881,1309,572,1881,1309,572,0,0,0,736,391,345,736,391,345,0,0,0,1070,843,227,1070,843,227,0,0,0,75,75,0,75,75,0,0,0,0
63,NYC-Brooklyn Community District 16--Brownsville & Ocean Hill PUMA,1234,667,567,384,242,142,850,425,425,524,524,0,99,99,0,425,425,0,365,0,365,0,0,0,365,0,365,345,143,202,285,143,142,60,0,60
64,Albany County (East Central)--Albany City PUMA,477,287,190,477,287,190,0,0,0,0,0,0,0,0,0,0,0,0,190,0,190,190,0,190,0,0,0,287,287,0,287,287,0,0,0,0
65,Nassau County (West Central)--Hempstead Town (West Central) PUMA,1859,1308,551,1710,1292,418,149,16,133,396,300,96,396,300,96,0,0,0,1062,664,398,913,648,265,149,16,133,401,344,57,401,344,57,0,0,0
66,Chemung (South) & Steuben (East) Counties--Greater Elmira & Greater Corning Cities PUMA,104,104,0,104,104,0,0,0,0,0,0,0,0,0,0,0,0,0,104,104,0,104,104,0,0,0,0,0,0,0,0,0,0,0,0,0
67,"NYC-Bronx Community District 3 & 6--Belmont, Crotona Park East & East Tremont PUMA",605,243,362,347,128,219,258,115,143,129,0,129,129,0,129,0,0,0,318,128,190,218,128,90,100,0,100,158,115,43,0,0,0,158,115,43
68,"NYC-Bronx Community District 5--Morris Heights, Fordham South & Mount Hope PUMA",1858,903,955,937,555,382,921,348,573,299,0,299,125,0,125,174,0,174,1242,838,404,565,490,75,677,348,329,317,65,252,247,65,182,70,0,70
69,"NYC-Bronx Community District 8--Riverdale, Fieldston & Kingsbridge PUMA",768,582,186,768,582,186,0,0,0,535,349,186,535,349,186,0,0,0,233,233,0,233,233,0,0,0,0,0,0,0,0,0,0,0,0,0
70,Erie County (Northeast) PUMA,13,13,0,0,0,0,13,13,0,0,0,0,0,0,0,0,0,0,13,13,0,0,0,0,13,13,0,0,0,0,0,0,0,0,0,0
71,NYC-Manhattan Community District 11--East Harlem PUMA,1862,1060,802,764,344,420,1098,716,382,746,159,587,579,159,420,167,0,167,1035,820,215,185,185,0,850,635,215,81,81,0,0,0,0,81,81,0
72,Orange County (Southeast) PUMA,349,202,147,349,202,147,0,0,0,50,50,0,50,50,0,0,0,0,299,152,147,299,152,147,0,0,0,0,0,0,0,0,0,0,0,0
73,Westchester County (Southeast) PUMA,4617,3136,1481,3536,2323,1213,1081,813,268,1230,702,528,1230,702,528,0,0,0,1809,1275,534,1411,986,425,398,289,109,1578,1159,419,895,635,260,683,524,159
74,NYC-Queens Community District 1--Astoria & Long Island City PUMA,5196,2818,2378,4151,2579,1572,1045,239,806,1768,685,1083,1432,685,747,336,0,336,2605,1501,1104,2228,1403,825,377,98,279,823,632,191,491,491,0,332,141,191
75,Livingston & Wyoming Counties PUMA,329,283,46,97,51,46,232,232,0,0,0,0,0,0,0,0,0,0,36,0,36,36,0,36,0,0,0,293,283,10,61,51,10,232,232,0
76,Suffolk County (Central)--Brookhaven Town (West Central) PUMA,2198,1279,919,1582,1135,447,616,144,472,68,0,68,68,0,68,0,0,0,1656,965,691,1108,821,287,548,144,404,474,314,160,406,314,92,68,0,68
77,Westchester County (Southwest)--Yonkers City PUMA,9764,5251,4513,4990,2667,2323,4774,2584,2190,941,142,799,941,142,799,0,0,0,6731,4199,2532,2667,1615,1052,4064,2584,1480,2092,910,1182,1382,910,472,710,0,710
78,Erie County (North Central) PUMA,548,140,408,489,81,408,59,59,0,489,81,408,489,81,408,0,0,0,59,59,0,0,0,0,59,59,0,0,0,0,0,0,0,0,0,0
79,Saratoga County (South & Central) PUMA,88,0,88,88,0,88,0,0,0,88,0,88,88,0,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,Suffolk County (South Central)--Brookhaven Town (South) PUMA,4160,2501,1659,3817,2501,1316,343,0,343,380,89,291,380,89,291,0,0,0,2456,1452,1004,2113,1452,661,343,0,343,1324,960,364,1324,960,364,0,0,0
81,"NYC-Staten Island Community District 3--Tottenville, Great Kills & Annadale PUMA",212,86,126,212,86,126,0,0,0,212,86,126,212,86,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,Herkimer (North & Central) & Oneida (Outer) Counties PUMA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,Niagara County (North & East) PUMA,156,71,85,156,71,85,0,0,0,85,0,85,85,0,85,0,0,0,71,71,0,71,71,0,0,0,0,0,0,0,0,0,0,0,0,0
84,Monroe County (Central)--Rochester City (East) PUMA,868,250,618,347,250,97,521,0,521,0,0,0,0,0,0,0,0,0,590,250,340,347,250,97,243,0,243,278,0,278,0,0,0,278,0,278
