,puma,Total_geo,Total_geo_m,Total_geo_f,Total_FT_mf_t,Total_FT_m,Total_FT_f,Total_PT_mf_t,Total_PT_m,Total_PT_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_FT_mf_t,BABS_FT_m,BABS_FT_f,BABS_PT_mf_t,BABS_PT_m,BABS_PT_f,Total_HS,Total_HS_m,Total_HS_f,HS_FT_mf_t,HS_FT_m,HS_FT_f,HS_PT_mf_t,HS_PT_m,HS_PT_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_FT_mf_t,HSINC_FT_m,HSINC_FT_f,HSINC_PT_mf_t,HSINC_PT_m,HSINC_PT_f
62,Nassau County (West Central)--North Hempstead Town (South) PUMA,3028,1237,1791,2344,1237,1107,684,0,684,896,200,696,615,200,415,281,0,281,1931,943,988,1528,943,585,403,0,403,201,94,107,201,94,107,0,0,0
63,NYC-Brooklyn Community District 16--Brownsville & Ocean Hill PUMA,4061,1950,2111,3765,1772,1993,296,178,118,516,174,342,398,174,224,118,0,118,2700,1388,1312,2522,1210,1312,178,178,0,845,388,457,845,388,457,0,0,0
64,Albany County (East Central)--Albany City PUMA,2897,1723,1174,2635,1461,1174,262,262,0,790,325,465,790,325,465,0,0,0,1931,1222,709,1845,1136,709,86,86,0,176,176,0,0,0,0,176,176,0
65,Nassau County (West Central)--Hempstead Town (West Central) PUMA,3238,2095,1143,2691,1644,1047,547,451,96,1180,481,699,1084,481,603,96,0,96,2058,1614,444,1607,1163,444,451,451,0,0,0,0,0,0,0,0,0,0
66,Chemung (South) & Steuben (East) Counties--Greater Elmira & Greater Corning Cities PUMA,716,352,364,352,352,0,364,0,364,0,0,0,0,0,0,0,0,0,716,352,364,352,352,0,364,0,364,0,0,0,0,0,0,0,0,0
67,"NYC-Bronx Community District 3 & 6--Belmont, Crotona Park East & East Tremont PUMA",15464,6476,8988,11735,5705,6030,3729,771,2958,1950,708,1242,1514,661,853,436,47,389,9609,4106,5503,7346,3578,3768,2263,528,1735,3905,1662,2243,2875,1466,1409,1030,196,834
68,"NYC-Bronx Community District 5--Morris Heights, Fordham South & Mount Hope PUMA",8956,3737,5219,7415,3286,4129,1541,451,1090,2330,1062,1268,2005,943,1062,325,119,206,4948,1640,3308,4111,1404,2707,837,236,601,1678,1035,643,1299,939,360,379,96,283
69,"NYC-Bronx Community District 8--Riverdale, Fieldston & Kingsbridge PUMA",11223,5609,5614,9699,4746,4953,1524,863,661,3980,1700,2280,3719,1478,2241,261,222,39,5910,2955,2955,4878,2545,2333,1032,410,622,1333,954,379,1102,723,379,231,231,0
70,Erie County (Northeast) PUMA,457,400,57,325,325,0,132,75,57,224,224,0,224,224,0,0,0,0,233,176,57,101,101,0,132,75,57,0,0,0,0,0,0,0,0,0
71,NYC-Manhattan Community District 11--East Harlem PUMA,11491,4911,6580,9030,3905,5125,2461,1006,1455,4329,1113,3216,3673,1113,2560,656,0,656,6072,2796,3276,4926,2361,2565,1146,435,711,1090,1002,88,431,431,0,659,571,88
72,Orange County (Southeast) PUMA,6505,3741,2764,5932,3741,2191,573,0,573,1461,563,898,1155,563,592,306,0,306,4872,3006,1866,4605,3006,1599,267,0,267,172,172,0,172,172,0,0,0,0
73,Westchester County (Southeast) PUMA,2956,1373,1583,2276,1373,903,680,0,680,1762,782,980,1685,782,903,77,0,77,1194,591,603,591,591,0,603,0,603,0,0,0,0,0,0,0,0,0
74,NYC-Queens Community District 1--Astoria & Long Island City PUMA,7819,3947,3872,6626,3373,3253,1193,574,619,3995,1667,2328,3199,1196,2003,796,471,325,3393,2038,1355,2996,1935,1061,397,103,294,431,242,189,431,242,189,0,0,0
75,Livingston & Wyoming Counties PUMA,514,483,31,494,483,11,20,0,20,91,80,11,91,80,11,0,0,0,242,222,20,222,222,0,20,0,20,181,181,0,181,181,0,0,0,0
76,Suffolk County (Central)--Brookhaven Town (West Central) PUMA,3634,2070,1564,3448,1967,1481,186,103,83,745,288,457,745,288,457,0,0,0,2165,1260,905,1979,1157,822,186,103,83,724,522,202,724,522,202,0,0,0
77,Westchester County (Southwest)--Yonkers City PUMA,12565,6223,6342,11060,6223,4837,1505,0,1505,4915,2817,2098,4827,2817,2010,88,0,88,5537,2772,2765,4822,2772,2050,715,0,715,2113,634,1479,1411,634,777,702,0,702
78,Erie County (North Central) PUMA,171,116,55,116,116,0,55,0,55,55,0,55,0,0,0,55,0,55,116,116,0,116,116,0,0,0,0,0,0,0,0,0,0,0,0,0
79,Saratoga County (South & Central) PUMA,1109,941,168,1109,941,168,0,0,0,468,468,0,468,468,0,0,0,0,641,473,168,641,473,168,0,0,0,0,0,0,0,0,0,0,0,0
80,Suffolk County (South Central)--Brookhaven Town (South) PUMA,3982,1746,2236,3918,1732,2186,64,14,50,682,123,559,682,123,559,0,0,0,2987,1438,1549,2945,1424,1521,42,14,28,313,185,128,291,185,106,22,0,22
81,"NYC-Staten Island Community District 3--Tottenville, Great Kills & Annadale PUMA",4911,2122,2789,4279,2122,2157,632,0,632,1547,480,1067,1547,480,1067,0,0,0,3080,1499,1581,2448,1499,949,632,0,632,284,143,141,284,143,141,0,0,0
82,Herkimer (North & Central) & Oneida (Outer) Counties PUMA,760,502,258,426,168,258,334,334,0,17,17,0,0,0,0,17,17,0,691,433,258,374,116,258,317,317,0,52,52,0,52,52,0,0,0,0
83,Niagara County (North & East) PUMA,824,788,36,806,770,36,18,18,0,236,236,0,218,218,0,18,18,0,388,352,36,388,352,36,0,0,0,200,200,0,200,200,0,0,0,0
84,Monroe County (Central)--Rochester City (East) PUMA,4724,2234,2490,3379,1684,1695,1345,550,795,427,75,352,280,75,205,147,0,147,2533,785,1748,1916,683,1233,617,102,515,1764,1374,390,1183,926,257,581,448,133
85,Warren & Washington Counties PUMA,1028,426,602,465,404,61,563,22,541,14,0,14,0,0,0,14,0,14,1014,426,588,465,404,61,549,22,527,0,0,0,0,0,0,0,0,0
86,Nassau County (Southwest)--Hempstead Town (Southwest) & Long Beach City PUMA,1861,1104,757,1647,1104,543,214,0,214,279,153,126,279,153,126,0,0,0,1582,951,631,1368,951,417,214,0,214,0,0,0,0,0,0,0,0,0
87,NYC-Brooklyn Community District 8--Crown Heights North & Prospect Heights PUMA,4263,2677,1586,3741,2469,1272,522,208,314,2073,1339,734,1727,1137,590,346,202,144,1883,1209,674,1707,1203,504,176,6,170,307,129,178,307,129,178,0,0,0
88,Onondaga County (Central)--Syracuse City PUMA,2126,990,1136,1477,621,856,649,369,280,296,32,264,149,32,117,147,0,147,1168,635,533,819,419,400,349,216,133,662,323,339,509,170,339,153,153,0
89,Westchester County (Central)--White Plains City PUMA,6321,3707,2614,5750,3525,2225,571,182,389,2147,918,1229,1932,918,1014,215,0,215,4174,2789,1385,3818,2607,1211,356,182,174,0,0,0,0,0,0,0,0,0
90,NYC-Brooklyn Community District 3--Bedford-Stuyvesant PUMA,3729,1779,1950,3172,1445,1727,557,334,223,1931,908,1023,1628,748,880,303,160,143,1566,719,847,1480,633,847,86,86,0,232,152,80,64,64,0,168,88,80
91,"NYC-Bronx Community District 1 & 2--Hunts Point, Longwood & Melrose PUMA",12488,4818,7670,9103,3882,5221,3385,936,2449,1978,823,1155,1524,744,780,454,79,375,7854,2974,4880,5439,2186,3253,2415,788,1627,2656,1021,1635,2140,952,1188,516,69,447
92,Cattaraugus & Allegany Counties PUMA,373,103,270,245,103,142,128,0,128,142,0,142,142,0,142,0,0,0,136,8,128,8,8,0,128,0,128,95,95,0,95,95,0,0,0,0
93,Oswego County PUMA,431,53,378,209,53,156,222,0,222,431,53,378,209,53,156,222,0,222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,"NYC-Queens Community District 5--Ridgewood, Glendale & Middle Village PUMA",11594,5928,5666,10828,5481,5347,766,447,319,2585,1361,1224,2427,1361,1066,158,0,158,7688,4050,3638,7149,3603,3546,539,447,92,1321,517,804,1252,517,735,69,0,69
95,Monroe County (East) PUMA,1842,719,1123,1107,562,545,735,157,578,581,127,454,460,63,397,121,64,57,884,322,562,470,322,148,414,0,414,377,270,107,177,177,0,200,93,107
96,Westchester County (South Central)--New Rochelle & Mount Vernon Cities PUMA,4161,1940,2221,3423,1654,1769,738,286,452,2023,762,1261,1909,762,1147,114,0,114,1898,1178,720,1514,892,622,384,286,98,240,0,240,0,0,0,240,0,240
