,puma,Total_geo,Total_geo_m,Total_geo_f,Total_NP_mf_t,Total_NP_m,Total_NP_f,Total_P_mf_t,Total_P_m,Total_P_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_NP_mf_t,BABS_NP_m,BABS_NP_f,BABS_P_mf_t,BABS_P_m,BABS_P_f,Total_HS,Total_HS_m,Total_HS_f,HS_NP_mf_t,HS_NP_m,HS_NP_f,HS_P_mf_t,HS_P_m,HS_P_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_NP_mf_t,HSINC_NP_m,HSINC_NP_f,HSINC_P_mf_t,HSINC_P_m,HSINC_P_f
68,"NYC-Bronx Community District 5--Morris Heights, Fordham South & Mount Hope PUMA",14743,6773,7970,8041,4030,4011,6702,2743,3959,3118,1062,2056,2405,1062,1343,713,0,713,7642,3174,4468,4246,1898,2348,3396,1276,2120,3983,2537,1446,1390,1070,320,2593,1467,1126
69,"NYC-Bronx Community District 8--Riverdale, Fieldston & Kingsbridge PUMA",13619,6765,6854,10988,5812,5176,2631,953,1678,4051,1700,2351,3895,1583,2312,156,117,39,7743,3866,3877,6181,3407,2774,1562,459,1103,1825,1199,626,912,822,90,913,377,536
70,Erie County (Northeast) PUMA,457,400,57,400,400,0,57,0,57,224,224,0,224,224,0,0,0,0,233,176,57,176,176,0,57,0,57,0,0,0,0,0,0,0,0,0
71,NYC-Manhattan Community District 11--East Harlem PUMA,18892,7361,11531,10699,4417,6282,8193,2944,5249,4879,1663,3216,4276,1509,2767,603,154,449,10088,4076,6012,4951,2256,2695,5137,1820,3317,3925,1622,2303,1472,652,820,2453,970,1483
72,Orange County (Southeast) PUMA,7826,4089,3737,7367,3930,3437,459,159,300,1461,563,898,1461,563,898,0,0,0,6134,3295,2839,5675,3136,2539,459,159,300,231,231,0,231,231,0,0,0,0
73,Westchester County (Southeast) PUMA,3290,1504,1786,2812,1504,1308,478,0,478,1875,782,1093,1875,782,1093,0,0,0,1415,722,693,937,722,215,478,0,478,0,0,0,0,0,0,0,0,0
74,NYC-Queens Community District 1--Astoria & Long Island City PUMA,10623,5275,5348,8307,4207,4100,2316,1068,1248,4184,1803,2381,3528,1364,2164,656,439,217,4956,2694,2262,3741,2065,1676,1215,629,586,1483,778,705,1038,778,260,445,0,445
75,Livingston & Wyoming Counties PUMA,424,393,31,176,165,11,248,228,20,91,80,11,91,80,11,0,0,0,125,105,20,33,33,0,92,72,20,208,208,0,52,52,0,156,156,0
76,Suffolk County (Central)--Brookhaven Town (West Central) PUMA,5041,2519,2522,3754,1796,1958,1287,723,564,745,288,457,745,288,457,0,0,0,3572,1709,1863,2807,1508,1299,765,201,564,724,522,202,202,0,202,522,522,0
77,Westchester County (Southwest)--Yonkers City PUMA,16103,6972,9131,11949,5995,5954,4154,977,3177,5293,2817,2476,4605,2475,2130,688,342,346,7798,3302,4496,5943,2818,3125,1855,484,1371,3012,853,2159,1401,702,699,1611,151,1460
78,Erie County (North Central) PUMA,201,116,85,171,116,55,30,0,30,55,0,55,55,0,55,0,0,0,116,116,0,116,116,0,0,0,0,30,0,30,0,0,0,30,0,30
79,Saratoga County (South & Central) PUMA,2217,941,1276,2217,941,1276,0,0,0,468,468,0,468,468,0,0,0,0,1749,473,1276,1749,473,1276,0,0,0,0,0,0,0,0,0,0,0,0
80,Suffolk County (South Central)--Brookhaven Town (South) PUMA,5241,2029,3212,4053,1136,2917,1188,893,295,939,123,816,939,123,816,0,0,0,3724,1613,2111,3008,1013,1995,716,600,116,578,293,285,106,0,106,472,293,179
81,"NYC-Staten Island Community District 3--Tottenville, Great Kills & Annadale PUMA",6348,3064,3284,5083,2697,2386,1265,367,898,1547,480,1067,1547,480,1067,0,0,0,4517,2441,2076,3393,2074,1319,1124,367,757,284,143,141,143,143,0,141,0,141
82,Herkimer (North & Central) & Oneida (Outer) Counties PUMA,916,646,270,587,329,258,329,317,12,17,17,0,17,17,0,0,0,0,835,577,258,518,260,258,317,317,0,64,52,12,52,52,0,12,0,12
83,Niagara County (North & East) PUMA,1070,797,273,689,579,110,381,218,163,236,236,0,18,18,0,218,218,0,634,361,273,471,361,110,163,0,163,200,200,0,200,200,0,0,0,0
84,Monroe County (Central)--Rochester City (East) PUMA,8338,3749,4589,3488,1874,1614,4850,1875,2975,531,135,396,280,75,205,251,60,191,4678,1611,3067,1897,781,1116,2781,830,1951,3129,2003,1126,1311,1018,293,1818,985,833
85,Warren & Washington Counties PUMA,1114,512,602,303,228,75,811,284,527,14,0,14,14,0,14,0,0,0,1100,512,588,289,228,61,811,284,527,0,0,0,0,0,0,0,0,0
86,Nassau County (Southwest)--Hempstead Town (Southwest) & Long Beach City PUMA,1943,1104,839,1929,1104,825,14,0,14,279,153,126,279,153,126,0,0,0,1650,951,699,1650,951,699,0,0,0,14,0,14,0,0,0,14,0,14
87,NYC-Brooklyn Community District 8--Crown Heights North & Prospect Heights PUMA,6562,3324,3238,4373,2515,1858,2189,809,1380,2501,1339,1162,2329,1339,990,172,0,172,2986,1514,1472,1737,1047,690,1249,467,782,1075,471,604,307,129,178,768,342,426
88,Onondaga County (Central)--Syracuse City PUMA,3463,1389,2074,1990,844,1146,1473,545,928,296,32,264,296,32,264,0,0,0,1947,747,1200,1087,612,475,860,135,725,1220,610,610,607,200,407,613,410,203
89,Westchester County (Central)--White Plains City PUMA,7169,3817,3352,6637,3707,2930,532,110,422,2523,918,1605,2523,918,1605,0,0,0,4333,2899,1434,3876,2789,1087,457,110,347,313,0,313,238,0,238,75,0,75
90,NYC-Brooklyn Community District 3--Bedford-Stuyvesant PUMA,6351,2990,3361,3802,1783,2019,2549,1207,1342,1931,908,1023,1865,908,957,66,0,66,3030,1549,1481,1493,633,860,1537,916,621,1390,533,857,444,242,202,946,291,655
91,"NYC-Bronx Community District 1 & 2--Hunts Point, Longwood & Melrose PUMA",22945,10001,12944,9593,4692,4901,13352,5309,8043,2313,1081,1232,1315,440,875,998,641,357,13746,5979,7767,6063,3287,2776,7683,2692,4991,6886,2941,3945,2215,965,1250,4671,1976,2695
92,Cattaraugus & Allegany Counties PUMA,432,103,329,183,8,175,249,95,154,142,0,142,142,0,142,0,0,0,136,8,128,41,8,33,95,0,95,154,95,59,0,0,0,154,95,59
93,Oswego County PUMA,582,204,378,431,53,378,151,151,0,431,53,378,431,53,378,0,0,0,49,49,0,0,0,0,49,49,0,102,102,0,0,0,0,102,102,0
94,"NYC-Queens Community District 5--Ridgewood, Glendale & Middle Village PUMA",15544,7581,7963,11824,5869,5955,3720,1712,2008,2811,1587,1224,2811,1587,1224,0,0,0,10247,5301,4946,7724,3765,3959,2523,1536,987,2486,693,1793,1289,517,772,1197,176,1021
95,Monroe County (East) PUMA,2121,791,1330,1644,655,989,477,136,341,581,127,454,517,63,454,64,64,0,1014,394,620,601,322,279,413,72,341,526,270,256,526,270,256,0,0,0
96,Westchester County (South Central)--New Rochelle & Mount Vernon Cities PUMA,4823,1940,2883,4306,1940,2366,517,0,517,2213,762,1451,2213,762,1451,0,0,0,2370,1178,1192,2093,1178,915,277,0,277,240,0,240,0,0,0,240,0,240
