,puma,Total_geo,Total_geo_m,Total_geo_f,Total_Avg_PINCP_mf_t,Total_Avg_PINCP_m,Total_Avg_PINCP_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_Avg_PINCP_mf_t,BABS_Avg_PINCP_m,BABS_Avg_PINCP_f,Total_HS,Total_HS_m,Total_HS_f,HS_Avg_PINCP_mf_t,HS_Avg_PINCP_m,HS_Avg_PINCP_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_Avg_PINCP_mf_t,HSINC_Avg_PINCP_m,HSINC_Avg_PINCP_f
10,Suffolk County (Southwest)--Islip Town (South) PUMA,2512,1696,816,66142.03821656051,63808.84433962264,70991.42156862745,936,457,479,75587.60683760684,72231.94748358862,78789.14405010438,1372,1035,337,65666.7638483965,67541.83574879228,59908.0118694362,204,204,0,26000.0,26000.0,0.0
11,Erie County (Northwest) PUMA,1266,473,793,28562.401263823063,39276.955602537,22171.500630517025,138,0,138,50000.0,0.0,50000.0,951,296,655,27417.455310199788,52000.0,16308.396946564886,177,177,0,18000.0,18000.0,0.0
12,"NYC-Queens Community District 8--Briarwood, Fresh Meadows & Hillcrest PUMA",3763,2130,1633,50779.962795641775,53312.67605633803,47476.42375995101,1585,998,587,57312.30283911672,66659.31863727455,41420.78364565588,1651,1132,519,53092.67110841914,41545.936395759716,78277.45664739884,527,0,527,23888.045540796964,0.0,23888.045540796964
13,NYC-Brooklyn Community District 5--East New York & Starrett City PUMA,6772,2783,3989,35579.19669226226,38896.76607977003,33264.6327400351,1339,551,788,45501.56833457804,36813.06715063521,51576.90355329949,4878,1921,2957,33143.89503895039,42019.62519521083,27377.822117010484,555,311,244,33044.68468468468,23299.03536977492,45466.39344262295
14,Rockland County (North)--New City & Congers PUMA,3577,2254,1323,62140.73525300531,67102.44454303461,53687.45275888133,855,497,358,114661.40350877192,133935.61368209255,87903.6312849162,2366,1585,781,47540.959425190194,48794.26498422713,44997.439180537775,356,172,184,33033.70786516854,42697.67441860465,24000.0
15,"Otsego, Schoharie, Oneida (South) & Herkimer (South) Counties PUMA",586,487,99,41777.133105802044,37570.22587268994,62471.71717171717,171,72,99,66062.57309941521,71000.0,62471.71717171717,415,415,0,31770.36144578313,31770.36144578313,0.0,0,0,0,#DIV/0!,0.0,0.0
16,NYC-Brooklyn Community District 7--Sunset Park & Windsor Terrace PUMA,4679,2497,2182,67991.06860440265,50857.50901081297,87598.07974335473,2105,856,1249,101443.66270783848,52327.68691588785,135105.21216973578,2001,1139,862,43875.862068965514,58400.08779631255,24684.33874709977,573,502,71,29311.867364746948,31237.051792828686,15700.0
17,NYC-Brooklyn Community District 11--Bensonhurst & Bath Beach PUMA,2719,975,1744,51747.0393527032,51615.07692307692,51820.814220183485,999,92,907,64747.44744744745,85000.0,62693.16427783903,1720,883,837,44196.22093023256,48136.693091732726,40039.18757467144,0,0,0,#DIV/0!,0.0,0.0
18,Tompkins County PUMA,1129,457,672,43921.16917626218,35633.69803063457,49557.142857142855,683,329,354,53645.68081991215,43000.0,63539.54802259887,446,128,318,29029.14798206278,16700.0,33991.82389937107,0,0,0,#DIV/0!,0.0,0.0
19,Dutchess County (Southwest) PUMA,4629,2091,2538,45848.36897818103,49218.31659493066,43071.94641449961,1030,117,913,56848.54368932039,84307.69230769231,53329.68236582694,2902,1708,1194,42193.72846312888,46093.38407494145,36615.32663316583,697,266,431,44809.0387374462,53849.624060150374,39229.466357308585
20,NYC-Queens Community District 9--Richmond Hill & Woodhaven PUMA,10581,5346,5235,56828.97646725262,62965.58174335952,50562.25405921681,3170,1355,1815,86324.4164037855,114346.34686346863,65404.46280991736,6977,3716,3261,45114.003153217716,46299.70398277718,43762.864152100585,434,275,159,29720.276497695853,35000.0,20588.67924528302
21,Westchester County (Northwest) PUMA,5624,2608,3016,75366.61041963016,96760.27607361964,56867.04807692308,2312,612,1700,108408.4991349481,179345.0980392157,82871.32352941176,2885,1569,1316,57150.213864818026,85563.16124920332,23274.89893617021,427,427,0,19538.64168618267,19538.64168618267,0.0
22,Albany County (Outside Albany City) PUMA,2072,818,1254,47865.395752895754,36802.44498777506,55081.89792663477,1032,244,788,67579.45736434108,44229.50819672131,74809.64467005077,950,484,466,27668.526315789473,33393.38842975206,21722.5321888412,90,90,0,35000.0,35000.0,0.0
23,Monroe County (South) PUMA,1309,686,623,62416.4782276547,60408.819241982506,64627.15890850723,749,303,446,76862.71028037384,81130.19801980197,73963.49775784754,560,383,177,43094.642857142855,44015.66579634465,41101.69491525424,0,0,0,#DIV/0!,0.0,0.0
24,Jefferson & Lewis Counties PUMA,1346,1071,275,32000.37147102526,29735.667600373483,40820.36363636364,256,64,192,44060.9375,79375.0,32289.583333333332,1090,1007,83,29167.798165137614,26580.83416087388,60554.21686746988,0,0,0,#DIV/0!,0.0,0.0
25,"Chenango, Delaware & Broome (East) Counties PUMA",548,420,128,41946.879562043796,40852.119047619046,45539.0625,222,112,110,63522.52252252252,89455.35714285714,37118.181818181816,306,288,18,27803.562091503267,23478.784722222223,97000.0,20,20,0,18850.0,18850.0,0.0
26,Erie County (Central) PUMA,1012,489,523,33999.604743083,28348.46625766871,39283.36520076482,123,69,54,60941.46341463415,76000.0,41700.0,889,420,469,30271.991001124858,20520.0,39005.11727078891,0,0,0,#DIV/0!,0.0,0.0
27,St. Lawrence County PUMA,431,395,36,32301.624129930395,25220.25316455696,110000.0,114,78,36,71105.26315789473,53153.846153846156,110000.0,100,100,0,19100.0,19100.0,0.0,217,217,0,18000.0,18000.0,0.0
28,"NYC-Manhattan Community District 9--Hamilton Heights, Manhattanville & West Harlem PUMA",4799,1336,3463,44209.25192748489,46662.4251497006,43262.83569159688,2334,927,1407,59154.24164524422,54417.47572815534,62275.05330490405,2217,161,2056,30959.945872801083,40000.0,30252.04280155642,248,248,0,22000.0,22000.0,0.0
29,Suffolk County (North Central)--Brookhaven Town (North) PUMA,1582,678,904,84102.02275600506,91685.8407079646,78414.1592920354,664,206,458,92906.6265060241,70150.4854368932,103141.92139737992,918,472,446,77733.55119825708,101084.74576271187,53021.076233183856,0,0,0,#DIV/0!,0.0,0.0
30,NYC-Brooklyn Community District 1--Greenpoint & Williamsburg PUMA,7577,4559,3018,72283.16088161542,84153.1805220443,54352.27302849569,3802,2101,1701,93828.55076275645,118526.82056163732,63322.33980011758,3408,2091,1317,53678.50938967136,60551.17168818747,42766.78815489749,367,367,0,21844.686648501363,21844.686648501363,0.0
31,Cayuga & Onondaga (South) Counties PUMA,215,194,21,117339.06976744186,126804.1237113402,29900.0,0,0,0,#DIV/0!,0.0,0.0,215,194,21,117339.06976744186,126804.1237113402,29900.0,0,0,0,#DIV/0!,0.0,0.0
