,puma,Total_geo,Total_geo_m,Total_geo_f,Total_NRB_mf_t,Total_NRB_m,Total_NRB_f,Total_RB_mf_t,Total_RB_m,Total_RB_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_NRB_mf_t,BABS_NRB_m,BABS_NRB_f,BABS_RB_mf_t,BABS_RB_m,BABS_RB_f,Total_HS,Total_HS_m,Total_HS_f,HS_NRB_mf_t,HS_NRB_m,HS_NRB_f,HS_RB_mf_t,HS_RB_m,HS_RB_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_NRB_mf_t,HSINC_NRB_m,HSINC_NRB_f,HSINC_RB_mf_t,HSINC_RB_m,HSINC_RB_f
123,"NYC-Brooklyn Community District 17--East Flatbush, Farragut & Rugby PUMA",753.0,336.0,417.0,514.0,336.0,178.0,239.0,0.0,239.0,45.0,45.0,0.0,45.0,45.0,0.0,0.0,0.0,0.0,671.0,291.0,380.0,432.0,291.0,141.0,239.0,0.0,239.0,37.0,0.0,37.0,37.0,0.0,37.0,0.0,0.0,0.0
124,Orange County (Northeast)--Greater Newburgh City PUMA,3318.0,1937.0,1381.0,2856.0,1784.0,1072.0,462.0,153.0,309.0,468.0,114.0,354.0,468.0,114.0,354.0,0.0,0.0,0.0,2483.0,1578.0,905.0,2143.0,1425.0,718.0,340.0,153.0,187.0,367.0,245.0,122.0,245.0,245.0,0.0,122.0,0.0,122.0
125,"NYC-Manhattan Community District 1 & 2--Battery Park City, Greenwich Village & Soho PUMA",1534.0,354.0,1180.0,1284.0,354.0,930.0,250.0,0.0,250.0,1372.0,354.0,1018.0,1122.0,354.0,768.0,250.0,0.0,250.0,162.0,0.0,162.0,162.0,0.0,162.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
126,NYC-Queens Community District 6--Forest Hills & Rego Park PUMA,2980.0,927.0,2053.0,2547.0,685.0,1862.0,433.0,242.0,191.0,2013.0,313.0,1700.0,1923.0,313.0,1610.0,90.0,0.0,90.0,776.0,423.0,353.0,624.0,372.0,252.0,152.0,51.0,101.0,191.0,191.0,0.0,0.0,0.0,0.0,191.0,191.0,0.0
127,Onondaga County (North) PUMA,183.0,72.0,111.0,183.0,72.0,111.0,0.0,0.0,0.0,72.0,72.0,0.0,72.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111.0,0.0,111.0,111.0,0.0,111.0,0.0,0.0,0.0
128,Nassau County (Northeast)--Oyster Bay Town (North) & Glen Cove City PUMA,746.0,323.0,423.0,631.0,323.0,308.0,115.0,0.0,115.0,124.0,0.0,124.0,124.0,0.0,124.0,0.0,0.0,0.0,622.0,323.0,299.0,507.0,323.0,184.0,115.0,0.0,115.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
129,Monroe County (North & West) PUMA,139.0,0.0,139.0,139.0,0.0,139.0,0.0,0.0,0.0,139.0,0.0,139.0,139.0,0.0,139.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
130,Sullivan & Ulster (West) Counties PUMA,2279.0,853.0,1426.0,1754.0,637.0,1117.0,525.0,216.0,309.0,32.0,0.0,32.0,0.0,0.0,0.0,32.0,0.0,32.0,1383.0,612.0,771.0,890.0,396.0,494.0,493.0,216.0,277.0,864.0,241.0,623.0,864.0,241.0,623.0,0.0,0.0,0.0
131,Suffolk County (Southwest)--Babylon Town (Southeast) PUMA,1559.0,1118.0,441.0,1351.0,1118.0,233.0,208.0,0.0,208.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1425.0,1118.0,307.0,1217.0,1118.0,99.0,208.0,0.0,208.0,134.0,0.0,134.0,134.0,0.0,134.0,0.0,0.0,0.0
132,Suffolk County (Northwest)--Huntington Town (North) PUMA,350.0,0.0,350.0,350.0,0.0,350.0,0.0,0.0,0.0,59.0,0.0,59.0,59.0,0.0,59.0,0.0,0.0,0.0,291.0,0.0,291.0,291.0,0.0,291.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
133,"NYC-Queens Community District 12--Jamaica, Hollis & St. Albans PUMA",3057.0,1199.0,1858.0,2290.0,953.0,1337.0,767.0,246.0,521.0,748.0,189.0,559.0,562.0,189.0,373.0,186.0,0.0,186.0,2259.0,960.0,1299.0,1728.0,764.0,964.0,531.0,196.0,335.0,50.0,50.0,0.0,0.0,0.0,0.0,50.0,50.0,0.0
134,"NYC-Queens Community District 13--Queens Village, Cambria Heights & Rosedale PUMA",2422.0,912.0,1510.0,2098.0,809.0,1289.0,324.0,103.0,221.0,456.0,188.0,268.0,456.0,188.0,268.0,0.0,0.0,0.0,1708.0,621.0,1087.0,1487.0,621.0,866.0,221.0,0.0,221.0,258.0,103.0,155.0,155.0,0.0,155.0,103.0,103.0,0.0
135,Monroe County (Central)--Rochester City (West) PUMA,3975.0,2484.0,1491.0,3049.0,2108.0,941.0,926.0,376.0,550.0,299.0,0.0,299.0,143.0,0.0,143.0,156.0,0.0,156.0,1777.0,1183.0,594.0,1777.0,1183.0,594.0,0.0,0.0,0.0,1899.0,1301.0,598.0,1129.0,925.0,204.0,770.0,376.0,394.0
136,NYC-Queens Community District 10--Howard Beach & Ozone Park PUMA,1985.0,1389.0,596.0,1508.0,996.0,512.0,477.0,393.0,84.0,377.0,217.0,160.0,377.0,217.0,160.0,0.0,0.0,0.0,1363.0,927.0,436.0,1066.0,714.0,352.0,297.0,213.0,84.0,245.0,245.0,0.0,65.0,65.0,0.0,180.0,180.0,0.0
