,puma,Unemployment_BABS_F,Unemployment_HS_F,FT_Work_BABS_F,FT_Work_HS_F,Poverty_BABS_F,Poverty_HS_F,Working_Poor_BABS_F,Working_Poor_HS_F,Income_level_BABS_F,Income_level_HS_F,Rent_Burden_BABS_F,Rent_Burden_HS_F,Home_Ownership_BABS_F,Home_Ownership_HS_F
46,"NYC-Bronx Community District 12--Wakefield, Williamsbridge & Woodlawn PUMA",1.4798880817311395,0.0,0.858639054904403,1.1404205998771855,1.4670636314471932,1.2712211628841763,0.0,1.3784538500764918,0.6882475027685712,0.7972028546026626,6.071051358932199,0.6897839955097139,0.8492638288292829,0.6967840735068913
47,"NYC-Brooklyn Community District 15--Sheepshead Bay, Gerritsen Beach & Homecrest PUMA",0.23881485552044693,1.0596781413474705,1.1878386354840305,1.1213625388903294,2.869989385428221,1.1051374074656888,2.0629510189456304,0.8805675848028582,1.1419118024399422,0.7543883758317963,1.2467697803450635,1.4592735775131336,0.9367783357441204,0.8947500855432987
48,Wayne & Seneca Counties PUMA,#DIV/0!,0.0,0.6722687397665099,1.2492997198879552,0.0,1.2812655825621289,0.0,0.0,7.752707198531524,1.273303443591694,#DIV/0!,0.0,1.1639078221356702,1.0438727600784548
49,Schenectady County--Schenectady City PUMA,7.142795147150073,0.0,0.6726573315269084,1.2460368368001467,4.743281393761833,0.8481706778827454,0.0,0.0,0.9646702605238023,0.9387203906328123,4.85762400489896,1.8881927039821778,0.911806601513872,1.2883916157839923
50,NYC-Brooklyn Community District 10--Bay Ridge & Dyker Heights PUMA,inf,0.5437052046981125,0.9381815313076755,0.982455889735563,5.001962864721485,2.467039231694363,2.94411865516902,inf,1.1052106846115421,0.6580253700887728,5.607518796992481,4.069831695690242,1.168778150109898,0.7765760614023115
51,Nassau County (Northwest)--North Hempstead Town (North) PUMA,3.8215875061145113,3.1181473519640415,0.9465372680715703,0.5757990985805532,2.550811642877134,1.6051913135788796,9.527316081071605,0.0,0.8678647471249992,0.7203800465775512,1.9608698905154998,6.465518210431655,0.8161684318414759,1.2689655511840834
52,Suffolk County (West Central)--Babylon Town (Northwest) PUMA,0.7861287514909254,1.101879272179631,0.8402113474055919,1.1800165931909534,0.7103595872475653,1.2828687161348513,1.0020994256288371,0.0,0.7184627228664973,0.9108635887965115,3.5780400323961583,6.5999320959710275,1.045601094409711,1.0493481750319449
53,"NYC-Manhattan Community District 4 & 5--Chelsea, Clinton & Midtown Business District PUMA",0.7697753870037921,0.8544251218431547,0.9105793932217783,0.8594506051338276,4.110618116897794,0.2703272778680992,0.0,0.0,1.006696020241579,2.207373925936492,1.4127650401724474,0.15220023901811724,0.5559844026603191,1.6321653346109455
54,Columbia & Greene Counties PUMA,0.0,0.0,0.0,0.356749649368864,1.6704529414206835,0.9684945821745913,#DIV/0!,0.0,0.0,0.6984786813678231,#DIV/0!,0.0,1.1616201859229747,1.0342805725445077
55,Rensselaer County--Troy City PUMA,0.0,0.0,0.7978350170314679,1.203889432485323,8.302896982244809,0.0,10.499632159747769,0.0,0.9319334680603006,1.1742868726580706,inf,0.0,0.6207561176254824,0.6198477583073448
