,puma,Total_geo,Total_geo_m,Total_geo_f,Total_NP_mf_t,Total_NP_m,Total_NP_f,Total_P_mf_t,Total_P_m,Total_P_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_NP_mf_t,BABS_NP_m,BABS_NP_f,BABS_P_mf_t,BABS_P_m,BABS_P_f,Total_HS,Total_HS_m,Total_HS_f,HS_NP_mf_t,HS_NP_m,HS_NP_f,HS_P_mf_t,HS_P_m,HS_P_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_NP_mf_t,HSINC_NP_m,HSINC_NP_f,HSINC_P_mf_t,HSINC_P_m,HSINC_P_f
75,Livingston & Wyoming Counties PUMA,245,80,165,245,80,165,0,0,0,132,80,52,132,80,52,0,0,0,113,0,113,113,0,113,0,0,0,0,0,0,0,0,0,0,0,0
76,Suffolk County (Central)--Brookhaven Town (West Central) PUMA,1476,829,647,1426,829,597,50,0,50,662,238,424,612,238,374,50,0,50,652,505,147,652,505,147,0,0,0,162,86,76,162,86,76,0,0,0
77,Westchester County (Southwest)--Yonkers City PUMA,5830,2923,2907,3911,2121,1790,1919,802,1117,856,545,311,780,469,311,76,76,0,3896,1504,2392,2231,956,1275,1665,548,1117,1078,874,204,900,696,204,178,178,0
78,Erie County (North Central) PUMA,2454,1445,1009,1515,506,1009,939,939,0,2246,1445,801,1307,506,801,939,939,0,208,0,208,208,0,208,0,0,0,0,0,0,0,0,0,0,0,0
79,Saratoga County (South & Central) PUMA,545,172,373,487,172,315,58,0,58,345,172,173,345,172,173,0,0,0,142,0,142,142,0,142,0,0,0,58,0,58,0,0,0,58,0,58
80,Suffolk County (South Central)--Brookhaven Town (South) PUMA,2131,1054,1077,1581,773,808,550,281,269,700,289,411,700,289,411,0,0,0,596,274,322,596,274,322,0,0,0,835,491,344,285,210,75,550,281,269
81,"NYC-Staten Island Community District 3--Tottenville, Great Kills & Annadale PUMA",10019,5398,4621,8530,4688,3842,1489,710,779,4510,2043,2467,3511,1648,1863,999,395,604,5237,3208,2029,4747,2893,1854,490,315,175,272,147,125,272,147,125,0,0,0
82,Herkimer (North & Central) & Oneida (Outer) Counties PUMA,363,78,285,363,78,285,0,0,0,233,78,155,233,78,155,0,0,0,130,0,130,130,0,130,0,0,0,0,0,0,0,0,0,0,0,0
83,Niagara County (North & East) PUMA,375,337,38,207,169,38,168,168,0,0,0,0,0,0,0,0,0,0,375,337,38,207,169,38,168,168,0,0,0,0,0,0,0,0,0,0
84,Monroe County (Central)--Rochester City (East) PUMA,864,642,222,705,483,222,159,159,0,250,250,0,250,250,0,0,0,0,568,346,222,409,187,222,159,159,0,46,46,0,46,46,0,0,0,0
85,Warren & Washington Counties PUMA,961,449,512,929,449,480,32,0,32,561,449,112,561,449,112,0,0,0,400,0,400,368,0,368,32,0,32,0,0,0,0,0,0,0,0,0
86,Nassau County (Southwest)--Hempstead Town (Southwest) & Long Beach City PUMA,3179,1206,1973,2300,696,1604,879,510,369,1666,482,1184,1558,374,1184,108,108,0,1513,724,789,742,322,420,771,402,369,0,0,0,0,0,0,0,0,0
87,NYC-Brooklyn Community District 8--Crown Heights North & Prospect Heights PUMA,1826,1054,772,1487,970,517,339,84,255,1270,798,472,1169,798,371,101,0,101,410,256,154,172,172,0,238,84,154,146,0,146,146,0,146,0,0,0
88,Onondaga County (Central)--Syracuse City PUMA,1868,1369,499,891,706,185,977,663,314,906,744,162,532,467,65,374,277,97,443,323,120,359,239,120,84,84,0,519,302,217,0,0,0,519,302,217
89,Westchester County (Central)--White Plains City PUMA,3399,1738,1661,3399,1738,1661,0,0,0,2599,1236,1363,2599,1236,1363,0,0,0,674,433,241,674,433,241,0,0,0,126,69,57,126,69,57,0,0,0
90,NYC-Brooklyn Community District 3--Bedford-Stuyvesant PUMA,1697,607,1090,1347,430,917,350,177,173,1103,336,767,753,159,594,350,177,173,323,0,323,323,0,323,0,0,0,271,271,0,271,271,0,0,0,0
91,"NYC-Bronx Community District 1 & 2--Hunts Point, Longwood & Melrose PUMA",201,146,55,201,146,55,0,0,0,55,0,55,55,0,55,0,0,0,0,0,0,0,0,0,0,0,0,146,146,0,146,146,0,0,0,0
92,Cattaraugus & Allegany Counties PUMA,406,209,197,174,154,20,232,55,177,190,43,147,63,43,20,127,0,127,159,136,23,111,111,0,48,25,23,57,30,27,0,0,0,57,30,27
