,puma,Total_geo,Total_geo_m,Total_geo_f,Total_NP_mf_t,Total_NP_m,Total_NP_f,Total_P_mf_t,Total_P_m,Total_P_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_NP_mf_t,BABS_NP_m,BABS_NP_f,BABS_P_mf_t,BABS_P_m,BABS_P_f,Total_HS,Total_HS_m,Total_HS_f,HS_NP_mf_t,HS_NP_m,HS_NP_f,HS_P_mf_t,HS_P_m,HS_P_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_NP_mf_t,HSINC_NP_m,HSINC_NP_f,HSINC_P_mf_t,HSINC_P_m,HSINC_P_f
41,"NYC-Bronx Community District 1 & 2--Hunts Point, Longwood & Melrose PUMA",10580,6332,4248,7112,4089,3023,3468,2243,1225,2532,1139,1393,2109,716,1393,423,423,0,6184,3581,2603,4517,2887,1630,1667,694,973,1864,1612,252,486,486,0,1378,1126,252
42,Erie County (North Central) PUMA,3756,2044,1712,3171,1741,1430,585,303,282,2731,1323,1408,2664,1323,1341,67,0,67,649,560,89,420,331,89,229,229,0,376,161,215,87,87,0,289,74,215
43,Chautauqua County PUMA,626,387,239,571,332,239,55,55,0,419,180,239,419,180,239,0,0,0,152,152,0,152,152,0,0,0,0,55,55,0,0,0,0,55,55,0
44,Dutchess County (Southwest) PUMA,5921,3341,2580,5071,2741,2330,850,600,250,2144,1292,852,2144,1292,852,0,0,0,3013,1847,1166,2277,1247,1030,736,600,136,764,202,562,650,202,448,114,0,114
45,Westchester County (Southeast) PUMA,10507,8339,2168,8265,6216,2049,2242,2123,119,4575,3352,1223,3949,2845,1104,626,507,119,4727,3913,814,3295,2481,814,1432,1432,0,1205,1074,131,1021,890,131,184,184,0
46,Rockland County (North)--New City & Congers PUMA,9414,4884,4530,9272,4884,4388,142,0,142,4365,2346,2019,4223,2346,1877,142,0,142,4460,2000,2460,4460,2000,2460,0,0,0,589,538,51,589,538,51,0,0,0
47,NYC-Staten Island Community District 2--New Springville & South Beach PUMA,11730,7793,3937,11302,7539,3763,428,254,174,6832,4479,2353,6670,4417,2253,162,62,100,4119,2535,1584,3987,2477,1510,132,58,74,779,779,0,645,645,0,134,134,0
48,Suffolk County (Southwest)--Islip Town (South) PUMA,2662,1970,692,2258,1679,579,404,291,113,1650,958,692,1537,958,579,113,0,113,785,785,0,721,721,0,64,64,0,227,227,0,0,0,0,227,227,0
49,Erie County (West Central)--Buffalo City (East) PUMA,2626,1868,758,982,362,620,1644,1506,138,1081,877,204,408,204,204,673,673,0,1545,991,554,574,158,416,971,833,138,0,0,0,0,0,0,0,0,0
50,Wayne & Seneca Counties PUMA,559,160,399,505,106,399,54,54,0,160,160,0,106,106,0,54,54,0,399,0,399,399,0,399,0,0,0,0,0,0,0,0,0,0,0,0
51,Monroe County (South) PUMA,5221,2828,2393,4663,2570,2093,558,258,300,3543,1580,1963,3243,1580,1663,300,0,300,977,800,177,847,670,177,130,130,0,701,448,253,573,320,253,128,128,0
52,Tompkins County PUMA,2771,1339,1432,2712,1339,1373,59,0,59,1447,797,650,1388,797,591,59,0,59,1324,542,782,1324,542,782,0,0,0,0,0,0,0,0,0,0,0,0
53,Suffolk County (South Central)--Brookhaven Town (South) PUMA,5815,3224,2591,4316,2170,2146,1499,1054,445,1123,680,443,1123,680,443,0,0,0,2466,959,1507,2405,898,1507,61,61,0,2226,1585,641,788,592,196,1438,993,445
54,"Otsego, Schoharie, Oneida (South) & Herkimer (South) Counties PUMA",420,118,302,351,118,233,69,0,69,166,58,108,97,58,39,69,0,69,254,60,194,254,60,194,0,0,0,0,0,0,0,0,0,0,0,0
55,NYC-Manhattan Community District 8--Upper East Side PUMA,19385,9238,10147,19192,9201,9991,193,37,156,17651,8473,9178,17458,8436,9022,193,37,156,1692,723,969,1692,723,969,0,0,0,42,42,0,42,42,0,0,0,0
56,"NYC-Manhattan Community District 1 & 2--Battery Park City, Greenwich Village & Soho PUMA",8136,4014,4122,8136,4014,4122,0,0,0,7740,3743,3997,7740,3743,3997,0,0,0,396,271,125,396,271,125,0,0,0,0,0,0,0,0,0,0,0,0
57,"NYC-Manhattan Community District 12--Washington Heights, Inwood & Marble Hill PUMA",22554,14439,8115,19756,13100,6656,2798,1339,1459,8858,4102,4756,8506,4007,4499,352,95,257,11773,8521,3252,9853,7803,2050,1920,718,1202,1923,1816,107,1397,1290,107,526,526,0
58,NYC-Brooklyn Community District 18--Canarsie & Flatlands PUMA,13366,7005,6361,12538,6404,6134,828,601,227,5304,2543,2761,5265,2504,2761,39,39,0,7258,3839,3419,6716,3488,3228,542,351,191,804,623,181,557,412,145,247,211,36
59,"NYC-Bronx Community District 12--Wakefield, Williamsbridge & Woodlawn PUMA",7471,4031,3440,6425,3221,3204,1046,810,236,2660,945,1715,2503,886,1617,157,59,98,3706,2549,1157,3264,2107,1157,442,442,0,1105,537,568,658,228,430,447,309,138
60,Suffolk County (Central)--Islip Town (Northwest) PUMA,19210,10620,8590,17930,10015,7915,1280,605,675,2568,1167,1401,2454,1053,1401,114,114,0,12418,6894,5524,11920,6534,5386,498,360,138,4224,2559,1665,3556,2428,1128,668,131,537
61,"NYC-Queens Community District 14--Far Rockaway, Breezy Point & Broad Channel PUMA",10304,5975,4329,9867,5538,4329,437,437,0,5034,2533,2501,5034,2533,2501,0,0,0,4813,3442,1371,4376,3005,1371,437,437,0,457,0,457,457,0,457,0,0,0
62,Saratoga County (South & Central) PUMA,1683,1457,226,1683,1457,226,0,0,0,1188,1090,98,1188,1090,98,0,0,0,325,325,0,325,325,0,0,0,0,170,42,128,170,42,128,0,0,0
63,Cattaraugus & Allegany Counties PUMA,233,165,68,207,155,52,26,10,16,165,165,0,155,155,0,10,10,0,68,0,68,52,0,52,16,0,16,0,0,0,0,0,0,0,0,0
64,Genesee & Orleans Counties PUMA,464,464,0,421,421,0,43,43,0,0,0,0,0,0,0,0,0,0,464,464,0,421,421,0,43,43,0,0,0,0,0,0,0,0,0,0
65,Cayuga & Onondaga (South) Counties PUMA,831,496,335,580,245,335,251,251,0,393,212,181,393,212,181,0,0,0,392,238,154,174,20,154,218,218,0,46,46,0,13,13,0,33,33,0
66,Sullivan & Ulster (West) Counties PUMA,3037,1702,1335,2234,1503,731,803,199,604,966,437,529,589,391,198,377,46,331,1522,716,806,1145,612,533,377,104,273,549,549,0,500,500,0,49,49,0
67,"NYC-Bronx Community District 7--Bedford Park, Fordham North & Norwood PUMA",12194,8283,3911,8721,6103,2618,3473,2180,1293,4036,2082,1954,2762,1463,1299,1274,619,655,7215,5854,1361,5175,4293,882,2040,1561,479,943,347,596,784,347,437,159,0,159
