,puma,Total_geo,Total_geo_m,Total_geo_f,Total_NRB_mf_t,Total_NRB_m,Total_NRB_f,Total_RB_mf_t,Total_RB_m,Total_RB_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_NRB_mf_t,BABS_NRB_m,BABS_NRB_f,BABS_RB_mf_t,BABS_RB_m,BABS_RB_f,Total_HS,Total_HS_m,Total_HS_f,HS_NRB_mf_t,HS_NRB_m,HS_NRB_f,HS_RB_mf_t,HS_RB_m,HS_RB_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_NRB_mf_t,HSINC_NRB_m,HSINC_NRB_f,HSINC_RB_mf_t,HSINC_RB_m,HSINC_RB_f
34,Onondaga County (Central)--Syracuse City (Outer) PUMA,782.0,344.0,438.0,782.0,344.0,438.0,0.0,0.0,0.0,639.0,248.0,391.0,639.0,248.0,391.0,0.0,0.0,0.0,143.0,96.0,47.0,143.0,96.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,NYC-Staten Island Community District 2--New Springville & South Beach PUMA,2272.0,1175.0,1097.0,953.0,555.0,398.0,1319.0,620.0,699.0,732.0,361.0,371.0,519.0,248.0,271.0,213.0,113.0,100.0,1004.0,666.0,338.0,303.0,229.0,74.0,701.0,437.0,264.0,536.0,148.0,388.0,131.0,78.0,53.0,405.0,70.0,335.0
36,Niagara County (Southwest)--Greater Niagara Falls & North Tonawanda Area PUMA,779.0,643.0,136.0,619.0,483.0,136.0,160.0,160.0,0.0,496.0,496.0,0.0,336.0,336.0,0.0,160.0,160.0,0.0,147.0,147.0,0.0,147.0,147.0,0.0,0.0,0.0,0.0,136.0,0.0,136.0,136.0,0.0,136.0,0.0,0.0,0.0
37,Suffolk County (Central)--Brookhaven Town (Central) PUMA,1836.0,1613.0,223.0,380.0,157.0,223.0,1456.0,1456.0,0.0,713.0,490.0,223.0,380.0,157.0,223.0,333.0,333.0,0.0,1123.0,1123.0,0.0,0.0,0.0,0.0,1123.0,1123.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,"NYC-Bronx Community District 7--Bedford Park, Fordham North & Norwood PUMA",15930.0,9390.0,6540.0,11752.0,7316.0,4436.0,4178.0,2074.0,2104.0,3794.0,1859.0,1935.0,2851.0,1325.0,1526.0,943.0,534.0,409.0,10230.0,6762.0,3468.0,7576.0,5644.0,1932.0,2654.0,1118.0,1536.0,1906.0,769.0,1137.0,1325.0,347.0,978.0,581.0,422.0,159.0
39,NYC-Queens Community District 4--Elmhurst & South Corona PUMA,34252.0,19753.0,14499.0,25944.0,15369.0,10575.0,8308.0,4384.0,3924.0,10966.0,6486.0,4480.0,7086.0,5036.0,2050.0,3880.0,1450.0,2430.0,17034.0,8980.0,8054.0,14463.0,7300.0,7163.0,2571.0,1680.0,891.0,6252.0,4287.0,1965.0,4395.0,3033.0,1362.0,1857.0,1254.0,603.0
40,"NYC-Brooklyn Community District 6--Park Slope, Carroll Gardens & Red Hook PUMA",5434.0,2513.0,2921.0,4375.0,2123.0,2252.0,1059.0,390.0,669.0,3985.0,1871.0,2114.0,3519.0,1648.0,1871.0,466.0,223.0,243.0,1326.0,642.0,684.0,733.0,475.0,258.0,593.0,167.0,426.0,123.0,0.0,123.0,123.0,0.0,123.0,0.0,0.0,0.0
41,Suffolk County (Central)--Islip Town (East) PUMA,1202.0,499.0,703.0,982.0,394.0,588.0,220.0,105.0,115.0,1202.0,499.0,703.0,982.0,394.0,588.0,220.0,105.0,115.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,"NYC-Brooklyn Community District 9--Crown Heights South, Prospect Lefferts & Wingate PUMA",5825.0,2865.0,2960.0,4994.0,2464.0,2530.0,831.0,401.0,430.0,3393.0,1468.0,1925.0,2941.0,1227.0,1714.0,452.0,241.0,211.0,1927.0,1166.0,761.0,1871.0,1166.0,705.0,56.0,0.0,56.0,505.0,231.0,274.0,182.0,71.0,111.0,323.0,160.0,163.0
43,"NYC-Queens Community District 7--Flushing, Murray Hill & Whitestone PUMA",18476.0,8181.0,10295.0,13186.0,6051.0,7135.0,5290.0,2130.0,3160.0,4820.0,1795.0,3025.0,3889.0,1609.0,2280.0,931.0,186.0,745.0,11045.0,4869.0,6176.0,8142.0,3695.0,4447.0,2903.0,1174.0,1729.0,2611.0,1517.0,1094.0,1155.0,747.0,408.0,1456.0,770.0,686.0
