,puma,Total_geo,Total_geo_m,Total_geo_f,Total_FT_mf_t,Total_FT_m,Total_FT_f,Total_PT_mf_t,Total_PT_m,Total_PT_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_FT_mf_t,BABS_FT_m,BABS_FT_f,BABS_PT_mf_t,BABS_PT_m,BABS_PT_f,Total_HS,Total_HS_m,Total_HS_f,HS_FT_mf_t,HS_FT_m,HS_FT_f,HS_PT_mf_t,HS_PT_m,HS_PT_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_FT_mf_t,HSINC_FT_m,HSINC_FT_f,HSINC_PT_mf_t,HSINC_PT_m,HSINC_PT_f
60,NYC-Brooklyn Community District 13--Brighton Beach & Coney Island PUMA,14398,6243,8155,12059,5435,6624,2339,808,1531,9214,3661,5553,8276,3589,4687,938,72,866,3960,1646,2314,3205,1430,1775,755,216,539,1224,936,288,578,416,162,646,520,126
61,NYC-Manhattan Community District 10--Central Harlem PUMA,13859,7839,6020,10977,7032,3945,2882,807,2075,4961,2245,2716,4090,1789,2301,871,456,415,6079,3545,2534,4976,3545,1431,1103,0,1103,2819,2049,770,1911,1698,213,908,351,557
62,Nassau County (West Central)--North Hempstead Town (South) PUMA,16437,9898,6539,13983,8804,5179,2454,1094,1360,8377,4807,3570,7508,4574,2934,869,233,636,5729,3467,2262,4500,2839,1661,1229,628,601,2331,1624,707,1975,1391,584,356,233,123
63,NYC-Brooklyn Community District 16--Brownsville & Ocean Hill PUMA,5756,3523,2233,4672,2953,1719,1084,570,514,2185,1150,1035,1694,962,732,491,188,303,3082,2014,1068,2758,1771,987,324,243,81,489,359,130,220,220,0,269,139,130
64,Albany County (East Central)--Albany City PUMA,5178,2628,2550,4267,2315,1952,911,313,598,2424,967,1457,1797,801,996,627,166,461,2420,1327,1093,2214,1258,956,206,69,137,334,334,0,256,256,0,78,78,0
65,Nassau County (West Central)--Hempstead Town (West Central) PUMA,11318,6086,5232,9666,5781,3885,1652,305,1347,5320,2417,2903,4570,2417,2153,750,0,750,5559,3230,2329,4657,2925,1732,902,305,597,439,439,0,439,439,0,0,0,0
66,Chemung (South) & Steuben (East) Counties--Greater Elmira & Greater Corning Cities PUMA,1429,535,894,1362,535,827,67,0,67,799,371,428,799,371,428,0,0,0,231,164,67,164,164,0,67,0,67,399,0,399,399,0,399,0,0,0
67,"NYC-Bronx Community District 3 & 6--Belmont, Crotona Park East & East Tremont PUMA",16498,9550,6948,13012,8233,4779,3486,1317,2169,4164,2618,1546,3063,1918,1145,1101,700,401,8523,5094,3429,7370,4758,2612,1153,336,817,3811,1838,1973,2579,1557,1022,1232,281,951
68,"NYC-Bronx Community District 5--Morris Heights, Fordham South & Mount Hope PUMA",13838,7918,5920,11157,6731,4426,2681,1187,1494,2722,1514,1208,2513,1470,1043,209,44,165,7244,4101,3143,5807,3551,2256,1437,550,887,3872,2303,1569,2837,1710,1127,1035,593,442
69,"NYC-Bronx Community District 8--Riverdale, Fieldston & Kingsbridge PUMA",12212,6409,5803,9346,5804,3542,2866,605,2261,5614,2654,2960,4355,2305,2050,1259,349,910,5336,3113,2223,3941,2958,983,1395,155,1240,1262,642,620,1050,541,509,212,101,111
70,Erie County (Northeast) PUMA,740,429,311,685,429,256,55,0,55,552,296,256,552,296,256,0,0,0,188,133,55,133,133,0,55,0,55,0,0,0,0,0,0,0,0,0
71,NYC-Manhattan Community District 11--East Harlem PUMA,9023,4643,4380,7873,3982,3891,1150,661,489,3813,1764,2049,3496,1657,1839,317,107,210,3721,1761,1960,3057,1207,1850,664,554,110,1489,1118,371,1320,1118,202,169,0,169
72,Orange County (Southeast) PUMA,5747,2701,3046,5049,2668,2381,698,33,665,3132,1606,1526,2876,1606,1270,256,0,256,1987,941,1046,1599,941,658,388,0,388,628,154,474,574,121,453,54,33,21
73,Westchester County (Southeast) PUMA,13367,8938,4429,10507,8339,2168,2860,599,2261,6156,3592,2564,4575,3352,1223,1581,240,1341,5440,4089,1351,4727,3913,814,713,176,537,1771,1257,514,1205,1074,131,566,183,383
74,NYC-Queens Community District 1--Astoria & Long Island City PUMA,23969,12270,11699,19684,10836,8848,4285,1434,2851,12613,6219,6394,10642,5785,4857,1971,434,1537,9665,5051,4614,7806,4329,3477,1859,722,1137,1691,1000,691,1236,722,514,455,278,177
75,Livingston & Wyoming Counties PUMA,952,541,411,773,541,232,179,0,179,639,487,152,639,487,152,0,0,0,113,33,80,113,33,80,0,0,0,200,21,179,21,21,0,179,0,179
76,Suffolk County (Central)--Brookhaven Town (West Central) PUMA,6541,4117,2424,6125,4061,2064,416,56,360,2896,1703,1193,2776,1703,1073,120,0,120,2680,1806,874,2384,1750,634,296,56,240,965,608,357,965,608,357,0,0,0
77,Westchester County (Southwest)--Yonkers City PUMA,21450,12814,8636,17634,11712,5922,3816,1102,2714,6934,3920,3014,6038,3648,2390,896,272,624,10517,6026,4491,8365,5338,3027,2152,688,1464,3999,2868,1131,3231,2726,505,768,142,626
