,puma,Total_geo,Total_geo_m,Total_geo_f,Total_Emp_mf_t,Total_emp_m,Total_emp_f,Total_UnEmp_mf_t,Total_UnEmp_m,Total_UnEmp_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_Emp_mf_t,BABS_emp_m,BABS_emp_f,BABS_UnEmp_mf_t,BABS_UnEmp_m,BABS_UnEmp_f,Total_HS,Total_HS_m,Total_HS_f,HS_Emp_mf_t,HS_emp_m,HS_emp_f,HS_UnEmp_mf_t,HS_UnEmp_m,HS_UnEmp_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_Emp_mf_t,HSINC_emp_m,HSINC_emp_f,HSINC_UnEmp_mf_t,HSINC_UnEmp_m,HSINC_UnEmp_f
45,Westchester County (Southeast) PUMA,13136,8696,4440,13049,8696,4353,87,0,87,6022,3526,2496,6022,3526,2496,0,0,0,5343,3913,1430,5256,3913,1343,87,0,87,1771,1257,514,1771,1257,514,0,0,0
46,Rockland County (North)--New City & Congers PUMA,11315,5870,5445,10914,5775,5139,401,95,306,5109,2939,2170,4964,2844,2120,145,95,50,5562,2393,3169,5306,2393,2913,256,0,256,644,538,106,644,538,106,0,0,0
47,NYC-Staten Island Community District 2--New Springville & South Beach PUMA,13761,8224,5537,13587,8082,5505,174,142,32,8076,4791,3285,7902,4649,3253,174,142,32,4496,2591,1905,4496,2591,1905,0,0,0,1189,842,347,1189,842,347,0,0,0
48,Suffolk County (Southwest)--Islip Town (South) PUMA,3605,2624,981,3525,2544,981,80,80,0,1799,958,841,1799,958,841,0,0,0,1485,1439,46,1405,1359,46,80,80,0,321,227,94,321,227,94,0,0,0
49,Erie County (West Central)--Buffalo City (East) PUMA,3288,2330,958,2893,1935,958,395,395,0,1329,998,331,1208,877,331,121,121,0,1959,1332,627,1685,1058,627,274,274,0,0,0,0,0,0,0,0,0,0
50,Wayne & Seneca Counties PUMA,703,180,523,703,180,523,0,0,0,284,160,124,284,160,124,0,0,0,419,20,399,419,20,399,0,0,0,0,0,0,0,0,0,0,0,0
51,Monroe County (South) PUMA,5588,3043,2545,5382,3043,2339,206,0,206,3742,1795,1947,3652,1795,1857,90,0,90,1145,800,345,1029,800,229,116,0,116,701,448,253,701,448,253,0,0,0
52,Tompkins County PUMA,3758,1568,2190,3700,1568,2132,58,0,58,2123,890,1233,2065,890,1175,58,0,58,1635,678,957,1635,678,957,0,0,0,0,0,0,0,0,0,0,0,0
53,Suffolk County (South Central)--Brookhaven Town (South) PUMA,6043,3300,2743,5623,2880,2743,420,420,0,1199,756,443,1199,756,443,0,0,0,2618,959,1659,2557,898,1659,61,61,0,2226,1585,641,1867,1226,641,359,359,0
54,"Otsego, Schoharie, Oneida (South) & Herkimer (South) Counties PUMA",546,157,389,546,157,389,0,0,0,205,97,108,205,97,108,0,0,0,319,60,259,319,60,259,0,0,0,22,0,22,22,0,22,0,0,0
55,NYC-Manhattan Community District 8--Upper East Side PUMA,20908,9715,11193,20742,9589,11153,166,126,40,19125,8901,10224,18959,8775,10184,166,126,40,1741,772,969,1741,772,969,0,0,0,42,42,0,42,42,0,0,0,0
56,"NYC-Manhattan Community District 1 & 2--Battery Park City, Greenwich Village & Soho PUMA",8900,4014,4886,8710,4014,4696,190,0,190,8314,3743,4571,8314,3743,4571,0,0,0,396,271,125,396,271,125,0,0,0,190,0,190,0,0,0,190,0,190
57,"NYC-Manhattan Community District 12--Washington Heights, Inwood & Marble Hill PUMA",28648,17391,11257,27880,16996,10884,768,395,373,9918,4749,5169,9716,4547,5169,202,202,0,16037,10152,5885,15567,9959,5608,470,193,277,2693,2490,203,2597,2490,107,96,0,96
58,NYC-Brooklyn Community District 18--Canarsie & Flatlands PUMA,15536,7958,7578,15348,7863,7485,188,95,93,6080,3121,2959,6037,3121,2916,43,0,43,8418,4172,4246,8368,4172,4196,50,0,50,1038,665,373,943,570,373,95,95,0
59,"NYC-Bronx Community District 12--Wakefield, Williamsbridge & Woodlawn PUMA",9743,4711,5032,9346,4611,4735,397,100,297,3012,1078,1934,2715,1078,1637,297,0,297,5021,2705,2316,4921,2605,2316,100,100,0,1710,928,782,1710,928,782,0,0,0
60,Suffolk County (Central)--Islip Town (Northwest) PUMA,21578,11785,9793,21396,11689,9707,182,96,86,2875,1389,1486,2779,1293,1486,96,96,0,14049,7768,6281,13963,7768,6195,86,0,86,4654,2628,2026,4654,2628,2026,0,0,0
61,"NYC-Queens Community District 14--Far Rockaway, Breezy Point & Broad Channel PUMA",11821,5997,5824,11381,5829,5552,440,168,272,5748,2533,3215,5748,2533,3215,0,0,0,5375,3464,1911,4935,3296,1639,440,168,272,698,0,698,698,0,698,0,0,0
62,Saratoga County (South & Central) PUMA,1991,1457,534,1899,1365,534,92,92,0,1417,1090,327,1325,998,327,92,92,0,404,325,79,404,325,79,0,0,0,170,42,128,170,42,128,0,0,0
63,Cattaraugus & Allegany Counties PUMA,292,205,87,282,195,87,10,10,0,240,205,35,230,195,35,10,10,0,52,0,52,52,0,52,0,0,0,0,0,0,0,0,0,0,0,0
64,Genesee & Orleans Counties PUMA,464,464,0,464,464,0,0,0,0,0,0,0,0,0,0,0,0,0,464,464,0,464,464,0,0,0,0,0,0,0,0,0,0,0,0,0
65,Cayuga & Onondaga (South) Counties PUMA,1301,681,620,1301,681,620,0,0,0,507,295,212,507,295,212,0,0,0,748,340,408,748,340,408,0,0,0,46,46,0,46,46,0,0,0,0
66,Sullivan & Ulster (West) Counties PUMA,3341,1973,1368,3237,1869,1368,104,104,0,718,391,327,718,391,327,0,0,0,1940,899,1041,1836,795,1041,104,104,0,683,683,0,683,683,0,0,0,0
67,"NYC-Bronx Community District 7--Bedford Park, Fordham North & Norwood PUMA",15484,9676,5808,14759,9407,5352,725,269,456,4528,2301,2227,4313,2225,2088,215,76,139,9158,6606,2552,8801,6413,2388,357,193,164,1798,769,1029,1645,769,876,153,0,153
68,Suffolk County (Central)--Brookhaven Town (West Central) PUMA,6541,4117,2424,6485,4061,2424,56,56,0,2896,1703,1193,2896,1703,1193,0,0,0,2680,1806,874,2624,1750,874,56,56,0,965,608,357,965,608,357,0,0,0
69,NYC-Queens Community District 1--Astoria & Long Island City PUMA,23671,12210,11461,22553,11687,10866,1118,523,595,12147,6069,6078,11789,5880,5909,358,189,169,10014,5218,4796,9254,4884,4370,760,334,426,1510,923,587,1510,923,587,0,0,0
70,Jefferson & Lewis Counties PUMA,1606,698,908,1606,698,908,0,0,0,716,355,361,716,355,361,0,0,0,848,343,505,848,343,505,0,0,0,42,0,42,42,0,42,0,0,0
71,Nassau County (West Central)--Hempstead Town (Northwest) PUMA,12923,7056,5867,12421,6787,5634,502,269,233,6421,2627,3794,6242,2627,3615,179,0,179,4549,3122,1427,4226,2853,1373,323,269,54,1953,1307,646,1953,1307,646,0,0,0
72,Nassau County (Central)--Hempstead Town (North Central)--Meadowbrook Corridor PUMA,13948,7225,6723,13765,7123,6642,183,102,81,2713,1250,1463,2713,1250,1463,0,0,0,7965,3243,4722,7782,3141,4641,183,102,81,3270,2732,538,3270,2732,538,0,0,0
73,Orange County (Northeast)--Greater Newburgh City PUMA,5089,2947,2142,5004,2947,2057,85,0,85,1852,567,1285,1852,567,1285,0,0,0,2937,2080,857,2852,2080,772,85,0,85,300,300,0,300,300,0,0,0,0
74,"NYC-Bronx Community District 11--Pelham Parkway, Morris Park & Laconia PUMA",9819,6056,3763,9607,5844,3763,212,212,0,3499,1527,1972,3499,1527,1972,0,0,0,4428,3136,1292,4216,2924,1292,212,212,0,1892,1393,499,1892,1393,499,0,0,0
75,"NYC-Queens Community District 12--Jamaica, Hollis & St. Albans PUMA",15473,9430,6043,14957,9074,5883,516,356,160,4651,2968,1683,4357,2674,1683,294,294,0,8212,4599,3613,7990,4537,3453,222,62,160,2610,1863,747,2610,1863,747,0,0,0
76,Erie County (Central) PUMA,3368,2032,1336,3368,2032,1336,0,0,0,1210,765,445,1210,765,445,0,0,0,2158,1267,891,2158,1267,891,0,0,0,0,0,0,0,0,0,0,0,0
77,"NYC-Staten Island Community District 1--Port Richmond, Stapleton & Mariner's Harbor PUMA",17748,9277,8471,17078,8941,8137,670,336,334,7894,3399,4495,7518,3063,4455,376,336,40,8003,4763,3240,7709,4763,2946,294,0,294,1851,1115,736,1851,1115,736,0,0,0
78,"NYC-Brooklyn Community District 15--Sheepshead Bay, Gerritsen Beach & Homecrest PUMA",25913,11677,14236,25504,11268,14236,409,409,0,12863,4839,8024,12764,4740,8024,99,99,0,11419,5703,5716,11109,5393,5716,310,310,0,1631,1135,496,1631,1135,496,0,0,0
79,"NYC-Bronx Community District 8--Riverdale, Fieldston & Kingsbridge PUMA",12149,6346,5803,11926,6183,5743,223,163,60,5551,2591,2960,5328,2428,2900,223,163,60,5336,3113,2223,5336,3113,2223,0,0,0,1262,642,620,1262,642,620,0,0,0
80,NYC-Brooklyn Community District 5--East New York & Starrett City PUMA,18268,8990,9278,18037,8911,9126,231,79,152,2112,836,1276,2112,836,1276,0,0,0,13076,6412,6664,12924,6412,6512,152,0,152,3080,1742,1338,3001,1663,1338,79,79,0
81,Onondaga County (Central)--Syracuse City (Outer) PUMA,2962,1268,1694,2962,1268,1694,0,0,0,1822,962,860,1822,962,860,0,0,0,1050,216,834,1050,216,834,0,0,0,90,90,0,90,90,0,0,0,0
82,"NYC-Manhattan Community District 6--Murray Hill, Gramercy & Stuyvesant Town PUMA",12556,7226,5330,12495,7226,5269,61,0,61,10931,5735,5196,10870,5735,5135,61,0,61,1625,1491,134,1625,1491,134,0,0,0,0,0,0,0,0,0,0,0,0
