,puma,Total_geo,Total_geo_m,Total_geo_f,Total_Avg_PINCP_mf_t,Total_Avg_PINCP_m,Total_Avg_PINCP_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_Avg_PINCP_mf_t,BABS_Avg_PINCP_m,BABS_Avg_PINCP_f,Total_HS,Total_HS_m,Total_HS_f,HS_Avg_PINCP_mf_t,HS_Avg_PINCP_m,HS_Avg_PINCP_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_Avg_PINCP_mf_t,HSINC_Avg_PINCP_m,HSINC_Avg_PINCP_f
12,"NYC-Queens Community District 8--Briarwood, Fresh Meadows & Hillcrest PUMA",6601,3675,2926,40364.40539312225,42243.26530612245,38004.59330143541,2261,1118,1143,49581.15877930119,56627.90697674418,42688.53893263342,2579,1288,1291,42865.622334238076,49340.06211180124,36406.22773044152,1761,1269,492,24867.688813174333,22367.2182821119,31317.073170731706
13,NYC-Brooklyn Community District 5--East New York & Starrett City PUMA,8443,4941,3502,46351.79793912116,52220.54847196924,38071.53055396916,1069,624,445,80247.52104770814,84068.91025641025,74888.98876404495,6088,3676,2412,44822.508212877794,51428.65342763874,34754.43615257048,1286,641,645,25415.396578538104,25758.190327613105,25074.728682170542
14,Rockland County (North)--New City & Congers PUMA,3245,1915,1330,47042.588597842834,40657.963446475194,56235.48872180451,69,0,69,50000.0,0.0,50000.0,2551,1362,1189,48827.98902391219,41187.22466960352,57580.48780487805,625,553,72,39428.8,39354.43037974684,40000.0
15,"Otsego, Schoharie, Oneida (South) & Herkimer (South) Counties PUMA",29,7,22,19189.655172413793,50000.0,9386.363636363636,15,0,15,2100.0,0.0,2100.0,7,0,7,25000.0,0.0,25000.0,7,7,0,50000.0,50000.0,0.0
16,NYC-Brooklyn Community District 7--Sunset Park & Windsor Terrace PUMA,5736,3863,1873,35836.793933054396,42103.11933730262,22912.706887346503,1080,581,499,46433.333333333336,58913.941480206544,31901.803607214428,2429,1543,886,27161.34211609716,28595.46338302009,24663.769751693002,2227,1739,488,40160.28289178267,48471.85163887292,10541.803278688525
17,NYC-Brooklyn Community District 11--Bensonhurst & Bath Beach PUMA,3794,2696,1098,31646.63943068002,33939.873887240356,26015.89253187614,575,342,233,16186.08695652174,21000.0,9120.171673819743,2042,1393,649,25966.62585700294,22355.34816941852,33717.79661016949,1177,961,216,49053.950722175025,55337.04474505723,21100.0
18,Tompkins County PUMA,11,11,0,25000.0,25000.0,0.0,0,0,0,#DIV/0!,0.0,0.0,0,0,0,#DIV/0!,0.0,0.0,11,11,0,25000.0,25000.0,0.0
19,Dutchess County (Southwest) PUMA,1858,1323,535,36424.11194833154,40906.80272108843,25338.8785046729,88,88,0,46800.0,46800.0,0.0,1114,579,535,35679.263913824056,45233.85146804836,25338.8785046729,656,656,0,36297.10365853659,36297.10365853659,0.0
20,NYC-Queens Community District 9--Richmond Hill & Woodhaven PUMA,10188,6228,3960,49324.51904201021,53998.0732177264,41974.292929292926,2690,1337,1353,57981.4498141264,71762.90201944653,44362.9711751663,6432,3825,2607,47890.034203980096,52766.95424836601,40734.59915611814,1066,1066,0,36134.52157598499,36134.52157598499,0.0
21,Westchester County (Northwest) PUMA,5108,4571,537,29599.060297572436,29949.704659811858,26614.33891992551,441,394,47,41698.4126984127,43690.35532994924,25000.0,3101,2611,490,29547.50080619155,30068.900804289544,26769.183673469386,1566,1566,0,26293.869731800765,26293.869731800765,0.0
