,puma,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_Owner_mf_t,HSINC_Owner_m,HSINC_Owner_f,HSINC_NotOwner_mf_t,HSINC_NotOwner_m,HSINC_NotOwner_f
86,Nassau County (Southwest)--Hempstead Town (Southwest) & Long Beach City PUMA,1648.0,847.0,801.0,0.0,0.0,0.0,1648.0,847.0,801.0
87,NYC-Brooklyn Community District 8--Crown Heights North & Prospect Heights PUMA,830.0,342.0,488.0,82.0,0.0,82.0,748.0,342.0,406.0
88,Onondaga County (Central)--Syracuse City PUMA,1400.0,685.0,715.0,576.0,355.0,221.0,824.0,330.0,494.0
89,Westchester County (Central)--White Plains City PUMA,2778.0,1518.0,1260.0,608.0,150.0,458.0,2170.0,1368.0,802.0
90,NYC-Brooklyn Community District 3--Bedford-Stuyvesant PUMA,2185.0,1059.0,1126.0,0.0,0.0,0.0,2185.0,1059.0,1126.0
91,"NYC-Bronx Community District 1 & 2--Hunts Point, Longwood & Melrose PUMA",11459.0,5745.0,5714.0,1011.0,698.0,313.0,10448.0,5047.0,5401.0
92,Cattaraugus & Allegany Counties PUMA,66.0,26.0,40.0,0.0,0.0,0.0,66.0,26.0,40.0
93,Oswego County PUMA,88.0,0.0,88.0,88.0,0.0,88.0,0.0,0.0,0.0
94,"NYC-Queens Community District 5--Ridgewood, Glendale & Middle Village PUMA",4877.0,2886.0,1991.0,1363.0,647.0,716.0,3514.0,2239.0,1275.0
95,Monroe County (East) PUMA,783.0,0.0,783.0,0.0,0.0,0.0,783.0,0.0,783.0
96,Westchester County (South Central)--New Rochelle & Mount Vernon Cities PUMA,4405.0,2284.0,2121.0,1234.0,970.0,264.0,3171.0,1314.0,1857.0
97,"NYC-Queens Community District 14--Far Rockaway, Breezy Point & Broad Channel PUMA",1985.0,776.0,1209.0,140.0,140.0,0.0,1845.0,636.0,1209.0
98,"NYC-Brooklyn Community District 12--Borough Park, Kensington & Ocean Parkway PUMA",6350.0,2940.0,3410.0,601.0,205.0,396.0,5749.0,2735.0,3014.0
99,"NYC-Bronx Community District 10--Co-op City, Pelham Bay & Schuylerville PUMA",318.0,42.0,276.0,167.0,42.0,125.0,151.0,0.0,151.0
100,"NYC-Queens Community District 11--Bayside, Douglaston & Little Neck PUMA",3495.0,1637.0,1858.0,2142.0,860.0,1282.0,1353.0,777.0,576.0
101,"NYC-Manhattan Community District 6--Murray Hill, Gramercy & Stuyvesant Town PUMA",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102,Chautauqua County PUMA,311.0,127.0,184.0,311.0,127.0,184.0,0.0,0.0,0.0
103,NYC-Brooklyn Community District 18--Canarsie & Flatlands PUMA,1982.0,390.0,1592.0,774.0,240.0,534.0,1208.0,150.0,1058.0
104,Erie County (West Central)--Buffalo City (East) PUMA,619.0,150.0,469.0,275.0,52.0,223.0,344.0,98.0,246.0
105,Genesee & Orleans Counties PUMA,187.0,65.0,122.0,0.0,0.0,0.0,187.0,65.0,122.0
106,"NYC-Staten Island Community District 1--Port Richmond, Stapleton & Mariner's Harbor PUMA",4174.0,2143.0,2031.0,1621.0,706.0,915.0,2553.0,1437.0,1116.0
107,"Steuben (North & West), Schuyler & Chemung (North) Counties PUMA",68.0,0.0,68.0,0.0,0.0,0.0,68.0,0.0,68.0
108,Nassau County (South Central)--Hempstead Town (Southeast) PUMA,1593.0,700.0,893.0,388.0,226.0,162.0,1205.0,474.0,731.0
109,"NYC-Bronx Community District 9--Castle Hill, Clason Point & Parkchester PUMA",9076.0,3756.0,5320.0,525.0,192.0,333.0,8551.0,3564.0,4987.0
110,Suffolk County (East) PUMA,603.0,450.0,153.0,170.0,170.0,0.0,433.0,280.0,153.0
111,Orange County (Northwest) PUMA,192.0,192.0,0.0,54.0,54.0,0.0,138.0,138.0,0.0
112,Broome County (West Central)--Greater Binghamton City & Greater Johnson City Village PUMA,303.0,180.0,123.0,123.0,0.0,123.0,180.0,180.0,0.0
113,"NYC-Bronx Community District 11--Pelham Parkway, Morris Park & Laconia PUMA",4989.0,1941.0,3048.0,768.0,174.0,594.0,4221.0,1767.0,2454.0
114,Suffolk County (Northwest)--Smithtown Town PUMA,51.0,0.0,51.0,51.0,0.0,51.0,0.0,0.0,0.0
115,Ulster County (East) PUMA,373.0,157.0,216.0,240.0,83.0,157.0,133.0,74.0,59.0
116,Westchester County (Northeast) PUMA,891.0,891.0,0.0,157.0,157.0,0.0,734.0,734.0,0.0
117,NYC-Brooklyn Community District 4--Bushwick PUMA,6488.0,2981.0,3507.0,618.0,337.0,281.0,5870.0,2644.0,3226.0
118,NYC-Manhattan Community District 3--Chinatown & Lower East Side PUMA,7676.0,3342.0,4334.0,116.0,0.0,116.0,7560.0,3342.0,4218.0
119,Dutchess County (North & East) PUMA,434.0,43.0,391.0,58.0,0.0,58.0,376.0,43.0,333.0
