,puma,Total_geo,Total_geo_m,Total_geo_f,Total_Owner_mf_t,Total_Owner_m,Total_Owner_f,Total_NotOwner_mf_t,Total_NotOwner_m,Total_NotOwner_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_Owner_mf_t,BABS_Owner_m,BABS_Owner_f,BABS_NotOwner_mf_t,BABS_NotOwner_m,BABS_NotOwner_f,Total_HS,Total_HS_m,Total_HS_f,HS_Owner_mf_t,HS_Owner_m,HS_Owner_f,HS_NotOwner_mf_t,HS_NotOwner_m,HS_NotOwner_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_Owner_mf_t,HSINC_Owner_m,HSINC_Owner_f,HSINC_NotOwner_mf_t,HSINC_NotOwner_m,HSINC_NotOwner_f
24,Jefferson & Lewis Counties PUMA,2844.0,1359.0,1485.0,798.0,348.0,450.0,2046.0,1011.0,1035.0,1885.0,1089.0,796.0,341.0,164.0,177.0,1544.0,925.0,619.0,959.0,270.0,689.0,457.0,184.0,273.0,502.0,86.0,416.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,"Chenango, Delaware & Broome (East) Counties PUMA",1212.0,475.0,737.0,826.0,322.0,504.0,386.0,153.0,233.0,272.0,69.0,203.0,47.0,0.0,47.0,225.0,69.0,156.0,899.0,365.0,534.0,779.0,322.0,457.0,120.0,43.0,77.0,41.0,41.0,0.0,0.0,0.0,0.0,41.0,41.0,0.0
26,Erie County (Central) PUMA,2774.0,1813.0,961.0,1955.0,1133.0,822.0,819.0,680.0,139.0,794.0,390.0,404.0,435.0,170.0,265.0,359.0,220.0,139.0,1796.0,1423.0,373.0,1336.0,963.0,373.0,460.0,460.0,0.0,184.0,0.0,184.0,184.0,0.0,184.0,0.0,0.0,0.0
27,St. Lawrence County PUMA,1387.0,694.0,693.0,622.0,238.0,384.0,765.0,456.0,309.0,193.0,148.0,45.0,107.0,62.0,45.0,86.0,86.0,0.0,1109.0,546.0,563.0,490.0,176.0,314.0,619.0,370.0,249.0,85.0,0.0,85.0,25.0,0.0,25.0,60.0,0.0,60.0
28,"NYC-Manhattan Community District 9--Hamilton Heights, Manhattanville & West Harlem PUMA",19998.0,9663.0,10335.0,1505.0,566.0,939.0,18493.0,9097.0,9396.0,10848.0,4772.0,6076.0,1154.0,489.0,665.0,9694.0,4283.0,5411.0,5654.0,2987.0,2667.0,351.0,77.0,274.0,5303.0,2910.0,2393.0,3496.0,1904.0,1592.0,0.0,0.0,0.0,3496.0,1904.0,1592.0
29,Suffolk County (North Central)--Brookhaven Town (North) PUMA,4991.0,2501.0,2490.0,3964.0,2029.0,1935.0,1027.0,472.0,555.0,2995.0,1624.0,1371.0,2249.0,1340.0,909.0,746.0,284.0,462.0,1589.0,470.0,1119.0,1496.0,470.0,1026.0,93.0,0.0,93.0,407.0,407.0,0.0,219.0,219.0,0.0,188.0,188.0,0.0
30,NYC-Brooklyn Community District 1--Greenpoint & Williamsburg PUMA,20531.0,9619.0,10912.0,5017.0,2494.0,2523.0,15514.0,7125.0,8389.0,9053.0,3920.0,5133.0,2188.0,1191.0,997.0,6865.0,2729.0,4136.0,8761.0,4296.0,4465.0,2752.0,1303.0,1449.0,6009.0,2993.0,3016.0,2717.0,1403.0,1314.0,77.0,0.0,77.0,2640.0,1403.0,1237.0
31,Cayuga & Onondaga (South) Counties PUMA,1200.0,737.0,463.0,889.0,515.0,374.0,311.0,222.0,89.0,682.0,371.0,311.0,593.0,371.0,222.0,89.0,0.0,89.0,366.0,366.0,0.0,144.0,144.0,0.0,222.0,222.0,0.0,152.0,0.0,152.0,152.0,0.0,152.0,0.0,0.0,0.0
32,Nassau County (Southeast)--Oyster Bay Town (South) PUMA,4471.0,1501.0,2970.0,2538.0,1063.0,1475.0,1933.0,438.0,1495.0,1398.0,716.0,682.0,1324.0,642.0,682.0,74.0,74.0,0.0,2971.0,683.0,2288.0,1112.0,319.0,793.0,1859.0,364.0,1495.0,102.0,102.0,0.0,102.0,102.0,0.0,0.0,0.0,0.0
33,Fulton & Montgomery Counties PUMA,507.0,70.0,437.0,144.0,70.0,74.0,363.0,0.0,363.0,299.0,0.0,299.0,0.0,0.0,0.0,299.0,0.0,299.0,208.0,70.0,138.0,144.0,70.0,74.0,64.0,0.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,Onondaga County (Central)--Syracuse City (Outer) PUMA,4632.0,2603.0,2029.0,3302.0,1767.0,1535.0,1330.0,836.0,494.0,2338.0,1128.0,1210.0,1690.0,834.0,856.0,648.0,294.0,354.0,1834.0,1073.0,761.0,1319.0,698.0,621.0,515.0,375.0,140.0,460.0,402.0,58.0,293.0,235.0,58.0,167.0,167.0,0.0
35,NYC-Staten Island Community District 2--New Springville & South Beach PUMA,20423.0,9668.0,10755.0,16288.0,7228.0,9060.0,4135.0,2440.0,1695.0,9666.0,3705.0,5961.0,8967.0,3579.0,5388.0,699.0,126.0,573.0,9564.0,5237.0,4327.0,6277.0,2998.0,3279.0,3287.0,2239.0,1048.0,1193.0,726.0,467.0,1044.0,651.0,393.0,149.0,75.0,74.0
36,Niagara County (Southwest)--Greater Niagara Falls & North Tonawanda Area PUMA,1036.0,622.0,414.0,484.0,215.0,269.0,552.0,407.0,145.0,274.0,158.0,116.0,225.0,109.0,116.0,49.0,49.0,0.0,701.0,464.0,237.0,259.0,106.0,153.0,442.0,358.0,84.0,61.0,0.0,61.0,0.0,0.0,0.0,61.0,0.0,61.0
37,Suffolk County (Central)--Brookhaven Town (Central) PUMA,9031.0,4811.0,4220.0,6327.0,3394.0,2933.0,2704.0,1417.0,1287.0,1876.0,740.0,1136.0,1169.0,370.0,799.0,707.0,370.0,337.0,4613.0,2379.0,2234.0,3809.0,1994.0,1815.0,804.0,385.0,419.0,2542.0,1692.0,850.0,1349.0,1030.0,319.0,1193.0,662.0,531.0
