,puma,Total_geo,Total_geo_m,Total_geo_f,Total_NP_mf_t,Total_NP_m,Total_NP_f,Total_P_mf_t,Total_P_m,Total_P_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_NP_mf_t,BABS_NP_m,BABS_NP_f,BABS_P_mf_t,BABS_P_m,BABS_P_f,Total_HS,Total_HS_m,Total_HS_f,HS_NP_mf_t,HS_NP_m,HS_NP_f,HS_P_mf_t,HS_P_m,HS_P_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_NP_mf_t,HSINC_NP_m,HSINC_NP_f,HSINC_P_mf_t,HSINC_P_m,HSINC_P_f
44,NYC-Queens Community District 3--Jackson Heights & North Corona PUMA,42803,23545,19258,30222,16517,13705,12581,7028,5553,8944,4117,4827,7865,3812,4053,1079,305,774,24771,13252,11519,16340,8548,7792,8431,4704,3727,9088,6176,2912,6017,4157,1860,3071,2019,1052
45,Saratoga County (Outer) PUMA,2283,1077,1206,2157,1077,1080,126,0,126,1855,1010,845,1729,1010,719,126,0,126,361,0,361,361,0,361,0,0,0,67,67,0,67,67,0,0,0,0
46,"NYC-Bronx Community District 12--Wakefield, Williamsbridge & Woodlawn PUMA",12623,6278,6345,8424,4543,3881,4199,1735,2464,3953,1982,1971,2998,1325,1673,955,657,298,6769,3401,3368,4175,2432,1743,2594,969,1625,1901,895,1006,1251,786,465,650,109,541
47,"NYC-Brooklyn Community District 15--Sheepshead Bay, Gerritsen Beach & Homecrest PUMA",32089,16812,15277,28050,14897,13153,4039,1915,2124,17432,8606,8826,16854,8348,8506,578,258,320,12483,7019,5464,9519,5592,3927,2964,1427,1537,2174,1187,987,1677,957,720,497,230,267
48,Wayne & Seneca Counties PUMA,751,214,537,678,214,464,73,0,73,375,117,258,375,117,258,0,0,0,376,97,279,303,97,206,73,0,73,0,0,0,0,0,0,0,0,0
49,Schenectady County--Schenectady City PUMA,6087,3093,2994,5156,2795,2361,931,298,633,3924,2057,1867,3371,1908,1463,553,149,404,1741,953,788,1449,838,611,292,115,177,422,83,339,336,49,287,86,34,52
50,NYC-Brooklyn Community District 10--Bay Ridge & Dyker Heights PUMA,20026,9029,10997,14724,7060,7664,5302,1969,3333,10327,5107,5220,8960,4694,4266,1367,413,954,7824,3605,4219,4996,2225,2771,2828,1380,1448,1875,317,1558,768,141,627,1107,176,931
51,Nassau County (Northwest)--North Hempstead Town (North) PUMA,12538,5486,7052,11182,4931,6251,1356,555,801,7260,3290,3970,6380,2864,3516,880,426,454,4708,2196,2512,4232,2067,2165,476,129,347,570,0,570,570,0,570,0,0,0
52,Suffolk County (West Central)--Babylon Town (Northwest) PUMA,12173,6750,5423,10952,6401,4551,1221,349,872,2888,1089,1799,2711,1089,1622,177,0,177,6853,4212,2641,6132,4027,2105,721,185,536,2432,1449,983,2109,1285,824,323,164,159
53,"NYC-Manhattan Community District 4 & 5--Chelsea, Clinton & Midtown Business District PUMA",14876,8991,5885,13286,8396,4890,1590,595,995,10113,6716,3397,9289,6426,2863,824,290,534,4292,1942,2350,3846,1819,2027,446,123,323,471,333,138,151,151,0,320,182,138
54,Columbia & Greene Counties PUMA,1040,570,470,899,530,369,141,40,101,357,172,185,311,172,139,46,0,46,531,347,184,439,310,129,92,37,55,152,51,101,149,48,101,3,3,0
55,Rensselaer County--Troy City PUMA,1770,965,805,1283,697,586,487,268,219,1333,689,644,997,572,425,336,117,219,401,240,161,250,89,161,151,151,0,36,36,0,36,36,0,0,0,0
56,Erie County (West Central)--Buffalo City (West) PUMA,5868,3435,2433,3766,2339,1427,2102,1096,1006,2721,1160,1561,1861,843,1018,860,317,543,1803,1564,239,1301,1167,134,502,397,105,1344,711,633,604,329,275,740,382,358
57,Erie County (South) PUMA,1518,302,1216,1353,302,1051,165,0,165,1193,302,891,1153,302,851,40,0,40,325,0,325,200,0,200,125,0,125,0,0,0,0,0,0,0,0,0
58,Oneida County (Central)--Greater Utica & Rome Cities PUMA,5257,2208,3049,3935,1731,2204,1322,477,845,2163,715,1448,2029,642,1387,134,73,61,2233,746,1487,1354,651,703,879,95,784,861,747,114,552,438,114,309,309,0
59,"NYC-Manhattan Community District 12--Washington Heights, Inwood & Marble Hill PUMA",35121,18924,16197,24225,14006,10219,10896,4918,5978,7727,3699,4028,5715,2834,2881,2012,865,1147,19388,9978,9410,14705,8262,6443,4683,1716,2967,8006,5247,2759,3805,2910,895,4201,2337,1864
60,NYC-Brooklyn Community District 13--Brighton Beach & Coney Island PUMA,23688,10482,13206,16928,7985,8943,6760,2497,4263,12873,5730,7143,10290,5127,5163,2583,603,1980,7869,3315,4554,5200,1905,3295,2669,1410,1259,2946,1437,1509,1438,953,485,1508,484,1024
