,puma,Unemployment_BABS_score,FT_Work_BABS_score,Poverty_BABS_score,Working_Poor_BABS_score,Rent_Burden_BABS_score,Home_ownership_BABS_score,Income_level_BABS_score,Overall_BABS_score,Unemployment_HS_score,FT_Work_HS_score,Poverty_HS_score,Working_Poor_HS_score,Rent_Burden_HS_score,Home_ownership_HS_score,Income_level_HS_score,Overall_HS_score,Unemployment_BABS_grade,FT_Work_BABS_grade,Poverty_BABS_grade,Working_Poor_BABS_grade,Rent_Burden_BABS_grade,Home_ownership_BABS_grade,Income_level_BABS_grade,Overall_BABS_grade,Unemployment_HS_grade,FT_Work_HS_grade,Poverty_HS_grade,Working_Poor_HS_grade,Income_level_HS_grade,Rent_Burden_HS_grade,Home_ownership_HS_grade,Overall_HS_grade
70,Erie County (Northeast) PUMA,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0
71,NYC-Manhattan Community District 11--East Harlem PUMA,#DIV/0!,0.23464477031778153,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.9477291041563467,#DIV/0!,#DIV/0!,-1.5217180068970257,0.8688552015651007,0.8669493887840559,0.8038681554681537,#DIV/0!,0.5571717498069803,#DIV/0!,#DIV!0,C,#DIV!0,#DIV!0,#DIV!0,#DIV!0,B,#DIV!0,#DIV!0,D-,B,B,B-,B,#DIV!0,#DIV!0
72,Orange County (Southeast) PUMA,#DIV/0!,0.23464477031778153,#DIV/0!,#DIV/0!,#DIV/0!,-0.011524647641559407,-0.818393921295025,#DIV/0!,#DIV/0!,1.540470117432429,1.1358124548546549,1.133851192145022,#DIV/0!,-0.04599830520800555,0.030667205183478912,#DIV/0!,#DIV!0,C,#DIV!0,#DIV!0,#DIV!0,C,D,#DIV!0,#DIV!0,A-,B,B,C,#DIV!0,C,#DIV!0
73,Westchester County (Southeast) PUMA,#DIV/0!,-0.0945438407235367,0.5318696280174364,0.5278451968779987,0.784633761818304,0.009064165262675599,-0.6713631040156172,#DIV/0!,#DIV/0!,1.481552632025792,0.7600944439758899,0.7582112219885664,0.9286999187044205,0.07517041709860445,0.9830629575901777,#DIV/0!,#DIV!0,C,B-,B-,B,C,C-,#DIV!0,#DIV!0,A-,B,B,B,B,C,#DIV!0
74,NYC-Queens Community District 1--Astoria & Long Island City PUMA,0.07460307286965517,-0.22631857834825558,-0.214611298916264,-0.21840002605267897,0.18536081539532265,#DIV/0!,-0.21055651368786446,#DIV/0!,0.16289078448084832,0.22507828644097783,0.7191947368039936,0.7173200101312345,0.21220927845574009,-0.17488574620557246,0.7873328581846364,0.3784486011845512,C,C,C,C,C,#DIV!0,C,#DIV!0,C,C,B-,B-,B,C,C,B-
75,Livingston & Wyoming Counties PUMA,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.42304805628363756,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.31187703595654553,#DIV/0!,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,B-,#DIV!0,#DIV!0,B-,#DIV!0,#DIV!0,#DIV!0
76,Suffolk County (Central)--Brookhaven Town (West Central) PUMA,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,-0.948488896508101,-2.5839300156680682,-2.5851186473597605,#DIV/0!,-0.13493799441524748,-0.34298694900765664,#DIV/0!,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,D,E,E,C-,#DIV!0,C,#DIV!0
77,Westchester County (Southwest)--Yonkers City PUMA,#DIV/0!,0.23464477031778153,#DIV/0!,#DIV/0!,#DIV/0!,-0.12236993428922796,-0.19582488290715339,#DIV/0!,-0.4184587259383337,0.06813164410977879,0.3748704436940444,0.3730672369265464,0.041416547738764506,-0.22365029078508614,-0.13339906899226953,0.011711112393349246,#DIV!0,C,#DIV!0,#DIV!0,#DIV!0,C,C,#DIV!0,C-,C,B-,B-,C,C,C,C
78,Erie County (North Central) PUMA,#DIV/0!,0.23464477031778153,#DIV/0!,#DIV/0!,#DIV/0!,-0.011524647641559407,2.1884627746725522,#DIV/0!,#DIV/0!,#DIV/0!,1.1358124548546549,1.133851192145022,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV!0,C,#DIV!0,#DIV!0,#DIV!0,C,A,#DIV!0,#DIV!0,#DIV!0,B,B,#DIV!0,#DIV!0,#DIV!0,#DIV!0
79,Saratoga County (South & Central) PUMA,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0
