,puma,Unemployment_BABS_score,FT_Work_BABS_score,Poverty_BABS_score,Working_Poor_BABS_score,Rent_Burden_BABS_score,Home_ownership_BABS_score,Income_level_BABS_score,Overall_BABS_score,Unemployment_HS_score,FT_Work_HS_score,Poverty_HS_score,Working_Poor_HS_score,Rent_Burden_HS_score,Home_ownership_HS_score,Income_level_HS_score,Overall_HS_score,Unemployment_BABS_grade,FT_Work_BABS_grade,Poverty_BABS_grade,Working_Poor_BABS_grade,Rent_Burden_BABS_grade,Home_ownership_BABS_grade,Income_level_BABS_grade,Overall_BABS_grade,Unemployment_HS_grade,FT_Work_HS_grade,Poverty_HS_grade,Working_Poor_HS_grade,Income_level_HS_grade,Rent_Burden_HS_grade,Home_ownership_HS_grade,Overall_HS_grade
145,"Rockland County (West)--Spring Valley, Suffern Villages & Monsey PUMA",0.40326889440511693,-0.020302521463113652,-0.3464845905248147,-0.3463325231085623,0.27824795275802056,0.2636544380036088,-0.9267627648937128,-0.09924444497477958,0.5059507458408543,2.5691520759663495,1.1157538717022923,1.1171501695718566,0.5883751918756757,1.2928995985694123,0.2517882047453981,1.0630099797531198,B-,C,C-,C-,B-,B-,D,C,B-,A,B,B,B-,B-,A-,B
146,Capital Region,0.40326889440511693,0.5948714579400481,0.13845293052013294,0.13860642941206255,0.09874051261458078,-0.37169428449022346,#DIV/0!,#DIV/0!,-0.14987051328382164,-0.19217259415679375,-0.19487958315821133,-0.1934253801644505,-0.10963441454412787,-0.5994988875581276,-0.09873628210803445,-0.21974537928193819,B-,B-,C,C,C,C-,#DIV!0,#DIV!0,C,C,C,C,C,C,C-,C
147,Central NY,0.4596236917949482,-2.1065491133545793,1.0778740203149537,1.0778740203149537,-0.37053312362749863,1.352457302290947,#DIV/0!,#DIV/0!,-1.4336320995547496,-2.053036673059835,0.3539957983604697,0.3539957983604697,-1.7379536931558603,0.6169631741694104,#DIV/0!,#DIV/0!,B-,E,B,B,C-,A-,#DIV!0,#DIV!0,D-,E,B-,B-,#DIV!0,D-,B-,#DIV!0
148,Finger Lakes,0.4596236917949482,-0.37729193419030804,-0.7259053720624349,-0.7259053720624349,0.1978084121634846,-0.4016648738244424,-0.8270066028542978,-0.3429060072907836,-1.2093029983645898,0.48258147027607384,-0.9531437587341216,-0.9531437587341216,-0.37717775209607546,0.38474742865727724,0.56922553208737,-0.2937448338440268,B-,C-,C-,C-,C,C-,D,C-,D,B-,D,D,B-,C-,B-,C-
149,Long Island,0.07380330949533623,0.4211423706487067,0.8191539314485301,0.8191539314485301,0.4867780690334125,0.8071467868598144,-0.5447624605453077,0.4117737054841461,1.072012339208974,0.6246222625942047,-0.010614753004635526,-0.010614753004635526,0.1538208693559278,1.5743318816307479,0.09318431534800097,0.4995345945897978,C,B-,B,B,B-,B,C-,B-,B,B-,C,C,C,C,A-,B-
150,Mid-Hudson,0.1803549915398363,0.8083259835905626,0.5060178865515726,0.5060178865515726,0.6477518378564326,0.45382194447890595,-0.45176647794628805,0.3786462932317992,0.8283488125845961,0.7427909547469111,0.9414632669075673,0.9414632669075673,1.6467281994005984,0.8073018941090662,0.15950062374003296,0.86679957405662,C,B,B-,B-,B-,B-,C-,B-,B,B-,B,B,C,A-,B,B
151,Mohawk Valley,-2.804369827219074,-0.77578301738314,-2.093734699361237,-2.093734699361237,0.2012092244546274,-2.105788646961791,#DIV/0!,#DIV/0!,1.1259533379900084,-1.5471911846997646,-2.108465654306023,-2.108465654306023,-1.0615526583041197,-1.474881095698194,-1.5109738047245695,-1.2407966734355267,E,D,E,E,C,E,#DIV!0,#DIV!0,B,D-,E,E,D-,D,D-,D
152,New York City,0.19493003363873937,-0.0399904298126006,0.4496661059104548,0.4496661059104548,0.4390725719984784,0.16641451279729141,0.15263667048530913,0.25891365298973246,1.1055015397726,0.5958325164957538,1.230301183377269,1.230301183377269,0.8311618097915711,0.24079686363253394,0.6618159888120915,0.8422444407512983,C,C,B-,B-,B-,C,C,B-,B,B-,B,B,B-,B,C,B
153,North Country,0.4596236917949482,1.114284703002645,-0.630827555552647,-0.630827555552647,-2.687312077341443,0.1246963602509633,1.6708988708605859,-0.08278050893394208,-0.9956466313802516,0.2411670258399193,0.6440218476709676,0.6440218476709676,1.0505855369207155,-1.5844806873261312,-1.0935713897883084,-0.15627177862744587,B-,B,C-,C-,E,C,A-,C,D,C,B-,B-,D,B,D-,C
154,Southern Tier,0.4596236917949482,-0.10191058289174393,0.7533964353896839,0.7533964353896839,0.7523549440412569,-1.0735606663481254,#DIV/0!,#DIV/0!,-0.40095892108589765,-0.056943539068935026,-0.6816746831446837,-0.6816746831446837,-0.23581587438635504,0.2129718349344084,-0.806364467927959,-0.3786371905463008,B-,C,B,B,B,D,#DIV!0,#DIV!0,C-,C,C-,C-,D,C,C,C-
155,Western NY,0.05716303357042068,-0.23742147475078032,-0.718365264858057,-0.718365264858057,-0.04650435796984016,0.7210912384742545,#DIV/0!,#DIV/0!,-0.027823310018227583,0.8909341525595819,0.47971374192420835,0.47971374192420835,0.07536486044948693,-0.03572789370114195,1.7438725438360998,0.5151496909963165,C,C,C-,C-,C,B-,#DIV!0,#DIV!0,C,B,B-,B-,A-,C,C,B-
